Crime Head,Persons in Custody During the Stage of Trial at the Beginning of the year - Male,Persons in Custody During the Stage of Trial at the Beginning of the year - Female,Persons on Bail During the Stage of Trial at the Beginning of the year - Male,Persons on Bail During the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year - Male,Total Number of Persons under Trial During the Year - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody During the stage of Trial at the end of the year - Male,Persons in Custody During the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
"1 Arms Act, 1959",70655,3,279909,43,407199,69,224,0,32,0,45395,10,29970,5,15215,4,210,1,71771,5,289777,54
"2 Narcotic Drugs & Psychotropic Substances Act, 1985",41577,692,115101,1325,215821,3524,642,1,1645,6,39783,918,29081,598,9736,312,966,8,43751,865,130000,1734
"3 Gambling Act, 1867",137420,114,789849,1336,1292127,2406,819,0,4156,56,294498,585,248301,359,44861,225,1336,1,149064,343,843590,1422
"4 Excise Act, 1944",60571,833,354524,6042,619123,12450,684,3,149,1,158789,4547,128135,3294,30043,1223,611,30,64705,1014,394796,6885
5 Prohibition Act,354302,122435,1407121,215165,2164428,449488,675,11,4658,183,306601,57989,210315,23298,92255,33890,4031,801,324958,138097,1527536,253208
6 Explosives and Explosive Substances Act,5375,3,25020,29,35549,52,62,0,2,0,4207,15,2507,10,1669,4,31,1,5024,3,26254,34
"7 Immoral Traffic (Prevention) Act, 1956",3496,646,30447,6702,39323,9569,13,4,6,0,3308,1341,1416,574,1876,765,16,2,4292,757,31704,7467
7.1 Under Section 5,1154,253,8296,2075,11627,3166,3,0,0,0,1094,351,446,127,636,222,12,2,1296,244,9234,2571
7.2 Under Section 6,129,69,724,248,1000,396,0,0,0,0,83,53,59,30,24,23,0,0,149,30,768,313
7.3 Under Section 7,59,10,2521,382,2974,494,0,0,0,0,77,26,30,8,47,18,0,0,17,1,2880,467
7.4 Under Section 8,1,0,1806,509,2027,729,0,2,0,0,68,133,56,94,12,39,0,0,13,43,1946,551
7.5 Other Sections under ITP Act,2153,314,17100,3488,21695,4784,10,2,6,0,1986,778,825,315,1157,463,4,0,2817,439,16876,3565
"8 Indian Railways Act, 1989",796,0,5564,20,6644,20,66,0,34,2,328,3,196,0,132,3,0,0,841,0,5375,15
"9 Registration of Foreigners Act, 1939",2263,69,6100,97,8744,191,3,0,0,0,415,19,268,14,146,5,1,0,2759,120,5567,52
"10 Protection of Civil Rights Act, 1955",196,1,1477,17,1791,21,0,0,0,0,173,0,3,0,152,0,18,0,99,0,1519,21
10.1 PCR Act for crimes committed against SCs,189,1,1426,17,1721,19,0,0,0,0,172,0,3,0,151,0,18,0,93,0,1456,19
10.2 PCR Act for crimes committed against STs,4,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,36,0
10.3 PCR Act for crimes committed against Others,3,0,16,0,31,2,0,0,0,0,1,0,0,0,1,0,0,0,3,0,27,2
"11 Passport Act, 1967",1867,386,4653,148,7254,601,1,0,0,0,453,20,305,17,148,3,0,0,1326,75,5474,506
"12 Essential Commodities Act, 1955",8231,5,60329,165,75177,221,34,0,49,0,5358,21,1355,4,3966,16,37,1,7204,9,62532,191
