S. No.,Category,State/UT,Processes received (Type Wise) - Total Processes received,Processes received (Type Wise) - Bailable Warrant,Processes received (Type Wise) - Non-Bailable Warrant,Processes received (Type Wise) - Summons,Processes received (Type Wise) - Other Processes,Processes Served,Processes Pending / Un-served
1,State,Andhra Pradesh,384973,3475,25750,353922,1826,315372,69601
2,State,Arunachal Pradesh,10473,849,586,6642,2396,7568,2905
3,State,Assam,348276,33778,44024,219579,50895,264998,83278
4,State,Bihar,217636,66795,62758,74838,13245,166965,50671
5,State,Chhattisgarh,711812,148339,88216,441208,34049,634110,77702
6,State,Goa,97402,8873,10940,68063,9526,73854,23548
7,State,Gujarat,2685735,392755,510801,1578145,204034,1960470,725265
8,State,Haryana,2364174,528235,130555,1473316,232068,1886859,477315
9,State,Himachal Pradesh,329292,44350,14547,254430,15965,308529,20763
10,State,Jammu & Kashmir,228325,25675,58124,22264,122262,192094,36231
11,State,Jharkhand,181658,41807,44863,90814,4174,124933,56725
12,State,Karnataka,2020705,332961,446543,1078299,162902,1629293,391412
13,State,Kerala,1568009,279570,261586,996310,30543,1480744,87265
14,State,Madhya Pradesh,2722082,918004,346895,1383333,73850,2508848,213234
15,State,Maharashtra,2577042,313449,378725,1818512,66356,2155127,421915
16,State,Manipur,7740,1741,711,3459,1829,4793,2947
17,State,Meghalaya,27533,3024,1022,14365,9122,20755,6778
18,State,Mizoram,11770,1093,720,9155,802,9405,2365
19,State,Nagaland,5164,216,199,3747,1002,2100,3064
20,State,Odisha,118463,2524,48611,53775,13553,82913,35550
21,State,Punjab,1671670,201372,104534,1331224,34540,1246497,425173
22,State,Rajasthan,3121378,1570591,416656,1100650,33481,2770869,350509
23,State,Sikkim,246,189,12,30,15,189,57
24,State,Tamil Nadu,742831,13982,61999,663278,3572,713906,28925
25,State,Telangana,378734,1748,40743,336204,39,344399,34335
26,State,Tripura,85242,4301,1683,58731,20527,83427,1815
27,State,Uttar Pradesh,897298,163836,146068,514995,72399,881607,15691
28,State,Uttarakhand,42193,4139,4359,28855,4840,34338,7855
29,State,West Bengal,647871,47858,122736,427071,50206,592865,55006
TOTAL (STATES),State,TOTAL (STATES),24205727,5155529,3374966,14405214,1270018,20497827,3707900
30,UT,A & N Islands,19777,63,5011,14089,614,17072,2705
31,UT,Chandigarh,102806,9319,7469,79379,6639,100095,2711
32,UT,D&N Haveli,1232,62,135,788,247,862,370
33,UT,Daman & Diu,1552,43,452,1046,11,1095,457
34,UT,Delhi UT,857620,62347,39449,629165,126659,675048,182572
35,UT,Lakshadweep,2134,29,148,1843,114,2107,27
36,UT,Puducherry,2604,48,197,2359,0,2297,307
TOTAL (Uts),UT,TOTAL (Uts),987725,71911,52861,728669,134284,798576,189149
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),25193452,5227440,3427827,15133883,1404302,21296403,3897049
