S. No.,Category,State/UT,"No. of Cases Registered (U/S 224, 225B)",Total No of Persons Escaped In Above Cases,Persons Escaped From Lockup,Persons Escaped Outside The Lockup,Escapes from lockup Re-Arrested,Other Escapees Re-Arrested,No. of Persons Charged Sheeted For Offence of Escape,Disposal By Courts - No. Tried - Cases Involved,Disposal By Courts - No. Tried - No of Persons,Disposal By Courts - No. Convicted - Cases Involved,Disposal By Courts - No. Convicted - No of Persons,Disposal By Courts - No. Acquitted - Cases Involved,Disposal By Courts - No. Acquitted - No of Persons,Disposal By Courts - No. Pending For Trial - Cases Involved,Disposal By Courts - No. Pending For Trial - No of Persons,No. of Persons Awarded Imprisonment on Charges of Escape - Upto 3 Years,No. of Persons Awarded Imprisonment on Charges of Escape - More than 3 Years
1,State,Andhra Pradesh,39,44,5,39,5,20,21,5,4,4,3,1,1,14,17,8,1
2,State,Arunachal Pradesh,10,14,10,4,2,4,7,0,0,0,0,0,0,4,11,0,0
3,State,Assam,26,26,3,23,2,7,11,3,3,2,2,1,1,6,9,2,3
4,State,Bihar,43,50,13,37,6,24,38,0,0,0,0,0,0,30,31,0,0
5,State,Chhattisgarh,37,42,8,34,5,15,25,2,1,2,1,0,0,19,20,1,0
6,State,Goa,10,11,1,10,1,6,7,55,63,7,13,48,50,6,7,0,0
7,State,Gujarat,30,36,9,27,7,17,46,0,0,0,0,0,0,19,40,0,0
8,State,Haryana,31,39,0,39,0,20,33,2,5,1,2,1,3,25,42,2,0
9,State,Himachal Pradesh,17,17,0,17,5,10,13,4,4,3,3,1,1,49,60,3,0
10,State,Jammu & Kashmir,24,33,19,14,16,7,15,0,0,0,0,0,0,8,10,0,0
11,State,Jharkhand,11,13,4,9,2,2,11,2,762,2,81,0,681,12,9316,3,0
12,State,Karnataka,47,50,4,46,4,15,18,1,1,1,1,0,0,12,14,1,1
13,State,Kerala,56,67,1,66,4,57,44,6,6,6,6,0,0,36,30,6,0
14,State,Madhya Pradesh,105,118,6,112,14,77,93,1,1,1,1,0,0,72,83,2,5
15,State,Maharashtra,106,127,28,99,24,74,65,2,2,0,0,2,2,46,54,0,0
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,5,6,2,4,2,2,5,0,0,0,0,0,0,3,0,0,0
18,State,Mizoram,7,8,1,7,1,6,7,5,5,5,5,0,0,1,2,2,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,50,54,4,50,0,25,33,0,0,0,0,0,0,16,18,0,3
21,State,Punjab,60,79,14,65,13,38,36,17,18,11,12,6,6,25,34,9,1
22,State,Rajasthan,65,81,12,69,5,55,65,5,5,5,5,0,0,43,55,4,3
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,26,30,4,26,4,24,24,1,1,1,1,0,0,17,21,2,0
25,State,Telangana,32,39,5,34,5,19,16,0,0,0,0,0,0,11,9,0,0
26,State,Tripura,10,10,0,10,0,6,6,0,1,0,1,0,0,4,4,1,0
27,State,Uttar Pradesh,164,258,14,244,11,143,152,13,20,6,8,7,12,102,136,4,12
28,State,Uttarakhand,3,3,0,3,0,2,2,1,1,1,1,0,0,0,0,0,0
29,State,West Bengal,40,48,12,36,2,25,41,1,1,1,1,0,0,11,12,3,1
TOTAL (STATES),State,TOTAL (STATES),1054,1303,179,1124,140,700,834,126,904,59,147,67,757,591,10035,53,30
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Chandigarh,8,10,4,6,2,8,9,8,8,4,4,4,4,14,18,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
34,UT,Delhi UT,25,25,1,24,1,18,15,1,2,1,2,0,0,12,12,1,0
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (Uts),UT,TOTAL (Uts),33,35,5,30,3,27,25,9,10,5,6,4,4,27,31,1,0
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),1087,1338,184,1154,143,727,859,135,914,64,153,71,761,618,10066,54,30
