Category (Col. 1),Crime Head (Col. 2),Cases Pending Trial from the Previous Year (Col. 3),Cases Sent for Trial During the Year (Col. 4),No. of Cases Withdrawn by the Govt. (Col. 5),No. of Cases Disposed by Plea Bargaining (Col. 6),Total no. of Cases for Trial During the Year (Col. 7) = (Col.3+4 - Col.5 - Col. 6),Cases Compounded or Withdrawn (Col. 8),Cases in Which Trials were Completed (Col. 9) = (Col. 10+Col.11),Cases Convicted (Col. 10),Cases Acquitted or Discharged (Col. 11),Cases Pending Trial at the End of the Year (Col. 12) = {Col.7 - (Col.8+col.9)},Conviction Rate (Col. 13) = (Col.10/Col.9) x 100,Cases Pendency Percentage (Col. 14) = {Col.12/(Col.3+Col.4)} x 100
Offences under IT Act,1 IT - Tampering Computer Source Documents,38,36,0,0,74,0,4,2,2,70,50,94.6
Offences under IT Act,2 IT - Computer Related Offences,1689,1841,0,0,3530,34,386,159,227,3110,41.2,88.1
Offences under IT Act,2.1 Computer Related Offences-Under Section 66A,1361,1510,0,0,2871,21,328,143,185,2522,43.6,87.8
Offences under IT Act,2.2 Computer related Offences-Under Section 66B,44,38,0,0,82,1,9,3,6,72,33.3,87.8
Offences under IT Act,2.3 Computer related Offences-Under Section 66C,143,160,0,0,303,8,22,8,14,273,36.4,90.1
Offences under IT Act,2.4 Computer related Offences-Under Section 66D,110,100,0,0,210,3,19,2,17,188,10.5,89.5
Offences under IT Act,2.5 Computer related Offences-Under Section 66E,31,33,0,0,64,1,8,3,5,55,37.5,85.9
Offences under IT Act,3 IT - Cyber terrorism,0,1,0,0,1,0,0,0,0,1,NA,100
Offences under IT Act,4 IT - Publication/Transmission of Obscene/Sexually Explicit Content,312,335,0,0,647,1,43,15,28,603,34.9,93.2
Offences under IT Act,4.1 Under section 67A,301,329,0,0,630,1,41,13,28,588,31.7,93.3
Offences under IT Act,4.2 Under section 67B,8,5,0,0,13,0,2,2,0,11,100,84.6
Offences under IT Act,4.3 Under Section 67C,3,1,0,0,4,0,0,0,0,4,NA,100
Offences under IT Act,5 IT - Intentionally not Complying with the Order of Controller,1,3,0,0,4,0,0,0,0,4,NA,100
Offences under IT Act,6 IT - Failure to Provide or Monitor or Intercept or Decrypt Information,0,0,0,0,0,0,0,0,0,0,NA,NA
Offences under IT Act,7 IT - Failure to Block Access any Information Hosted etc,0,0,0,0,0,0,0,0,0,0,NA,NA
Offences under IT Act,8 IT - Not Providing Technical Assistance to Govt. to Enable Online Access,0,0,0,0,0,0,0,0,0,0,NA,NA
Offences under IT Act,9 IT - Un-authorized Access/Attempt to Access to Protected Computer System,0,3,0,0,3,0,0,0,0,3,NA,100
Offences under IT Act,10 IT - Misrepresentation/suppression of Fact for Obtaining License etc,2,5,0,0,7,0,0,0,0,7,NA,100
