Category,State/UT,Cases Reported #,Percentage Contribution to All India Total,Estimated Mid-Year Children Population+ (in Lakhs),Rate of Total Cognizable Crimes
State,Andhra Pradesh,38,1.1,156.7,0.2
State,Arunachal Pradesh,1,0,4.7,0.2
State,Assam,1317,37.7,118.9,11.1
State,Bihar,332,9.5,447.8,0.7
State,Chhattisgarh,16,0.5,100.5,0.2
State,Goa,1,0,5.2,0.2
State,Gujarat,4,0.1,206.8,0
State,Haryana,200,5.7,92.8,2.2
State,Himachal Pradesh,0,0,21.6,0
State,Jammu & Kashmir,1,0,45,0
State,Jharkhand,29,0.8,131.5,0.2
State,Karnataka,82,2.3,195.9,0.4
State,Kerala,9,0.3,93.4,0.1
State,Madhya Pradesh,32,0.9,300.8,0.1
State,Maharashtra,37,1.1,378.5,0.1
State,Manipur,0,0,9.6,0
State,Meghalaya,18,0.5,10,1.8
State,Mizoram,0,0,3.7,0
State,Nagaland,0,0,6.7,0
State,Odisha,27,0.8,140.4,0.2
State,Punjab,9,0.3,87.7,0.1
State,Rajasthan,44,1.3,285.4,0.2
State,Sikkim,0,0,2,0
State,Tamil Nadu,13,0.4,202,0.1
State,Telangana,55,1.6,111.7,0.5
State,Tripura,14,0.4,12.4,1.1
State,Uttar Pradesh,13,0.4,885.8,0
State,Uttarakhand,7,0.2,38.5,0.2
State,West Bengal,1119,32.1,293.7,3.8
State,TOTAL (STATES),3418,97.9,4389.6,0.8
UT,A & N Islands,0,0,1.4,0
UT,Chandigarh,9,0.3,4,2.3
UT,D&N Haveli,0,0,1.3,0
UT,Daman & Diu,0,0,0.9,0
UT,Delhi UT,63,1.8,56,1.1
UT,Lakshadweep,0,0,0.2,0
UT,Puducherry,0,0,4.7,0
UT,TOTAL (UTS),72,2.1,68.4,1.1
TOTAL (ALL INDIA),TOTAL (ALL INDIA),3490,100,4458,0.8
