S. No. (Col. 1),State/UT (Col. 2),Murder (Section 302 IPC) (Col. 3),Attempt To Commit Murder (Section 307 IPC) (Col. 4),C. H. not Amounting to Murder (Section 304 IPC) (Col. 5),Rape (Section 376 IPC) (Col. 6),"Kidnapping & Abduction (Sections 363, 364, 364A, 366A IPC) (Col. 7)","Dacoity (Sections 395,396 & 398 IPC) (Col. 8)",Making Preparation & Assembly for Committing Dacoity (Section 399& 402 IPC) (Col. 9),"Robbery (Sec 392-394, 397,398 IPC) (Col. 10)",Criminal Trespass/Burglary (Sec 457 to 460 IPC) (Col. 11),Theft (Section 379 To 380 IPC) (Col. 12),Riots (Sec 147 to 151 IPC) (Col. 13),"Arson (Section 435, 436, 438 IPC) (Col. 14)","Grievous Hurt (Sec 325, 326, 326A & 326B IPC) (Col. 15)",Causing Death by Negligence (Sec 304A IPC) (Col. 16),Other IPC Crimes (Col. 17),Total IPC Crimes (Col. 18) = (Sum of Col. 3 to 17)
1,Andhra Pradesh,15,1,0,3,0,5,0,9,1,1501,0,0,3,0,182,1720
2,Assam,10,1,0,0,10,2,0,2,3,334,0,0,22,4,88,476
3,Bihar,28,6,0,5,36,12,3,20,14,1364,23,0,1,4,666,2182
4,Chhattisgarh,3,1,0,0,8,0,0,9,4,388,0,0,6,3,90,512
5,Gujarat,17,2,0,1,8,3,1,15,6,1318,9,0,17,5,138,1540
6,Haryana,25,11,1,1,3,6,12,18,1,414,7,0,4,13,910,1426
7,Himachal Pradesh,0,0,0,0,0,0,0,0,2,5,0,0,0,0,3,10
8,Jammu & Kashmir,0,3,0,0,0,0,0,0,1,19,3,0,0,1,14,41
9,Jharkhand,10,0,0,1,10,3,0,11,12,535,0,0,0,2,112,696
10,Karnataka,9,7,0,1,3,7,7,79,9,744,1,2,6,7,103,985
11,Kerala,1,0,0,1,0,0,0,11,1,228,2,1,2,0,145,392
12,Madhya Pradesh,14,16,0,11,24,3,3,144,21,3685,7,0,1,3,529,4461
13,Maharashtra,18,11,1,15,47,19,3,688,6,5882,12,0,43,7,525,7277
14,Odisha,7,6,0,4,13,9,2,30,36,922,3,3,1,4,170,1210
15,Punjab,1,0,2,1,2,0,13,1,1,298,0,0,1,10,280,610
16,Rajasthan,8,1,2,2,2,2,2,5,0,1162,1,0,0,3,213,1403
17,Tamil Nadu,4,9,1,0,1,3,0,55,2,598,20,0,1,6,398,1098
18,Telangana,11,3,0,2,1,0,0,5,1,938,1,0,4,1,122,1089
19,Tripura,1,0,0,0,0,0,0,0,2,5,0,0,0,1,1,10
20,Uttar Pradesh,23,7,5,6,36,7,0,264,0,5712,21,0,4,15,1068,7168
21,West Bengal,32,24,4,4,26,1,165,11,0,866,7,1,38,7,391,1577
22,Delhi UT,10,7,0,15,40,3,0,102,0,2768,2,2,4,2,401,3356
TOTAL ALL INDIA,TOTAL ALL INDIA,247,116,16,73,270,85,211,1479,123,29686,119,9,158,98,6549,39239
