S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Murder (Col. 4),Attempt to Commit Murder (Col. 5),C.H. Not Amounting To Murder (Col. 6),Attempt to Commit Culpable Homicide (Col. 7),Kidnapping & Abduction (Col. 8),Grievous (Col. 9),Causing Death by Negligence (Col. 10),Causing Injuries under Rash Driving/Road Rage (Col. 11),Dowry Deaths (Col. 12),Human Trafficking (Section 370 & 370A IPC) (Col. 13),Total IPC Crimes Against Body (Col. 14) = (Col.1+ Col.3+ Col.4+ Col.5+ Col.6+ Col.7+ Col.8+ Col.9+ Col.10+ Col.11+Col.12+Col.13),Percentage Share (Col. 15),Crime Rate (Col. 16),Percentage To Total IPC Crimes (Col. 17)
1,State,Andhra Pradesh,1099,1737,92,6,917,758,7770,16522,174,19,29094,3.4,56.7,26.3
2,State,Arunachal Pradesh,57,53,5,0,175,283,119,149,0,1,842,0.1,64.6,28.4
3,State,Assam,1343,1044,91,6,5831,11407,2683,4859,216,137,27617,3.2,85.8,26.7
4,State,Bihar,3178,5981,121,864,7128,12502,4061,4886,1154,38,39913,4.7,38.7,22.6
5,State,Chhattisgarh,929,726,32,4,2083,1987,3937,9800,89,61,19648,2.3,76.6,34.7
6,State,Goa,31,25,7,0,112,73,235,599,0,26,1108,0.1,56.4,36
7,State,Gujarat,1150,908,49,5,2108,2886,7400,27251,12,2,41771,4.9,67,32.9
8,State,Haryana,1002,859,61,2,3520,2014,4450,7043,243,21,19215,2.2,70.6,22.7
9,State,Himachal Pradesh,106,64,7,0,327,457,781,2276,2,0,4020,0.5,57,28.7
10,State,Jammu & Kashmir,133,430,30,0,1153,273,766,5113,6,0,7904,0.9,64.1,33.5
11,State,Jharkhand,1536,992,34,9,1402,2444,1631,2550,267,126,10991,1.3,33,24.4
12,State,Karnataka,1557,2470,82,94,2354,1243,10458,34201,254,19,52732,6.1,85.1,38
13,State,Kerala,334,587,87,2059,271,1852,3447,130907,8,10,139562,16.3,392.6,54.3
14,State,Madhya Pradesh,2339,2507,132,65,6778,5604,9044,41529,664,55,68717,8,89.1,25.6
15,State,Maharashtra,2509,2683,151,12,8255,7945,13058,31161,268,7,66049,7.7,55.4,24
16,State,Manipur,81,196,0,0,179,224,119,556,0,0,1355,0.2,52.7,35.2
17,State,Meghalaya,149,113,3,0,212,123,136,141,1,0,878,0.1,31.9,21.5
18,State,Mizoram,36,24,10,0,15,75,46,18,0,0,224,0,21.2,10.1
19,State,Nagaland,51,60,7,0,85,25,28,15,0,1,272,0,11.5,20.9
20,State,Odisha,1473,2446,26,0,3236,4363,4267,5710,356,60,21937,2.6,51.9,26.3
21,State,Punjab,701,884,124,37,1694,2440,3349,2255,85,3,11572,1.3,40,30.5
22,State,Rajasthan,1569,1645,69,144,5426,1402,9416,13933,463,7,34074,4,47.1,17.2
23,State,Sikkim,17,17,2,0,21,50,69,156,1,0,333,0,51.9,43.5
24,State,Tamil Nadu,1748,2935,59,0,1603,1158,15138,54253,65,57,77016,9,111.4,41.1
25,State,Telangana,1188,1143,116,0,1044,1023,6884,14725,262,226,26611,3.1,72.8,25
26,State,Tripura,144,89,3,0,152,1055,137,511,28,0,2119,0.2,55.8,45.2
27,State,Uttar Pradesh,4732,4897,1338,686,11999,10397,15995,16492,2335,10,68881,8,31.9,28.5
28,State,Uttarakhand,192,199,38,6,757,102,568,747,54,4,2667,0.3,25.3,26
29,State,West Bengal,2096,9918,328,1101,6115,18075,6146,11932,498,50,56259,6.6,60.5,31.3
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),31480,45632,3104,5100,74952,92240,132138,440290,7505,940,833381,97.1,67.6,30.3
30,UT,A & N Islands,19,6,0,1,28,29,34,236,0,0,353,0,64.7,41
31,UT,Chandigarh,20,42,7,8,230,35,98,321,5,2,768,0.1,44.1,23.6
32,UT,D&N Haveli,10,2,2,0,14,13,52,33,1,0,127,0,30.4,47.2
33,UT,Daman & Diu,4,5,0,5,27,9,52,32,0,1,135,0,42.1,44.7
34,UT,Delhi UT,570,770,58,1003,7730,632,1777,8903,122,78,21643,2.5,103.7,11.3
35,UT,Lakshadweep,0,1,0,0,0,0,0,4,0,0,5,0,6.2,10
36,UT,Puducherry,24,13,5,1,18,38,233,1250,1,0,1583,0.2,96.2,46
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),647,839,72,1018,8047,756,2246,10779,129,81,24614,2.9,96,12.3
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),32127,46471,3176,6118,82999,92996,134384,451069,7634,1021,857995,100,68.1,29.1
