Category,Events,Number of Occasions Firing was Resorted to by the Police,Cases Registered,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
POLICE FIRING,RIOTS,21,20,11,25,0,72
POLICE FIRING,SELF DEFENCE,19,19,10,4,1,5
POLICE FIRING,TO EFFECT ARREST,30,30,5,5,0,17
POLICE FIRING,AGAINST OTHERS,86,76,16,5,7,83
POLICE FIRING,TOTAL,156,145,42,39,8,177
POLICE LATHI-CHARGE,RIOTS,145,140,2,82,0,375
POLICE LATHI-CHARGE,SELF DEFENCE,2,2,0,0,0,6
POLICE LATHI-CHARGE,TO EFFECT ARREST,28,28,0,50,0,36
POLICE LATHI-CHARGE,AGAINST OTHERS,152,152,5,166,0,279
POLICE LATHI-CHARGE,TOTAL,327,322,7,298,0,696
