S. No. (Col. 1),Year (Col. 2),Total Value of Property Stolen (Col. 3),Total Value of Property Recovered (Col. 4),Percentage Recovery (Col. 5) = (Col.3/Col.4) x 100
1,2005,240900,57600,23.9
2,2006,240395,60723,25.3
3,2007,268078,69655,26
4,2008,385296,76815,19.9
5,2009,449501,87611,19.5
6,2010,626636,180963,28.9
7,2011,658525,122538,18.6
8,2012,2107194,141793,6.7
9,2013,1321931,176270,13.3
10,2014,751482,157552,21
11,2015,821040,135019,16.4
Percentage Change in 2015 over 2014,Percentage Change in 2015 over 2014,9.3,-14.3,-21.9
