Crime Head,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year * - Male,Total Number of Persons under Trial During the Year * - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female,,,,,,,,,
"1 Protection of Civil Rights Act, 1955",189,1,1426,17,1721,19,0,0,0,0,172,0,3,0,151,0,18,0,93,0,1456,19,,,,,,,,,
2.1 Murder,2197,8,6202,89,10056,125,0,0,6,0,1112,8,432,1,677,7,3,0,2435,18,6503,99,,,,,,,,,
2.2 Attempt to Commit Murder,347,14,1449,74,3065,116,0,0,2,0,268,8,62,0,204,8,2,0,565,7,2230,101,,,,,,,,,
2.3 Rape,2382,5,5492,27,10511,82,1,0,3,0,1361,10,454,0,903,10,4,0,2438,5,6708,67,,,,,,,,,
2.4 Attempt to Commit Rape,40,0,55,0,164,0,0,0,0,0,19,0,7,0,12,0,0,0,25,0,120,0,,,,,,,,,
2.5 Assault on Women with Intent to Outrage her Modesty,621,3,3050,38,6778,61,2,0,2,0,1001,5,257,0,738,5,6,0,962,3,4811,53,,,,,,,,,
2.5.1 Sexual Harassment,253,0,876,6,2610,12,0,0,0,0,341,0,95,0,245,0,1,0,568,0,1701,12,,,,,,,,,
2.5.2 Assault on women with Intent to Disrobe,48,0,102,1,293,5,0,0,0,0,36,0,9,0,27,0,0,0,36,0,221,5,,,,,,,,,
2.5.3 Voyeurism,3,0,20,0,49,0,0,0,0,0,5,0,0,0,5,0,0,0,18,0,26,0,,,,,,,,,
2.5.4 Stalking,25,0,82,0,238,0,0,0,1,0,56,0,11,0,45,0,0,0,28,0,153,0,,,,,,,,,
2.5.5 Other Sexual Harassment,292,3,1970,31,3588,44,2,0,1,0,563,5,142,0,416,5,5,0,312,3,2710,36,,,,,,,,,
2.6 Insult to the Modesty of women,0,0,93,1,148,2,0,0,0,0,23,0,3,0,20,0,0,0,3,0,122,2,,,,,,,,,
2.7 Kidnapping & Abduction,707,11,2373,10,3989,30,0,1,10,5,399,4,163,1,236,3,0,0,789,3,2791,17,,,,,,,,,
2.7.1 Kidnaping & Abduction,134,5,552,1,869,6,0,1,4,4,74,0,33,0,41,0,0,0,130,0,661,1,,,,,,,,,
2.7.2 Kidnaping & Abduction in Order to Murder,12,0,17,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,16,0,,,,,,,,,
2.7.3 Kidnapping for Ransom,0,0,5,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,6,0,,,,,,,,,
2.7.4 Kidnapping & Abduction of Women to Compel her for Marriage,467,5,1299,7,2383,21,0,0,3,1,243,3,106,1,137,2,0,0,534,2,1603,15,,,,,,,,,
2.7.5 Other Kidnapping,94,1,500,2,687,3,0,0,3,0,81,1,23,0,58,1,0,0,98,1,505,1,,,,,,,,,
2.8 Dacoity,122,0,1082,19,1371,26,0,0,0,0,66,3,0,0,65,3,1,0,132,0,1173,23,,,,,,,,,
2.8.1 Dacoity with Murder,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,
2.8.2 Other Dacoity,119,0,1082,19,1368,26,0,0,0,0,66,3,0,0,65,3,1,0,129,0,1173,23,,,,,,,,,
2.9 Robbery,105,0,510,0,707,2,0,0,0,0,57,0,10,0,47,0,0,0,98,0,552,2,,,,,,,,,
2.10 Arson,365,0,1740,15,2455,19,0,0,0,0,190,1,57,0,131,1,2,0,375,0,1890,18,,,,,,,,,
2.11 Grievous Hurt,3301,20,11598,130,16971,223,115,0,12,0,2044,12,611,1,1430,11,3,0,3042,19,11758,192,,,,,,,,,
2.11.1 Hurt,3299,20,11597,130,16963,223,115,0,12,0,2043,12,610,1,1430,11,3,0,3038,19,11755,192,,,,,,,,,
2.11.2 Acid attack,0,0,1,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,,,,,,,,,
2.11.3 Attempt to Acid Attack,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,
2.12 Riots,784,14,8311,293,16095,471,0,0,16,0,1453,87,200,2,1247,85,6,0,1324,16,13302,368,,,,,,,,,
2.13 Other IPC crimes,14142,102,71674,1650,113799,2271,154,6,149,0,13357,311,4652,45,8503,263,202,3,14783,113,85356,1841,,,,,,,,,
2.14 SC / ST (Prevention of Atrocities) Act only,16088,84,67490,981,94638,1460,501,0,217,4,10223,192,1870,13,8282,178,71,1,13906,59,69791,1205,,,,,,,,,
2 Total of SC/ST (Prevention of Atrocities) Act,41201,261,181119,3327,280747,4888,773,7,417,9,31573,641,8778,63,22495,574,300,4,40877,243,207107,3988,,,,,,,,,
3.1 Murder,44,3,134,5,305,12,0,0,0,0,41,1,18,1,23,0,0,0,110,2,154,9,,,,,,,,,
3.2 Attempt to Commit Murder,36,1,91,5,273,14,0,0,0,0,53,0,10,0,43,0,0,0,61,0,159,14,,,,,,,,,
3.3 Rape,78,0,186,3,434,5,0,0,0,0,64,0,12,0,52,0,0,0,160,2,210,3,,,,,,,,,
3.4 Attempt to Commit Rape,0,0,13,0,22,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,19,0,,,,,,,,,
3.5 Assault on Women with Intent to Outrage her Modesty,85,0,346,12,736,20,43,3,0,0,98,8,12,0,86,8,0,0,154,0,441,9,,,,,,,,,
3.5.1 Sexual Harassment,16,0,36,0,100,4,5,1,0,0,17,1,2,0,15,1,0,0,16,0,62,2,,,,,,,,,
3.5.2 Assault on Women with Intent to Disrobe,3,0,27,0,63,1,0,0,0,0,5,1,0,0,5,1,0,0,11,0,47,0,,,,,,,,,
3.5.3 Voyeurism,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,,,,,,,,,
3.5.4 Stalking,1,0,25,1,51,1,1,1,0,0,10,0,0,0,10,0,0,0,3,0,37,0,,,,,,,,,
3.5.5 Other Sexual Harassment,65,0,248,11,507,14,37,1,0,0,66,6,10,0,56,6,0,0,123,0,281,7,,,,,,,,,
3.6 Insult to the Modesty of women,0,0,156,0,277,4,46,0,0,0,25,0,12,0,13,0,0,0,54,2,152,2,,,,,,,,,
3.7 Kidnapping & Abduction,27,0,93,1,233,8,1,0,0,0,28,0,7,0,21,0,0,0,70,0,134,8,,,,,,,,,
3.7.1 Kidnaping & Abduction,16,0,15,0,82,0,0,0,0,0,8,0,3,0,5,0,0,0,47,0,27,0,,,,,,,,,
3.7.2 Kidnaping & Abduction in Order to Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
3.7.3 Kidnapping for Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
3.7.4 Kidnapping & Abduction of Women to Compel her for Marriage,6,0,46,1,78,2,1,0,0,0,6,0,1,0,5,0,0,0,13,0,58,2,,,,,,,,,
3.7.5 Other Kidnapping,5,0,32,0,73,6,0,0,0,0,14,0,3,0,11,0,0,0,10,0,49,6,,,,,,,,,
3.8 Dacoity,8,0,6,0,22,0,0,0,0,0,5,0,0,0,5,0,0,0,7,0,10,0,,,,,,,,,
3.8.1 Dacoity with Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
3.8.2 Other Dacoity,8,0,6,0,22,0,0,0,0,0,5,0,0,0,5,0,0,0,7,0,10,0,,,,,,,,,
3.9 Robbery,13,0,20,0,73,0,0,0,0,0,19,0,9,0,10,0,0,0,28,0,26,0,,,,,,,,,
3.10 Arson,5,0,28,0,55,1,0,0,0,0,5,0,1,0,4,0,0,0,13,0,37,1,,,,,,,,,
3.11 Grievous Hurt,22,0,196,2,354,5,14,0,1,0,68,0,3,0,65,0,0,0,43,0,228,5,,,,,,,,,
3.11.1 Grievous Hurt,22,0,196,2,354,5,14,0,1,0,68,0,3,0,65,0,0,0,43,0,228,5,,,,,,,,,
3.11.2 Acid Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
3.11.3 Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
3.12 Riots,79,2,322,9,733,26,0,0,0,0,83,1,18,0,65,1,0,0,177,3,473,22,,,,,,,,,
