S.No.,Category,State/UT,Dacoity,Making Preparation And Assembly For Committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Total IPC Crimes Against Property,Percentage Share,Crime Rate,Percentage To Total IPC Cognizable Crimes
1,State,Andhra Pradesh,55,11,384,4658,14062,19170,3.1,37.3,17.3
2,State,Arunachal Pradesh,10,2,75,265,561,913,0.1,70.1,30.8
3,State,Assam,191,12,928,5021,12399,18551,3,57.6,17.9
4,State,Bihar,426,59,1640,4518,22462,29105,4.7,28.2,16.4
5,State,Chhattisgarh,106,10,358,3301,5773,9548,1.5,37.2,16.8
6,State,Goa,4,2,17,185,597,805,0.1,41,26.2
7,State,Gujarat,275,17,992,4281,14096,19661,3.1,31.5,15.5
8,State,Haryana,201,106,935,6653,20598,28493,4.6,104.7,33.7
9,State,Himachal Pradesh,1,0,5,674,550,1230,0.2,17.4,8.8
10,State,Jammu & Kashmir,7,0,63,1435,1883,3388,0.5,27.5,14.4
11,State,Jharkhand,211,17,474,1298,7796,9796,1.6,29.4,21.7
12,State,Karnataka,268,455,1906,6086,20748,29463,4.7,47.5,21.2
13,State,Kerala,92,64,767,2855,4422,8200,1.3,23.1,3.2
14,State,Madhya Pradesh,145,217,1836,11316,29649,43163,6.9,56,16.1
15,State,Maharashtra,784,275,8561,16581,61128,87329,14,73.3,31.7
16,State,Manipur,0,0,7,84,1333,1424,0.2,55.3,37
17,State,Meghalaya,41,2,89,212,820,1164,0.2,42.3,28.5
18,State,Mizoram,3,0,5,632,855,1495,0.2,141.7,67.1
19,State,Nagaland,3,0,40,61,462,566,0.1,24,43.5
20,State,Odisha,379,107,1787,4046,10055,16374,2.6,38.8,19.6
21,State,Punjab,25,154,140,2812,5088,8219,1.3,28.4,21.6
22,State,Rajasthan,68,78,1227,6224,29067,36664,5.9,50.7,18.5
23,State,Sikkim,0,0,11,98,111,220,0.0,34.3,28.7
24,State,Tamil Nadu,93,80,1763,5131,11196,18263,2.9,26.4,9.7
25,State,Telangana,36,2,377,5039,14765,20219,3.2,55.3,19
26,State,Tripura,4,1,34,183,275,497,0.1,13.1,10.6
27,State,Uttar Pradesh,277,56,3637,6683,49491,60144,9.6,27.9,24.9
28,State,Uttarakhand,17,3,126,337,1609,2092,0.3,19.8,20.4
29,State,West Bengal,163,1424,508,352,19941,22388,3.6,24.1,12.5
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),3885,3154,28692,101021,361792,498544,79.7,40.4,18.1
30,UT,A & N Islands,0,0,2,59,49,110,0.0,20.1,12.8
31,UT,Chandigarh,8,1,75,102,984,1170,0.2,67.2,36
32,UT,D&N Haveli,1,0,3,14,32,50,0.0,12,18.6
33,UT,Daman & Diu,2,0,6,27,40,75,0.0,23.4,24.8
34,UT,Delhi UT,75,5,7407,12862,104432,124781,20,597.8,65.2
35,UT,Lakshadweep,0,0,0,5,6,11,0.0,13.7,22
36,UT,Puducherry,1,3,3,33,498,538,0.1,32.7,15.6
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),87,9,7496,13102,106041,126735,20.3,494.5,63.5
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),3972,3163,36188,114123,467833,625279,100,49.7,21.2
