S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Cases Pending Investigation from Previous Year (Col. 4),Cases Reported During the Year (Col. 5),No. of Cases Withdrawn by the Govt. During Investigation (Col. 6),Cases Transferred to other Police Station/ Magistrate (Col. 7),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col. 8),Total Cases for Investigation (Col. 9) = (Col. 4+5-6-7-8),Cases Ended as Final Report False (Col. 10),Cases Ended as Mistake of Fact or of Law (Col. 11),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col. 12),Cases in Which Charge-sheets were Submitted (Col. 13),Cases in Which Charge-sheets were not laid but Final Report as True submitted (Col. 14),Total Cases Disposed of by Police (Col. 15) = (Col. 10+11+12+13+14),Cases Pending Investigation at the End of the Year (Col. 16) = (col. 9 - col. 15),Charge-Sheeting Rate (Col. 17) = {(Col.13/(Col.13+Col.14)} x 100,Cases Pendency Percentage (Col. 18) = {(Col.16/(Col.4+Col.5)} x 100
1,State,Andhra Pradesh,4490,15755,0,1259,0,18986,442,55,1,11854,828,13180,5806,93.5,28.7
2,State,Arunachal Pradesh,158,181,0,0,0,339,18,20,2,155,27,222,117,85.2,34.5
3,State,Assam,8802,3849,0,48,0,12603,0,3,0,1972,1598,3573,9030,55.2,71.4
4,State,Bihar,8489,18439,0,0,0,26928,323,240,100,15070,869,16602,10326,94.5,38.3
5,State,Chhattisgarh,827,245223,0,0,0,246050,12,9,0,244873,79,244973,1077,100,0.4
6,State,Goa,558,1482,0,0,0,2040,3,29,13,1438,146,1629,411,90.8,20.1
7,State,Gujarat,26654,307108,14,6,2,333740,29,48,10,301688,585,302360,31380,99.8,9.4
8,State,Haryana,9415,47523,0,0,0,56938,302,1,90,28056,14555,43004,13934,65.8,24.5
9,State,Himachal Pradesh,565,3214,0,0,0,3779,73,16,0,2982,95,3166,613,96.9,16.2
10,State,Jammu & Kashmir,1921,1727,0,0,0,3648,81,2,0,1516,174,1773,1875,89.7,51.4
11,State,Jharkhand,4284,7861,0,0,0,12145,471,347,59,4706,852,6435,5710,84.7,47
12,State,Karnataka,6781,32019,1,363,2,38434,588,108,39,25120,831,26686,11748,96.8,30.3
13,State,Kerala,13331,396334,0,15,0,409650,458,358,33,391967,3397,396213,13437,99.1,3.3
14,State,Madhya Pradesh,780,90046,0,4,3,90819,69,154,65,89665,104,90057,762,99.9,0.8
15,State,Maharashtra,60076,147766,1,36,26,207779,131,131,119,134038,1621,136040,71739,98.8,34.5
16,State,Manipur,6240,1004,0,0,0,7244,0,0,0,242,340,582,6662,41.6,92
17,State,Meghalaya,740,327,0,0,0,1067,1,1,0,173,49,224,843,77.9,79
18,State,Mizoram,107,347,0,1,0,453,0,0,0,354,22,376,77,94.1,17
19,State,Nagaland,175,629,1,0,0,803,0,0,0,580,56,636,167,91.2,20.8
20,State,Odisha,9096,19848,0,3,0,28941,100,45,0,20337,116,20598,8343,99.4,28.8
21,State,Punjab,22899,22253,0,0,0,45152,423,320,0,20257,329,21329,23823,98.4,52.8
22,State,Rajasthan,3419,64096,1,6,0,67508,398,1175,87,60680,3426,65766,1742,94.7,2.6
23,State,Sikkim,46,184,0,0,0,230,0,0,0,159,7,166,64,95.8,27.8
24,State,Tamil Nadu,45275,254604,0,31,0,299848,0,2043,1,253362,9009,264415,35433,96.6,11.8
25,State,Telangana,5312,16496,0,2820,0,18988,205,274,2,10976,1990,13447,5541,84.7,25.4
26,State,Tripura,101,172,0,0,0,273,0,6,1,157,11,175,98,93.5,35.9
27,State,Uttar Pradesh,13944,2549421,0,7,0,2563358,187,552,0,2508223,36951,2545913,17445,98.5,0.7
28,State,Uttarakhand,464,88618,0,2,0,89080,25,0,0,87533,724,88282,798,99.2,0.9
29,State,West Bengal,14581,26777,0,4369,0,36989,32,103,24,22917,2500,25576,11413,90.2,27.6
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),269530,4363303,18,8970,33,4623812,4371,6040,646,4241050,81291,4333398,290414,98.1,6.3
30,UT,A & N Islands,368,2197,0,0,0,2565,0,0,0,2479,6,2485,80,99.8,3.1
31,UT,Chandigarh,594,1865,0,0,0,2459,0,13,0,1857,27,1897,562,98.6,22.9
32,UT,D&N Haveli,24,34,0,0,0,58,0,0,0,25,0,25,33,100,56.9
33,UT,Daman & Diu,19,17,0,0,0,36,0,0,0,21,0,21,15,100,41.7
34,UT,Delhi UT,8020,8599,0,0,0,16619,193,15,2,6587,653,7450,9169,91,55.2
35,UT,Lakshadweep,23,15,0,0,0,38,0,1,1,21,0,23,15,100,39.5
36,UT,Puducherry,168,669,0,5,0,832,0,0,0,630,74,704,128,89.5,15.3
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),9216,13396,0,5,0,22607,193,29,3,11620,760,12605,10002,93.9,44.2
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),278746,4376699,18,8975,33,4646419,4564,6069,649,4252670,82051,4346003,300416,98.1,6.5
