S. No.,Recovery Category,Total No. of Cases Reported,Sex-Wise / Age Group-Wise - Below 6 Years - M,Sex-Wise / Age Group-Wise - Below 6 Years - F,Sex-Wise / Age Group-Wise - 6 Years & Above - Below 12 Years - M,Sex-Wise / Age Group-Wise - 6 Years & Above - Below 12 Years - F,Sex-Wise / Age Group-Wise - 12 Years & Above – Below 16 Years - M,Sex-Wise / Age Group-Wise - 12 Years & Above – Below 16 Years - F,Sex-Wise / Age Group-Wise - 16 Years & Above – Below 18 Years - M,Sex-Wise / Age Group-Wise - 16 Years & Above – Below 18 Years - F,Sex-Wise / Age Group-Wise - 18 Years & Above – Below 30 Years - M,Sex-Wise / Age Group-Wise - 18 Years & Above – Below 30 Years - F,Sex-Wise / Age Group-Wise - 30 Years & Above – Below 45 Years - M,Sex-Wise / Age Group-Wise - 30 Years & Above – Below 45 Years - F,Sex-Wise / Age Group-Wise - 45 Years & Above – Below 60 Years - M,Sex-Wise / Age Group-Wise - 45 Years & Above – Below 60 Years - F,Sex-Wise / Age Group-Wise - 60 Years & Above - M,Sex-Wise / Age Group-Wise - 60 Years & Above - F,Total - M,Total - F,Grand Total
1,Recovered alive,58233,627,720,1755,1434,4171,8728,2660,12330,4048,17370,1901,3480,483,351,99,27,15744,44440,60184
2,Recovered dead,386,16,13,29,22,37,45,23,41,25,96,27,7,7,2,3,0,167,226,393
3,Total Recovered,58619,643,733,1784,1456,4208,8773,2683,12371,4073,17466,1928,3487,490,353,102,27,15911,44666,60577
4,Unrecovered kidnapped & abducted persons,75453,987,1034,1953,1718,3744,8223,3161,13402,7066,23046,3722,7618,915,813,73,21,21621,55875,77496
