S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Murder (Col. 4),Attempt to Commit Murder (Col. 5),C.H. Not Amounting To Murder (Col. 6),Attempt to Commit Culpable Homicide (Col. 7),Rape (Col. 8),Attempt to Commit Rape (Col. 9),Total Kidnapping & Abduction (Col. 10),Dacoity (Col. 11),Making Preparation And Assembly For Committing Dacoity (Col. 12),Robbery (Col. 13),Riots (Col. 14),Arson (Col. 15),Dowry Deaths (Col. 16),Total Violent Crimes (Col. 17) = (Col. 4 to 16),Percentage Share To All India Crimes (Col. 18),Rate of Violent Crimes (Col. 19),Percentage To Total Cognizable Crimes Under IPC (Col. 20)
1,State,Andhra Pradesh,1099,1737,92,6,1027,206,917,55,11,384,731,516,174,6955,2.1,13.5,6.3
2,State,Arunachal Pradesh,57,53,5,0,71,12,175,10,2,75,28,32,0,520,0.2,39.9,17.5
3,State,Assam,1343,1044,91,6,1733,499,5831,191,12,928,2435,826,216,15155,4.5,47.1,14.6
4,State,Bihar,3178,5981,121,864,1041,403,7128,426,59,1640,13311,448,1154,35754,10.6,34.7,20.2
5,State,Chhattisgarh,929,726,32,4,1560,19,2083,106,10,358,809,382,89,7107,2.1,27.7,12.5
6,State,Goa,31,25,7,0,86,0,112,4,2,17,123,22,0,429,0.1,21.8,14
7,State,Gujarat,1150,908,49,5,503,3,2108,275,17,992,1751,273,12,8046,2.4,12.9,6.3
8,State,Haryana,1002,859,61,2,1070,105,3520,201,106,935,1875,234,243,10213,3,37.5,12.1
9,State,Himachal Pradesh,106,64,7,0,244,1,327,1,0,5,409,84,2,1250,0.4,17.7,8.9
10,State,Jammu & Kashmir,133,430,30,0,296,21,1153,7,0,63,1162,148,6,3449,1,28,14.6
11,State,Jharkhand,1536,992,34,9,1053,202,1402,211,17,474,2196,100,267,8493,2.5,25.5,18.9
12,State,Karnataka,1557,2470,82,94,589,16,2354,268,455,1906,6602,464,254,17111,5.1,27.6,12.3
13,State,Kerala,334,587,87,2059,1256,30,271,92,64,767,5830,562,8,11947,3.6,33.6,4.6
14,State,Madhya Pradesh,2339,2507,132,65,4391,57,6778,145,217,1836,2205,834,664,22170,6.6,28.7,8.3
15,State,Maharashtra,2509,2683,151,12,4144,13,8255,784,275,8561,8336,1299,268,37290,11.1,31.3,13.5
16,State,Manipur,81,196,0,0,46,1,179,0,0,7,164,75,0,749,0.2,29.1,19.5
17,State,Meghalaya,149,113,3,0,93,23,212,41,2,89,1,34,1,761,0.2,27.6,18.7
18,State,Mizoram,36,24,10,0,58,6,15,3,0,5,3,17,0,177,0.1,16.8,7.9
19,State,Nagaland,51,60,7,0,35,1,85,3,0,40,10,7,0,299,0.1,12.7,23
20,State,Odisha,1473,2446,26,0,2251,137,3236,379,107,1787,1976,505,356,14679,4.4,34.7,17.6
21,State,Punjab,701,884,124,37,886,128,1694,25,154,140,0,80,85,4938,1.5,17.1,13
22,State,Rajasthan,1569,1645,69,144,3644,407,5426,68,78,1227,424,472,463,15636,4.7,21.6,7.9
23,State,Sikkim,17,17,2,0,5,1,21,0,0,11,5,4,1,84,0,13.1,11
24,State,Tamil Nadu,1748,2935,59,0,421,29,1603,93,80,1763,2648,677,65,12121,3.6,17.5,6.5
25,State,Telangana,1188,1143,116,0,1105,43,1044,36,2,377,554,436,262,6306,1.9,17.2,5.9
26,State,Tripura,144,89,3,0,213,38,152,4,1,34,76,25,28,807,0.2,21.2,17.2
27,State,Uttar Pradesh,4732,4897,1338,686,3025,422,11999,277,56,3637,6813,396,2335,40613,12.1,18.8,16.8
28,State,Uttarakhand,192,199,38,6,283,10,757,17,3,126,464,9,54,2158,0.6,20.5,21.1
29,State,West Bengal,2096,9918,328,1101,1199,1551,6115,163,1424,508,4057,503,498,29461,8.8,31.7,16.4
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),31480,45632,3104,5100,32328,4384,74952,3885,3154,28692,64998,9464,7505,314678,93.7,25.5,11.4
30,UT,A & N Islands,19,6,0,1,36,0,28,0,0,2,20,4,0,116,0,21.2,13.5
31,UT,Chandigarh,20,42,7,8,72,6,230,8,1,75,49,7,5,530,0.2,30.4,16.3
32,UT,D&N Haveli,10,2,2,0,8,0,14,1,0,3,10,2,1,53,0,12.7,19.7
33,UT,Daman & Diu,4,5,0,5,5,0,27,2,0,6,5,4,0,63,0,19.6,20.9
34,UT,Delhi UT,570,770,58,1003,2199,46,7730,75,5,7407,130,224,122,20339,6.1,97.4,10.6
35,UT,Lakshadweep,0,1,0,0,0,0,0,0,0,0,0,5,0,6,0,7.5,12
36,UT,Puducherry,24,13,5,1,3,1,18,1,3,3,43,0,1,116,0,7.1,3.4
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),647,839,72,1018,2323,53,8047,87,9,7496,257,246,129,21223,6.3,82.8,10.6
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),32127,46471,3176,6118,34651,4437,82999,3972,3163,36188,65255,9710,7634,335901,100,26.7,11.4
