S. No.,Category,State/UT,Cases Reported under Total Cyber Crimes - 2014,Cases Reported under Total Cyber Crimes - 2015,Cases Reported under Total Cyber Crimes - % Variation,Persons Arrested under Total Cyber Crimes - 2014,Persons Arrested under Total Cyber Crimes - 2015,Persons Arrested under Total Cyber Crimes - % Variation,Percentage Share of Cases Reported under Cyber Crimes during 2015
1,State,Andhra Pradesh,282,536,90.1,236,522,121.2,4.6
2,State,Arunachal Pradesh,18,6,-66.7,2,4,100,0.1
3,State,Assam,379,483,27.4,351,457,30.2,4.2
4,State,Bihar,114,242,112.3,111,1567,1311.7,2.1
5,State,Chhattisgarh,123,103,-16.3,105,99,-5.7,0.9
6,State,Goa,62,17,-72.6,14,5,-64.3,0.1
7,State,Gujarat,227,242,6.6,174,272,56.3,2.1
8,State,Haryana,151,224,48.3,121,205,69.4,1.9
9,State,Himachal Pradesh,38,50,31.6,16,38,137.5,0.4
10,State,Jammu & Kashmir,37,34,-8.1,4,12,200,0.3
11,State,Jharkhand,93,180,93.5,57,172,201.8,1.6
12,State,Karnataka,1020,1447,41.9,372,293,-21.2,12.5
13,State,Kerala,450,290,-35.6,283,191,-32.5,2.5
14,State,Madhya Pradesh,289,231,-20.1,386,230,-40.4,2
15,State,Maharashtra,1879,2195,16.8,942,825,-12.4,18.9
16,State,Manipur,13,6,-53.8,3,0,-100,0.1
17,State,Meghalaya,60,56,-6.7,12,20,66.7,0.5
18,State,Mizoram,22,8,-63.6,4,18,350,0.1
19,State,Nagaland,0,0,NA,0,0,NA,0
20,State,Odisha,124,386,211.3,17,110,547.1,3.3
21,State,Punjab,226,149,-34.1,159,136,-14.5,1.3
22,State,Rajasthan,697,949,36.2,248,295,19,8.2
23,State,Sikkim,4,1,-75,2,1,-50,0
24,State,Tamil Nadu,172,142,-17.4,120,125,4.2,1.2
25,State,Telangana,703,687,-2.3,429,430,0.2,5.9
26,State,Tripura,5,13,160,1,8,700,0.1
27,State,Uttar Pradesh,1737,2208,27.1,1223,1699,38.9,19
28,State,Uttarakhand,42,48,14.3,39,23,-41,0.4
29,State,West Bengal,355,398,12.1,212,287,35.4,3.4
TOTAL (STATES),State,TOTAL (STATES),9322,11331,21.6,5643,8044,42.5,97.7
30,UT,A & N Islands,13,6,-53.8,5,2,-60,0.1
31,UT,Chandigarh,55,77,40,45,22,-51.1,0.7
32,UT,D&N Haveli,3,0,-100,1,0,-100,0
33,UT,Daman & Diu,1,1,0,2,0,-100,0
34,UT,Delhi UT,226,177,-21.7,56,53,-5.4,1.5
35,UT,Lakshadweep,1,0,-100,0,0,NA,0
36,UT,Puducherry,1,0,-100,0,0,NA,0
TOTAL (UTS),UT,TOTAL (UTS),300,261,-13,109,77,-29.4,2.3
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,9622,11592,20.5,5752,8121,41.2,100
