Category,Crime Head,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year - Male,Total Number of Persons under Trial During the Year - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
Offences under IT Act,1 IT - Tampering Computer Source Documents,3,0,37,0,94,0,0,0,0,0,4,0,2,0,2,0,0,0,13,0,77,0
Offences under IT Act,2 IT - Computer Related Offences,221,1,1995,50,4682,143,52,0,3,0,497,9,206,1,274,8,17,0,737,50,3393,84
Offences under IT Act,2.1 Computer Related Offences-Under Section 66A,175,0,1650,31,3848,112,47,0,3,0,394,6,179,0,200,6,15,0,605,48,2799,58
Offences under IT Act,2.2 Computer related Offences-Under Section 66B,9,0,40,0,97,1,1,0,0,0,17,0,3,0,14,0,0,0,20,0,59,1
Offences under IT Act,2.3 Computer related Offences-Under Section 66C,17,1,154,13,374,21,0,0,0,0,56,0,18,0,38,0,0,0,46,2,272,19
Offences under IT Act,2.4 Computer related Offences-Under Section 66D,17,0,110,6,281,8,3,0,0,0,20,2,2,0,17,2,1,0,62,0,196,6
Offences under IT Act,2.5 Computer related Offences-Under Section 66E,3,0,41,0,82,1,1,0,0,0,10,1,4,1,5,0,1,0,4,0,67,0
Offences under IT Act,3 IT - Cyber terrorism,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Offences under IT Act,4 IT - Publication/Transmission of Obscene/Sexually Explicit Content,31,1,422,8,953,15,1,0,0,0,60,4,21,0,33,1,6,3,139,1,753,10
Offences under IT Act,4.1 Under section 67A,31,1,405,8,930,15,1,0,0,0,58,4,19,0,33,1,6,3,135,1,736,10
