Category (Col. 1),State/UT (Col. 2),Population of Senior Citizen# (Col. 3),Murder (Section 302 IPC) - I (Col. 4),Murder (Section 302 IPC) - V (Col. 5),Murder (Section 302 IPC) - R (Col. 6),Attempt To Commit Murder (Section 307 IPC) - I (Col. 7),Attempt To Commit Murder (Section 307 IPC) - V (Col. 8),Attempt To Commit Murder (Section 307 IPC) - R (Col. 9),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - I (Col. 10),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - V (Col. 11),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - R (Col. 12),Attempt to Commit Culpable Homicide (Section 308 IPC) - I (Col. 13),Attempt to Commit Culpable Homicide (Section 308 IPC) - V (Col. 14),Attempt to Commit Culpable Homicide (Section 308 IPC) - R (Col. 15),Rape (Section 376 IPC) - I (Col. 16),Rape (Section 376 IPC) - V (Col. 17),Rape (Section 376 IPC) - R (Col. 18),"Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - I (Col. 19)","Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - V (Col. 20)","Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - R (Col. 21)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - I (Col. 22)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - V (Col. 23)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - R (Col. 24)","Dacoity (Section 395,396 & 398 IPC) - Others - I (Col. 25)","Dacoity (Section 395,396 & 398 IPC) - Others - V (Col. 26)","Dacoity (Section 395,396 & 398 IPC) - Others - R (Col. 27)",Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - I (Col. 28),Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - V (Col. 29),Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - R (Col. 30),"Robbery (Section 392 to 394, 397 and 398 IPC) - I (Col. 31)","Robbery (Section 392 to 394, 397 and 398 IPC) - V (Col. 32)","Robbery (Section 392 to 394, 397 and 398 IPC) - R (Col. 33)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (Total) - I (Col. 34)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (Total) - V (Col. 35)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (Total) - R (Col. 36)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (325-326 IPC) - I (Col. 37)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (325-326 IPC) - V (Col. 38)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (325-326 IPC) - R (Col. 39)","Grievous Hurt (325,326,326A & 326 B IPC) - Acid attack (Section 326A IPC) - I (Col. 40)","Grievous Hurt (325,326,326A & 326 B IPC) - Acid attack (Section 326A IPC) - V (Col. 41)","Grievous Hurt (325,326,326A & 326 B IPC) - Acid attack (Section 326A IPC) - R (Col. 42)","Grievous Hurt (325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - I (Col. 43)","Grievous Hurt (325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - V (Col. 44)","Grievous Hurt (325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - R (Col. 45)",Extortion (Section 384-389 IPC) - I (Col. 46),Extortion (Section 384-389 IPC) - V (Col. 47),Extortion (Section 384-389 IPC) - R (Col. 48),Cheating (Section 420 IPC) - I (Col. 49),Cheating (Section 420 IPC) - V (Col. 50),Cheating (Section 420 IPC) - R (Col. 51),Other IPC Crimes - I (Col. 52),Other IPC Crimes - V (Col. 53),Other IPC Crimes - R (Col. 54),"Total cognizable IPC Crimes against Senior Citizens (All ""I"" columns excluding sub heads) - I (Col. 55)","Total cognizable IPC Crimes against Senior Citizens (All ""I"" columns excluding sub heads) - V (Col. 56)","Total cognizable IPC Crimes against Senior Citizens (All ""I"" columns excluding sub heads) - R (Col. 57)"
State,Andhra Pradesh,48.3,56,60,1.2,57,57,1.2,6,6,0.1,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,32,33,0.7,45,45,0.9,44,44,0.9,1,1,0,0,0,0,28,28,0.6,197,197,4.1,2071,2096,42.8,2495,2525,51.6
State,Arunachal Pradesh,0.6,2,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4.7,3,3,4.7,0,0,0,0,0,0,1,1,1.6,0,0,0,1,2,1.6,7,8,11
State,Assam,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.2,5,5,0.2,0,0,0,0,0,0,1,1,0,2,2,0.1,9,9,0.4,17,17,0.8
State,Bihar,77.1,16,16,0.2,94,96,1.2,1,1,0,29,29,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1,68,69,0.9,68,69,0.9,0,0,0,0,0,0,0,0,0,11,11,0.1,178,178,2.3,404,407,5.2
State,Chhattisgarh,20,63,63,3.1,12,12,0.6,4,5,0.2,0,0,0,5,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0.4,27,28,1.3,27,28,1.3,0,0,0,0,0,0,1,1,0,46,46,2.3,910,914,45.4,1077,1085,53.7
State,Goa,1.6,2,3,1.2,1,1,0.6,1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6,6,6,3.7,6,6,3.7,0,0,0,0,0,0,0,0,0,5,5,3.1,43,45,26.3,59,62,36.1
State,Gujarat,47.9,28,31,0.6,1,1,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,2,2,0,0,0,0,16,16,0.3,10,10,0.2,10,10,0.2,0,0,0,0,0,0,2,2,0,14,14,0.3,120,121,2.5,195,199,4.1
State,Haryana,21.9,32,32,1.5,7,7,0.3,1,1,0,0,0,0,3,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.7,16,16,0.7,0,0,0,0,0,0,1,1,0,19,19,0.9,227,232,10.3,306,311,13.9
State,Himachal Pradesh,7,8,8,1.1,2,2,0.3,2,2,0.3,0,0,0,2,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,7,7,1,7,7,1,0,0,0,0,0,0,0,0,0,5,5,0.7,132,132,18.8,159,159,22.6
State,Jammu & Kashmir,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,23.6,5,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.3
State,Karnataka,57.9,41,44,0.7,27,32,0.5,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,118,118,2,30,32,0.5,30,32,0.5,0,0,0,0,0,0,1,1,0,96,103,1.7,426,507,7.4,742,840,12.8
State,Kerala,41.9,29,33,0.7,19,19,0.5,9,11,0.2,16,16,0.4,5,5,0.1,1,1,0,0,0,0,1,1,0,0,0,0,19,19,0.5,42,42,1,42,42,1,0,0,0,0,0,0,0,0,0,42,43,1,369,370,8.8,551,559,13.1
State,Madhya Pradesh,57.1,106,107,1.9,44,45,0.8,2,2,0,1,1,0,3,3,0.1,3,3,0.1,1,1,0,2,2,0,0,0,0,85,88,1.5,150,156,2.6,150,156,2.6,0,0,0,0,0,0,4,4,0.1,59,59,1,2999,3058,52.5,3456,3526,60.5
State,Maharashtra,111.1,167,173,1.5,62,63,0.6,11,11,0.1,0,0,0,9,9,0.1,27,27,0.2,0,0,0,27,27,0.2,0,0,0,718,720,6.5,369,371,3.3,369,371,3.3,0,0,0,0,0,0,19,19,0.2,627,627,5.6,2552,2561,23,4561,4581,41.1
