S. No.,Category,State/UT,"Arms Act, 1959","Narcotic Drugs & Psychotropic Substances Act, 1985","Gambling Act, 1867","Excise Act, 1944",Prohibition Act,"Explosives & Explosive Substances Act, 1884 & 1908","Immoral Traffic (Prevention) Act, 1956 - Immoral Traffic (Prevention) Act (Total)","Immoral Traffic (Prevention) Act, 1956 - Under Section 5","Immoral Traffic (Prevention) Act, 1956 - Under Section 6","Immoral Traffic (Prevention) Act,1956 - Under Section 7","Immoral Traffic (Prevention) Act,1956 - Under Section 8","Immoral Traffic (Prevention) Act,1956 - Others","Indian Railways Act, 1989","Registration of Foreigners Act, 1939","Protection of Civil Rights Act, 1955 - Protection of Civil Rights Act (Total)","Protection of Civil Rights Act, 1955 - For Crimes Committed Against SCs","Protection of Civil Rights Act, 1955 - For Crimes Committed Against STs","Protection of Civil Rights Act, 1955 - For Crimes Committed Against Others","Passport Act, 1967","Essential Commodities Act, 1955","Antiquities & Art Treasures Act, 1972","Dowry Prohibition Act, 1961","Indecent Representation of Women (Prohibition) Act, 1986","Copy Right Act, 1957",Protection of Children from Sexual Offences Act 1987,"SC/ST (Prevention of Atrocities) Act, 1989 - SC/ST (Prevention of Atrocities) Act, 1989","SC/ST (Prevention of Atrocities) Act, 1989 - For Crimes Committed Against SCs","SC/ST (Prevention of Atrocities) Act, 1989 - For Crimes Committed Against STs","Forest Act, 1927","Prohibition of Child Marriage Act, 2006","Protection of Women From Domestic Violence Act, 2005","Information Technology Act, 2000","Official Secrets Act, 1923","Electricity Act, 2003","Wildlife Protection Act, 1972","Bonded Labour System (Abolition) Act, 1976 - Bonded Labour System (Abolition) Act, 1976 (Total)","Bonded Labour System (Abolition) Act, 1976 - Against SC","Bonded Labour System (Abolition) Act, 1976 - Against ST","Bonded Labour System (Abolition) Act, 1976 - Against Others","Environmental Protection Act, 1986","Air (Prevention & Control of Pollution) Act, 1981",Water (Prevention & Control of Pollution) Act,"National Security Act, 1980","Unlawful Activities (Prevention) Act, 1967","Young Persons (Harmful Publications) Act, 1956","Railway Property (Unlawful Possession) Act, 1966","Prevention of Damage To Public Property Act, 1984","Transplantation of Human Organs Act, 1994","Trade Marks Act, 1999","Prevention of Insults To National Honour Act, 1971","State Emblem of India (Prohibition of Improper Use) Act, 2005","Lotteries (Regulation) Act, 1998","Citizenship Act, 1955","Foreigners Act, 1946","Place of Worship (Special Provisions) Act, 1991","Religious Institution (Prevention of Misuse) Act, 1988","Representation of the People Act, 1951","Emigration Act, 1983","Juvenile Justice (Care And Protection of Children) Act, 2000","Infant Milk Substitutes, Feeding Bottles And Infant Foods (Regulation of Production, Supply And Distribution) Amendment Act, 2003","Anti Hijacking Act, 1982","Atomic Energy Act, 1962","Weapons of Mass Destruction And Their Delivery Systems (Prohibition Of Unlawful Activities) Act, 2005","Suppression of Unlawful Acts Against Safety Of Civil Aviation Act, 1982","Safety of Maritime Navigation Act, 2002","The Employment of Manual Scavengers And Construction Of Dry Latrines (Prohibition) Act, 1993","Pre-Natal Diagnostic Techniques (Regulation And Prevention of Misuse) Act, 1994","The Maritime Zones of India (Regulation of Fishing by Foreign Vessels) Act, 1981",Other SLL Crimes,Total Cognizable SLL Crimes
1,State,Andhra Pradesh,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2,State,Arunachal Pradesh,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,State,Assam,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44
4,State,Bihar,46,4,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96
5,State,Chhattisgarh,4,3,41,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,126
6,State,Goa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,State,Gujarat,1,1,19,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53,221
8,State,Haryana,3,1,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,86
9,State,Himachal Pradesh,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10,State,Jammu & Kashmir,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
11,State,Jharkhand,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12
12,State,Karnataka,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,48
13,State,Kerala,2,39,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,136,221
14,State,Madhya Pradesh,46,1,79,53,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,263
15,State,Maharashtra,14,28,23,0,40,1,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,4,1,5,5,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,77,211
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
18,State,Mizoram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
19,State,Nagaland,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,State,Odisha,2,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
21,State,Punjab,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
22,State,Rajasthan,20,3,0,19,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,77
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
24,State,Tamil Nadu,1,7,9,0,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,46,14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,115,331
25,State,Telangana,2,2,0,5,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26
26,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
