Category,State/UT,Cases Reported *,Percentage Contribution To All–India Total,Population of STs #,Rate of Total Cognizable Crimes $
State,Andhra Pradesh,719,6.6,26.3,27.3
State,Arunachal Pradesh,59,0.5,9.5,6.2
State,Assam,0,0,38.8,0
State,Bihar,14,0.1,13.4,1
State,Chhattisgarh,1518,13.9,78.2,19.4
State,Goa,8,0.1,1.5,5.4
State,Gujarat,256,2.3,89.2,2.9
State,Haryana,0,0,0,NA
State,Himachal Pradesh,6,0.1,3.9,1.5
State,Jammu & Kashmir,0,0,14.9,0
State,Jharkhand,269,2.5,86.5,3.1
State,Karnataka,415,3.8,42.5,9.8
State,Kerala,176,1.6,4.8,36.3
State,Madhya Pradesh,1531,14,153.2,10
State,Maharashtra,483,4.4,105.1,4.6
State,Manipur,0,0,9,0
State,Meghalaya,0,0,25.6,0
State,Mizoram,0,0,10.4,0
State,Nagaland,0,0,17.1,0
State,Odisha,1387,12.7,95.9,14.5
State,Punjab,0,0,0,NA
State,Rajasthan,3207,29.4,92.4,34.7
State,Sikkim,4,0,2.1,1.9
State,Tamil Nadu,30,0.3,7.9,3.8
State,Telangana,698,6.4,32.9,21.2
State,Tripura,7,0.1,11.7,0.6
State,Uttar Pradesh,6,0.1,11.3,0.5
State,Uttarakhand,6,0.1,2.9,2.1
State,West Bengal,109,1,53,2.1
State,TOTAL (STATES),10908,99.9,1040,10.5
UT,A & N Islands,3,0,0.3,10.5
UT,Chandigarh,0,0,0,NA
UT,D&N Haveli,3,0,1.8,1.7
UT,Daman & Diu,0,0,0.2,0
UT,Delhi UT,0,0,0,NA
UT,Lakshadweep,0,0,0.6,0
UT,Puducherry,0,0,0,NA
UT,TOTAL (UTS),6,0.1,2.8,2.1
TOTAL (ALL INDIA),TOTAL (ALL INDIA),10914,100,1042.8,10.5
