Crime Head,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year - Male,Total Number of Persons under Trial During the Year - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
1 Procuration of Minor Girls,688,7,2321,42,4519,59,2,0,0,0,542,4,56,0,486,4,0,0,1020,12,2955,43
2 Importation of Girls from Foreign Country,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
3 Buying of Minors for Prostitution,14,0,264,1,291,3,0,0,0,0,1,1,1,1,0,0,0,0,21,0,269,2
4 Selling of Minors for Prostitution,212,8,314,8,670,29,0,0,2,0,37,4,15,3,22,1,0,0,232,10,399,15
"5 Immoral Traffic (Prevention) Act, 1956",89,18,877,151,1087,208,0,0,0,0,25,10,10,7,15,3,0,0,148,27,914,171
5.1 Under ITP Section 5,6,0,194,45,264,70,0,0,0,0,17,6,9,6,8,0,0,0,45,9,202,55
5.2 Under ITP Section 6,3,1,15,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
5.3 Under ITP Section 7,1,1,350,28,357,30,0,0,0,0,0,0,0,0,0,0,0,0,2,1,355,29
5.4 Under ITP Section 8,0,0,6,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
5.5 Other Section of ITP Act,79,16,312,77,434,106,0,0,0,0,8,4,1,1,7,3,0,0,101,17,325,85
6 Human Trafficking (Sec.370 & 370 A),1,0,7,2,235,39,0,0,0,0,9,0,2,0,7,0,0,0,80,10,146,29
Total Child Trafficking,1007,34,3783,204,6806,339,2,0,2,0,614,19,84,11,530,8,0,0,1503,59,4685,261
