Category,State/UT (Col.2),Estimated Mid-Year Children Population+ (in Lakhs) (Col.3),Procuration of Minor Girls (Sec.366 A IPC) - I (Col.4),Procuration of Minor Girls (Sec.366 A IPC) - V (Col.5),Procuration of Minor Girls (Sec.366 A IPC) - R (Col.6),Importation of Girls from Foreign Country (Sec.366B IPC) - I (Col.7),Importation of Girls from Foreign Country (Sec.366B IPC) - V (Col.8),Importation of Girls from Foreign Country (Sec.366B IPC) - R (Col.9),Buying of Minors For Prostitution (Sec.373 IPC) - I (Col.10),Buying of Minors For Prostitution (Sec.373 IPC) - V (Col.11),Buying of Minors For Prostitution (Sec.373 IPC) - R (Col.12),Selling of Minors For Prostitution (Sec.372 IPC) - I (Col.13),Selling of Minors For Prostitution (Sec.372 IPC) - V (Col.14),Selling of Minors For Prostitution (Sec.372 IPC) - R (Col.15),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - I (Col.16),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - V (Col.17),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - R (Col.18),Immoral Traffic (Prevention) Act - Under Section 5 - I (Col.19),Immoral Traffic (Prevention) Act - Under Section 5 - V (Col.20),Immoral Traffic (Prevention) Act - Under Section 5 - R (Col.21),Immoral Traffic (Prevention) Act - Under Section 6 - I (Col.22),Immoral Traffic (Prevention) Act - Under Section 6 - V (Col.23),Immoral Traffic (Prevention) Act - Under Section 6 - R (Col.24),Immoral Traffic (Prevention) Act - Under Section 7 - I (Col.25),Immoral Traffic (Prevention) Act - Under Section 7 - V (Col.26),Immoral Traffic (Prevention) Act - Under Section 7 - R (Col.27),Immoral Traffic (Prevention) Act - Under Section 8 - I (Col.28),Immoral Traffic (Prevention) Act - Under Section 8 - V (Col.29),Immoral Traffic (Prevention) Act - Under Section 8 - R (Col.30),Immoral Traffic (Prevention) Act - Others - I (Col.31),Immoral Traffic (Prevention) Act - Others - V (Col.32),Immoral Traffic (Prevention) Act - Others - R (Col.33),Human Trafficking (Section 370 & 370A IPC) - I (Col.34),Human Trafficking (Section 370 & 370A IPC) - V (Col.35),Human Trafficking (Section 370 & 370A IPC) - R (Col.36),Total Cases Relating To Child Trafficking - I (Col.37),Total Cases Relating To Child Trafficking - V (Col.38),Total Cases Relating To Child Trafficking - R (Col.39)
State,Andhra Pradesh,156.7,33,33,0.2,0,0,0,0,0,0,0,0,0,4,7,0,3,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,38,41,0.2
State,Arunachal Pradesh,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.2,1,2,0.2
State,Assam,118.9,1303,1303,11,0,0,0,0,0,0,0,0,0,5,18,0,2,15,0,3,3,0,0,0,0,0,0,0,0,0,0,9,9,0.1,1317,1330,11.1
State,Bihar,447.8,305,305,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,120,0.1,332,425,0.7
State,Chhattisgarh,100.5,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0.1,16,34,0.2
State,Goa,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1,1,0.2
State,Gujarat,206.8,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0
State,Haryana,92.8,190,190,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1,200,200,2.2
State,Himachal Pradesh,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
State,Jharkhand,131.5,27,27,0.2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0.2
State,Karnataka,195.9,65,65,0.3,0,0,0,0,0,0,0,0,0,10,10,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,7,7,0,82,82,0.4
State,Kerala,93.4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0.1,9,33,0.1
