S. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),No. of Cases of Seizures under Arms Act (Col. 4),Total Amount of Arms Seized (Col. 5) = (Col. 6+7+8),No. of Un-licensed/ Improvised/ Crude/ Country Made Arms Seized (Col. 6),No. of Licensed/ Factory Made Arms Seized (Col. 7),Others Arms Seized (Col. 8),Ammunition seized (in Number) (Col. 9),Ammunition seized (in Quantity) (Col. 10)
1,State,Andhra Pradesh,96,123,103,5,15,26,0
2,State,Arunachal Pradesh,7,9,1,7,1,45,62
3,State,Assam,470,526,360,152,14,4263,1.3
4,State,Bihar,1700,2158,2006,83,69,158934,164.4
5,State,Chhattisgarh,543,568,216,0,352,350,0
6,State,Goa,3,4,4,0,0,6,0
7,State,Gujarat,514,591,507,84,0,548,0
8,State,Haryana,1741,1821,1711,11,99,2092,42.8
9,State,Himachal Pradesh,16,16,5,11,0,29,0
10,State,Jammu & Kashmir,122,470,325,2,143,16948,10.5
11,State,Jharkhand,332,469,455,7,7,2149,46.5
12,State,Karnataka,116,103,83,19,1,719,0.7
13,State,Kerala,170,269,155,9,105,80823,0
14,State,Madhya Pradesh,8946,8676,1933,174,6569,2936,342
15,State,Maharashtra,1192,1260,628,12,620,1144,0
16,State,Manipur,16,46,23,23,0,260,0
17,State,Meghalaya,38,41,38,3,0,482,0
18,State,Mizoram,30,40,31,7,2,2533,0
19,State,Nagaland,145,200,200,0,0,16874,46.5
20,State,Odisha,335,215,192,4,19,746,2.5
21,State,Punjab,442,635,536,60,39,1972,0
22,State,Rajasthan,5894,6030,3345,17,2668,2164,122.5
23,State,Sikkim,1,1,1,0,0,0,0
24,State,Tamil Nadu,219,218,154,5,59,235,0.6
25,State,Telangana,77,69,61,2,6,375,0
26,State,Tripura,4,4,3,0,1,86,0
27,State,Uttar Pradesh,24609,24498,15833,416,8249,35263,1800
28,State,Uttarakhand,317,246,105,75,66,304,0
29,State,West Bengal,2365,3206,3129,0,77,5072,1893.6
TOTAL (STATES),State,TOTAL (STATES),50460,52512,32143,1188,19181,337378,4535.8
30,UT,A & N Islands,0,0,0,0,0,0,0
31,UT,Chandigarh,11,12,6,0,6,51,0
32,UT,D&N Haveli,0,0,0,0,0,0,0
33,UT,Daman & Diu,1,1,1,0,0,2,0
34,UT,Delhi UT,685,746,413,53,280,5047,159.5
35,UT,Lakshadweep,0,0,0,0,0,0,0
36,UT,Puducherry,1,1,1,0,0,0,1
TOTAL (UTS),UT,TOTAL (UTS),698,760,421,53,286,5100,160.5
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),51158,53272,32564,1241,19467,342478,4696.3
