S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),District / Session Judge - Duration of Trial - Less Than 6 Months (Col. 4),District / Session Judge - Duration of Trial - 6–12 Months (Col. 5),District / Session Judge - Duration of Trial - 1–3 Years (Col. 6),District / Session Judge - Duration of Trial - 3–5 Years (Col. 7),District / Session Judge - Duration of Trial - 5–10 Years (Col. 8),District / Session Judge - Duration of Trial - Over 10 Years (Col. 9),District / Session Judge - Duration of Trial - Total (Col. 10) = (Col 4 to 9),Additional Session Judge - Duration of Trial - Less Than 6 Months (Col. 11),Additional Session Judge - Duration of Trial - 6–12 Months (Col. 12),Additional Session Judge - Duration of Trial - 1–3 Years (Col. 13),Additional Session Judge - Duration of Trial - 3–5 Years (Col. 14),Additional Session Judge - Duration of Trial - 5–10 Years (Col. 15),Additional Session Judge - Duration of Trial - Over 10 Years (Col. 16),Additional Session Judge - Duration of Trial - Total (Col. 17) = (Col 11 To 16),Chief Judicial Magistrate - Duration of Trial - Less Than 6 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial - 6–12 Months (Col. 19),Chief Judicial Magistrate - Duration of Trial - 1–3 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial - 3–5 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial - 5–10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 23),Chief Judicial Magistrate - Duration of Trial - Total (Col. 24) = (Col 18 To 23),Judicial Magistrate (I) - Duration of Trial - Less Than 6 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial - 6–12 Months (Col. 26),Judicial Magistrate (I) - Duration of Trial - 1–3 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial - 3–5 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial - 5–10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col. 30),Judicial Magistrate (I) - Duration of Trial - Total (Col. 31) = (Col 25 To 30),Judicial Magistrate (II) - Duration of Trial - Less Than 6 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial - 6–12 Months (Col. 33),Judicial Magistrate (II) - Duration of Trial - 1–3 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial - 3–5 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial - 5–10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col. 37),Judicial Magistrate (II) - Duration of Trial - Total (Col. 38) = (Col 32 To 37),Special Judicial Magistrate - Duration of Trial - Less Than 6 Months (Col. 39),Special Judicial Magistrate - Duration of Trial - 6–12 Months (Col. 40),Special Judicial Magistrate - Duration of Trial - 1–3 Years (Col. 41),Special Judicial Magistrate - Duration of Trial - 3–5 Years (Col. 42),Special Judicial Magistrate - Duration of Trial - 5–10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 44),Special Judicial Magistrate - Duration of Trial - Total (Col. 45) = (Col 39 To 44),Juvenile Justice Board - Duration of Trial - Less Than 6 Months (Col. 46),Juvenile Justice Board - Duration of Trial - 6–12 Months (Col. 47),Juvenile Justice Board - Duration of Trial - 1–3 Years (Col. 48),Juvenile Justice Board - Duration of Trial - 3–5 Years (Col. 49),Juvenile Justice Board - Duration of Trial - 5–10 Years (Col. 50),Juvenile Justice Board - Duration of Trial - Over 10 Years (Col. 51),Juvenile Justice Board - Duration of Trial - Total (Col. 52) = (Col 46 To 51),Other Type of Courts - Duration of Trial - Less Than 6 Months (Col. 53),Other Type of Courts - Duration of Trial - 6–12 Months (Col. 54),Other Type of Courts - Duration of Trial - 1–3 Years (Col. 55),Other Type of Courts - Duration of Trial - 3–5 Years (Col. 56),Other Type of Courts - Duration of Trial - 5–10 Years (Col. 57),Other Type of Courts - Duration of Trial - Over 10 Years (Col. 58),Other Type of Courts - Duration of Trial - Total (Col. 59) = (Col 53 To 58),Sum of All Type Of Courts - Duration of Trial - Less Than 6 Months (Col. 60),Sum of All Type Of Courts - Duration of Trial - 6–12 Months (Col. 61),Sum of All Type Of Courts - Duration of Trial - 1–3 Years (Col. 62),Sum of All Type Of Courts - Duration of Trial - 3–5 Years (Col. 63),Sum of All Type Of Courts - Duration of Trial - 5–10 Years (Col. 64),Sum of All Type Of Courts - Duration of Trial - Over 10 Years (Col. 65),Sum of All Type Of Courts - Duration of Trial - Total (Col. 66) = (Col 60 To 65)
1,State,Andhra Pradesh,68,194,502,294,174,61,1293,187,486,1095,659,224,16,2667,262,326,467,193,159,15,1422,4720,7777,15070,5278,1361,240,34446,4166,3851,3862,1443,372,81,13775,1715,1491,1690,660,77,4,5637,110,226,249,107,19,1,712,1814,2365,3212,1458,484,14,9347,13042,16716,26147,10092,2870,432,69299
2,State,Arunachal Pradesh,0,2,0,0,0,1,3,0,1,1,1,3,2,8,3,5,9,33,2,0,52,0,22,29,12,17,14,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,30,40,46,22,17,158
3,State,Assam,322,388,1016,917,509,42,3194,306,502,995,1002,550,47,3402,1070,2594,3574,2296,521,59,10114,458,996,1778,1230,349,29,4840,278,523,788,714,235,19,2557,45,216,451,335,53,0,1100,51,88,88,32,0,0,259,419,1051,1489,641,376,15,3991,2949,6358,10179,7167,2593,211,29457
4,State,Bihar,118,215,451,614,1073,565,3036,213,383,998,2221,2397,1219,7431,129,375,1059,1452,1291,820,5126,237,1332,3432,4550,3404,1812,14767,149,434,737,1298,1049,530,4197,143,328,512,334,229,180,1726,236,280,402,294,147,43,1402,177,370,853,782,1147,766,4095,1402,3717,8444,11545,10737,5935,41780
5,State,Chhattisgarh,586,455,646,593,102,38,2420,411,527,773,272,315,50,2348,2575,3783,3823,1254,779,349,12563,3883,3048,3360,1682,981,524,13478,830,890,1055,409,323,199,3706,325,394,304,209,136,125,1493,108,115,105,65,43,3,439,176,858,1482,181,43,3,2743,8894,10070,11548,4665,2722,1291,39190
6,State,Goa,0,6,20,11,5,0,42,0,7,24,10,7,2,50,0,13,28,22,37,28,128,107,157,393,141,103,86,987,1,20,67,60,65,43,256,0,2,5,6,0,0,13,0,0,5,5,0,0,10,2,7,8,5,6,0,28,110,212,550,260,223,159,1514
7,State,Gujarat,40,98,362,330,157,184,1171,65,108,441,380,184,107,1285,887,3326,4300,3006,1602,1686,14807,6062,10078,11195,5703,1980,1911,36929,1734,1420,2258,1185,358,146,7101,198,132,674,229,191,48,1472,25,34,83,67,0,0,209,19,297,347,120,84,10,877,9030,15493,19660,11020,4556,4092,63851
8,State,Haryana,117,275,689,436,125,51,1693,335,907,1788,916,413,86,4445,561,1807,2694,1344,507,124,7037,1239,2472,3253,2278,870,174,10286,531,1807,2488,1616,746,149,7337,260,605,1204,955,388,135,3547,145,268,711,388,217,109,1838,474,293,341,268,308,75,1759,3662,8434,13168,8201,3574,903,37942
9,State,Himachal Pradesh,5,11,78,59,24,1,178,5,19,83,58,27,3,195,132,319,463,368,239,6,1527,123,455,749,451,365,26,2169,149,441,735,430,301,25,2081,10,16,25,43,10,0,104,11,19,33,8,2,1,74,116,144,129,145,155,15,704,551,1424,2295,1562,1123,77,7032
10,State,Jammu & Kashmir,13,134,239,478,261,79,1204,28,130,154,110,110,76,608,597,367,613,574,334,62,2547,899,939,1018,1251,636,151,4894,210,235,237,282,115,16,1095,374,365,297,233,213,66,1548,3,5,6,9,2,1,26,265,463,513,401,163,35,1840,2389,2638,3077,3338,1834,486,13762
11,State,Jharkhand,2,19,813,1152,1239,357,3582,1,579,1440,1164,837,286,4307,59,1035,2158,3186,2036,682,9156,49,751,937,1166,702,248,3853,4,157,363,296,270,87,1177,2,98,304,563,408,321,1696,0,30,28,94,27,2,181,4,61,183,179,104,75,606,121,2730,6226,7800,5623,2058,24558
12,State,Karnataka,320,372,1030,956,511,104,3293,360,449,653,447,254,55,2218,2286,3668,8839,5956,1579,155,22483,3901,5282,7561,3798,1497,225,22264,2939,4252,5136,2620,959,79,15985,261,254,103,141,64,15,838,47,86,169,72,5,1,380,1327,1689,1912,663,210,37,5838,11441,16052,25403,14653,5079,671,73299
13,State,Kerala,54,137,380,385,149,15,1120,106,120,690,705,232,15,1868,585,1330,2780,1785,351,43,6874,30290,52499,39648,14923,1471,71,138902,3723,12394,13608,7197,256,14,37192,0,54,108,79,4,0,245,41,49,43,10,0,0,143,425,774,1996,1109,142,1,4447,35224,67357,59253,26193,2605,159,190791
14,State,Madhya Pradesh,362,1125,2464,1238,494,168,5851,661,1821,5571,3223,1217,295,12788,5779,5687,7091,3656,1835,543,24591,17282,12263,15839,11804,4869,1343,63400,4994,4573,5364,3339,943,486,19699,509,1103,1988,1235,356,120,5311,1003,1161,1228,428,206,85,4111,3236,3742,5055,3704,1684,212,17633,33826,31475,44600,28627,11604,3252,153384
15,State,Maharashtra,30,213,1256,1088,535,141,3263,92,267,2078,1315,685,191,4628,1117,2060,3903,3421,1562,722,12785,11221,10973,21782,14293,6991,2909,68169,1443,2569,7183,4663,2294,1273,19425,36,122,365,300,190,13,1026,70,192,348,194,120,25,949,27,54,56,56,49,14,256,14036,16450,36971,25330,12426,5288,110501
16,State,Manipur,0,0,0,1,5,5,11,0,0,0,0,0,1,1,1,2,8,2,4,4,21,0,0,3,3,5,2,13,0,1,0,0,0,0,1,0,1,6,4,5,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,10,19,24,75
17,State,Meghalaya,0,7,9,9,6,19,50,0,0,2,0,0,0,2,8,36,64,32,27,38,205,18,56,118,80,120,60,452,0,10,16,0,0,0,26,0,0,0,0,0,0,0,9,25,80,8,5,2,129,0,34,29,4,9,6,82,35,168,318,133,167,125,946
18,State,Mizoram,5,67,37,3,0,2,114,0,45,25,6,0,0,76,372,314,278,14,0,0,978,383,284,105,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,761,710,445,23,0,2,1941
19,State,Nagaland,83,104,52,6,7,0,252,0,0,0,0,0,0,0,36,79,44,21,12,0,192,74,144,37,13,5,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,0,0,0,0,45,223,342,133,40,24,0,762
20,State,Odisha,1,239,1034,1491,934,231,3930,12,349,1407,1736,934,224,4662,12,273,1754,2017,1053,243,5352,351,872,2606,3578,1907,782,10096,261,431,1331,1505,1086,267,4881,135,488,935,1422,844,207,4031,1,39,197,153,188,38,616,29,426,1848,1787,1125,283,5498,802,3117,11112,13689,8071,2275,39066
21,State,Punjab,73,152,401,234,103,4,967,181,416,1304,685,235,12,2833,308,569,1611,1023,331,14,3856,701,1634,4924,2135,648,20,10062,257,742,2047,1234,327,2,4609,84,191,199,81,103,8,666,43,73,137,60,24,0,337,576,287,713,406,118,1,2101,2223,4064,11336,5858,1889,61,25431
22,State,Rajasthan,153,250,943,935,428,77,2786,207,381,1280,1290,469,88,3715,738,2673,4816,4171,1483,242,14123,2241,4170,10574,8040,2998,477,28500,1006,2075,6594,5228,2167,386,17456,36,219,1540,2043,650,68,4556,45,89,179,247,139,19,718,760,1140,3463,2684,1102,126,9275,5186,10997,29389,24638,9436,1483,81129
23,State,Sikkim,11,1,3,0,0,0,15,0,0,0,0,0,0,0,21,40,26,0,0,0,87,41,19,2,0,0,0,62,0,0,0,0,0,0,0,28,22,0,0,0,0,50,4,12,0,0,0,0,16,0,0,0,0,0,0,0,105,94,31,0,0,0,230
24,State,Tamil Nadu,99,244,814,888,339,68,2452,77,316,788,1065,241,31,2518,283,314,738,454,115,17,1921,13730,19648,16848,8352,2598,283,61459,8227,12674,13411,6022,1228,209,41771,121,1359,351,99,40,5,1975,45,123,80,49,71,10,378,682,1242,2127,817,374,196,5438,23264,35920,35157,17746,5006,819,117912
