S.No.,Category,State/UT,No. of Victims Murdered - By Firearms,No. of Victims Murdered - By Licensed Fire Arms,No. of Victims Murdered - By Unlicensed/Improvised/ Crude/Country Made Fire Arms
1,State,Andhra Pradesh,1,1,0
2,State,Arunachal Pradesh,6,3,3
3,State,Assam,1,0,1
4,State,Bihar,685,53,632
5,State,Chhattisgarh,11,0,11
6,State,Goa,1,0,1
7,State,Gujarat,11,3,8
8,State,Haryana,84,20,64
9,State,Himachal Pradesh,2,1,1
10,State,Jammu & Kashmir,45,6,39
11,State,Jharkhand,638,0,638
12,State,Karnataka,7,2,5
13,State,Kerala,5,2,3
14,State,Madhya Pradesh,189,16,173
15,State,Maharashtra,36,0,36
16,State,Manipur,35,1,34
17,State,Meghalaya,0,0,0
18,State,Mizoram,3,1,2
19,State,Nagaland,2,1,1
20,State,Odisha,6,1,5
21,State,Punjab,123,40,83
22,State,Rajasthan,93,6,87
23,State,Sikkim,0,0,0
24,State,Tamil Nadu,2,1,1
25,State,Telangana,2,0,2
26,State,Tripura,2,1,1
27,State,Uttar Pradesh,1617,172,1445
28,State,Uttarakhand,1,0,1
29,State,West Bengal,36,3,33
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),3644,334,3310
30,UT,A & N Islands,0,0,0
31,UT,Chandigarh,3,2,1
32,UT,D&N Haveli,0,0,0
33,UT,Daman & Diu,0,0,0
34,UT,Delhi UT,75,20,55
35,UT,Lakshadweep,0,0,0
36,UT,Puducherry,0,0,0
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),78,22,56
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),3722,356,3366
