S. No. (Col.1),Category (Col.2),State/UT (Col.3),Total Cases under POCSO Act (Section 5&7 Only) (Col.4),Cases in Which Offenders were known to the Victims - No. of Cases in Which Offenders were known to Victims (Total) (Col.5),Cases in Which Offenders were known to the Victims - Grand Father/ Father/ Brother/ Son/etc. (Col.6),Cases in Which Offenders were known to the Victims - Close Family Members (Other than Col.6) (Col.7),Cases in Which Offenders were known to the Victims - Relatives (other than cols. 6 & 7) (Col.8),Cases in Which Offenders were known to the Victims - Neigh- bours (Col.9),Cases in Which Offenders were known to the Victims - Employer/ Co-Workers (Col.10),Cases in Which Offenders were known to the Victims - Other Known Persons (Col.11),Offenders Not Identified by Victims (Col.12),Percentage Share of Known Cases to Total POCSO Cases (Col.13)
1,State,Andhra Pradesh,132,129,0,2,8,53,47,19,3,97.7
2,State,Arunachal Pradesh,10,10,0,0,0,6,2,2,0,100
3,State,Assam,542,505,0,0,0,378,64,63,37,93.2
4,State,Bihar,42,42,0,1,2,16,0,23,0,100
5,State,Chhattisgarh,697,673,9,27,19,117,147,354,24,96.6
6,State,Goa,0,0,0,0,0,0,0,0,0,NA
7,State,Gujarat,1115,1109,6,34,66,248,542,213,6,99.5
8,State,Haryana,224,219,5,6,20,63,36,89,5,97.8
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,NA
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,NA
11,State,Jharkhand,63,48,0,1,6,29,7,5,15,76.2
12,State,Karnataka,1073,1045,44,43,82,390,233,253,28,97.4
13,State,Kerala,102,101,12,5,13,19,19,33,1,99
14,State,Madhya Pradesh,680,628,0,23,73,194,166,172,52,92.4
15,State,Maharashtra,3,3,1,0,0,0,0,2,0,100
16,State,Manipur,20,20,3,2,0,3,2,10,0,100
17,State,Meghalaya,91,85,5,5,5,48,0,22,6,93.4
18,State,Mizoram,56,51,8,1,0,33,0,9,5,91.1
19,State,Nagaland,4,4,0,0,0,4,0,0,0,100
20,State,Odisha,2,2,0,0,0,0,0,2,0,100
21,State,Punjab,0,0,0,0,0,0,0,0,0,NA
22,State,Rajasthan,43,40,0,2,2,18,4,14,3,93
23,State,Sikkim,39,37,15,2,2,5,2,11,2,94.9
24,State,Tamil Nadu,1073,1069,9,19,97,261,589,94,4,99.6
25,State,Telangana,135,134,0,0,0,46,44,44,1,99.3
26,State,Tripura,0,0,0,0,0,0,0,0,0,NA
27,State,Uttar Pradesh,1440,1399,5,29,120,623,312,310,41,97.2
28,State,Uttarakhand,52,51,1,0,2,23,0,25,1,98.1
29,State,West Bengal,1106,887,5,2,60,560,0,260,219,80.2
TOTAL (STATES),State,TOTAL (STATES),8744,8291,128,204,577,3137,2216,2029,453,94.8
30,UT,A & N Islands,1,1,0,1,0,0,0,0,0,100
31,UT,Chandigarh,0,0,0,0,0,0,0,0,0,NA
32,UT,D&N Haveli,12,12,2,2,1,1,6,0,0,100
33,UT,Daman & Diu,4,4,0,0,0,1,0,3,0,100
34,UT,Delhi UT,12,10,1,1,1,3,1,3,2,83.3
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,NA
36,UT,Puducherry,27,23,7,2,2,7,4,1,4,85.2
TOTAL (UTS),UT,TOTAL (UTS),56,50,10,6,4,12,11,7,6,89.3
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),8800,8341,138,210,581,3149,2227,2036,459,94.8
