S.No.,Category,State/UT,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Total Economic Crimes,Percentage Share,Crime Rate,Percentage To Total IPC Cognizable Crimes
1,State,Andhra Pradesh,815,5532,235,87,6669,4.4,13,6
2,State,Arunachal Pradesh,42,123,19,4,188,0.1,14.4,6.3
3,State,Assam,1917,4069,693,54,6733,4.5,20.9,6.5
4,State,Bihar,1368,6410,1157,38,8973,6,8.7,5.1
5,State,Chhattisgarh,178,982,32,23,1215,0.8,4.7,2.1
6,State,Goa,56,137,11,9,213,0.1,10.8,6.9
7,State,Gujarat,1051,1725,337,91,3204,2.1,5.1,2.5
8,State,Haryana,1035,3260,739,23,5057,3.4,18.6,6
9,State,Himachal Pradesh,123,395,43,3,564,0.4,8,4
10,State,Jammu & Kashmir,106,524,46,13,689,0.5,5.6,2.9
11,State,Jharkhand,515,2654,387,10,3566,2.4,10.7,7.9
12,State,Karnataka,457,7513,351,65,8386,5.6,13.5,6
13,State,Kerala,328,4720,260,52,5360,3.6,15.1,2.1
14,State,Madhya Pradesh,483,1895,166,42,2586,1.7,3.4,1
15,State,Maharashtra,2042,10490,1011,190,13733,9.1,11.5,5
16,State,Manipur,51,124,20,6,201,0.1,7.8,5.2
17,State,Meghalaya,48,194,52,2,296,0.2,10.8,7.3
18,State,Mizoram,23,71,12,11,117,0.1,11.1,5.3
19,State,Nagaland,11,50,30,5,96,0.1,4.1,7.4
20,State,Odisha,513,2925,25,26,3489,2.3,8.3,4.2
21,State,Punjab,305,3768,36,25,4134,2.8,14.3,10.9
22,State,Rajasthan,516,21898,4612,45,27071,18,37.4,13.7
23,State,Sikkim,4,37,4,1,46,0.0,7.2,6
24,State,Tamil Nadu,252,4580,290,186,5308,3.5,7.7,2.8
25,State,Telangana,632,8000,300,47,8979,6,24.6,8.4
26,State,Tripura,43,118,32,4,197,0.1,5.2,4.2
27,State,Uttar Pradesh,3656,9343,1426,120,14545,9.7,6.7,6
28,State,Uttarakhand,123,592,326,23,1064,0.7,10.1,10.4
29,State,West Bengal,1855,6761,706,415,9737,6.5,10.5,5.4
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),18548,108890,13358,1620,142416,94.8,11.5,5.2
30,UT,A & N Islands,2,70,4,1,77,0.1,14.1,8.9
31,UT,Chandigarh,28,336,7,1,372,0.2,21.4,11.5
32,UT,D&N Haveli,6,12,0,0,18,0.0,4.3,6.7
33,UT,Daman & Diu,1,30,3,0,34,0.0,10.6,11.3
34,UT,Delhi UT,615,5990,470,69,7144,4.8,34.2,3.7
35,UT,Lakshadweep,0,0,0,0,0,0.0,0.0,0.0
36,UT,Puducherry,18,77,4,10,109,0.1,6.6,3.2
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),670,6515,488,81,7754,5.2,30.3,3.9
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),19218,115405,13846,1701,150170,100,11.9,5.1
