Crime Head,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year - Male,Total Number of Persons under Trial During the Year - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
1 Importation of Girls from Foreign Country,411,3,69,1,491,4,1,0,0,0,10,0,4,0,6,0,0,0,369,3,111,1
2 Human Trafficking (Section 370 & 370A IPC),402,57,382,70,2115,293,17,0,7,0,166,25,59,10,106,15,1,0,552,106,1373,162
"3 Immoral Traffic (Prevention) Act, 1956",3496,646,30447,6702,39323,9569,13,4,6,0,3308,1341,1416,574,1876,765,16,2,4292,757,31704,7467
3.1 Under Section 5,1154,253,8296,2075,11627,3166,3,0,0,0,1094,351,446,127,636,222,12,2,1296,244,9234,2571
3.2 Under Section 6,129,69,724,248,1000,396,0,0,0,0,83,53,59,30,24,23,0,0,149,30,768,313
3.3 Under Section 7,59,10,2521,382,2974,494,0,0,0,0,77,26,30,8,47,18,0,0,17,1,2880,467
3.4 Under Section 8,1,0,1806,509,2027,729,0,2,0,0,68,133,56,94,12,39,0,0,13,43,1946,551
3.5 Other Sections under ITP Act,2153,314,17100,3488,21695,4784,10,2,6,0,1986,778,825,315,1157,463,4,0,2817,439,16876,3565
4 Procuration of Minor Girls,688,7,2321,42,4519,59,2,0,0,0,542,4,56,0,486,4,0,0,1020,12,2955,43
5 Buying of Minors for Prostitution,14,0,264,1,291,3,0,0,0,0,1,1,1,1,0,0,0,0,21,0,269,2
6 Selling of Minors for Prostitution,212,8,314,8,670,29,0,0,2,0,37,4,15,3,22,1,0,0,232,10,399,15
Total Human Trafficking,5223,721,33797,6824,47409,9957,33,4,15,0,4064,1375,1551,588,2496,785,17,2,6486,888,36811,7690
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
