Crime Head,Number of Cases reported - 2005,Number of Cases reported - 2010,Number of Cases reported - 2011,Number of Cases reported - 2012,Number of Cases reported - 2013,Number of Cases reported - 2014,Number of Cases reported - Quinquennial Average 2010-2014,Number of Cases reported - 2015,Rate - 2005,Rate - 2010,Rate - 2011,Rate - 2012,Rate - 2013,Rate - 2014,Rate - Quinquennial Average 2010-2014,Rate - 2015,Percentage Change In 2015 Increase(+)/Decrease(-) Over - 2005,Percentage Change In 2015 Increase(+)/Decrease(-) Over - Q.A.,Percentage Change In 2015 Increase(+)/Decrease(-) Over - 2014
"1 Arms Act, 1959",74270,75550,62329,55376,54362,55255,60574,53300,6.7,6.4,5.2,4.6,4.4,4.4,5,4.2,-28.2,-12,-3.5
"2 Narcotic Drugs & Psychotropic Substances Act, 1985",29421,29576,25785,29247,34668,46923,33240,50796,2.7,2.5,2.1,2.4,2.8,3.8,2.7,4,72.7,52.8,8.3
"3 Gambling Act, 1867",189523,157958,154335,140302,131634,125494,141945,130134,17.2,13.3,12.8,11.6,10.7,10.1,11.7,10.3,-31.3,-8.3,3.7
"4 Excise Act, 1944",150604,177081,144614,160528,175744,186012,168796,206069,13.7,14.9,11.9,13.2,14.3,15,13.9,16.4,36.8,22.1,10.8
5 Prohibition Act,326190,385670,399257,416749,420113,467111,417780,500757,29.6,32.5,33,34.3,34.2,37.5,34.3,39.8,53.5,19.9,7.2
6 Explosives and Explosive Substances Act,4254,4021,3669,4027,3875,3843,3887,4368,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,2.7,12.4,13.7
"7 Immoral Traffic (Prevention) Act, 1956",5908,2499,2436,2563,2579,2617,2539,2641,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-55.3,4,0.9
"8 Indian Railways Act, 1989",224,148,156,144,166,287,180,346,0,0,0,0,0,0,0,0,54.5,92,20.6
"9 Registration of Foreigners Act, 1939",1951,1204,1284,1519,2133,499,1328,74,0.2,0.1,0.1,0.1,0.2,0,0.1,0,-96.2,-94.4,-85.2
"10 Protection of Civil Rights Act, 1955",453,148,74,64,87,115,98,117,0,0,0,0,0,0,0,0,-74.2,19.9,1.7
"11 Passport Act, 1967",1120,937,869,953,933,667,872,703,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-37.2,-19.4,5.4
"12 Essential Commodities Act, 1955",7216,7928,8654,6755,5143,5418,6780,4501,0.7,0.7,0.7,0.6,0.4,0.4,0.6,0.4,-37.6,-33.6,-16.9
"13 Antiquities & Art Treasures Act, 1972",68,57,71,59,34,40,52,37,0,0,0,0,0,0,0,0,-45.6,-29.1,-7.5
"14 Dowry Prohibition Act, 1961 ~",3204,5182,6619,9038,10709,10050,8320,9894,0.6,0.9,1.1,1.5,1.8,1.7,1.4,1.6,208.8,18.9,-1.6
"15 Indecent Representation of Women (Prohibition) Act, 1986 ~",2917,895,453,141,362,47,380,40,0.5,0.2,0.1,0,0.1,0,0.1,0,-98.6,-89.5,-14.9
"16 Copyright Act, 1957",6846,7889,6976,6151,6087,5236,6468,5241,0.6,0.7,0.6,0.5,0.5,0.4,0.5,0.4,-23.4,-19,0.1
17 Protection of Children from Sexual Offences Act,0,0,0,0,0,0,0,14913,0,0,0,0,0,0,0,3.3,NA,NA,NA
"18 SC/ST (Prevention of Atrocities) Act, 1989)",9780,11456,12496,13887,15365,10009,12643,6837,0.9,1,1,1.1,1.3,0.8,1,0.5,-30.1,-45.9,-31.7
"19 Forest Act, 1927",4168,6004,7448,6467,20407,4901,9045,3968,0.4,0.5,0.6,0.5,1.7,0.4,0.7,0.3,-4.8,-56.1,-19
"20 Prohibition of Child Marriage Act, 2006",122,60,113,169,222,280,169,293,0,0,0,0,0,0,0,0,140.2,73.6,4.6
"21 Protection of Women from Domestic Violence Act, 2005 ~",NA,NA,NA,NA,NA,426,NA,461,*,*,*,*,*,0.1,*,0.1,NA,NA,8.2
"22 Information Technology Act, 2000",NA,NA,NA,NA,NA,7201,NA,8045,*,*,*,*,*,0.6,*,0.6,NA,NA,11.7
