Crime Head (Col.1),Cases Pending Trial from the Previous Year (Col.2),Cases Sent for Trial During the Year (Col.3),No. of Cases Withdrawn by the Govt. (Col.4),No. of Cases Disposed by Plea Bargaining (Col.5),Total no. of Cases for Trial During the Year (Col.6) = (Col.2+3 - Col.4 - Col. 5),Cases Compounded or Withdrawn (Col.7),Cases in Which Trials were Completed (Col.8) = (Col. 9+10),Cases Convicted (Col.9),Cases Acquitted or Discharged (Col.10),Cases Pending Trial at the End of the Year (Col.11) = (Col.6 - (Col.7+8)),Conviction Rate (Col.12) = (Col.9/Col.8)x* 100,Cases Pendency Percentage (Col.13) = {Col.11/(Col.2+Col.3)} x 100
1 Murder,5834,1423,0,0,7257,2,833,387,446,6422,46.5,88.5
2 Infanticide,152,38,0,0,190,2,23,12,11,165,52.2,86.8
3 Rape,31912,9755,0,0,41667,35,5361,1843,3518,36271,34.4,87
4 Assault on Women with Intent to Outrage her Modesty,11591,7093,0,0,18684,162,2940,1059,1881,15582,36,83.4
4.1 Sexual Harassment,4042,2943,0,0,6985,44,1030,390,640,5911,37.9,84.6
4.2 Assault on Women with Intent to Disrobe,567,436,0,0,1003,4,112,41,71,887,36.6,88.4
4.3 Voyeurism,58,47,0,0,105,1,8,3,5,96,37.5,91.4
4.4 Stalking,832,773,0,0,1605,13,198,65,133,1394,32.8,86.9
4.5 Others assault,6092,2894,0,0,8986,100,1592,560,1032,7294,35.2,81.2
5 Insult to the Modesty of Women (Girls Children),756,285,0,0,1041,73,148,49,99,820,33.1,78.8
6 Kidnapping & Abduction,41394,15054,6,0,56442,139,5462,1691,3771,50841,31,90.1
6.1 Kidnapping & Abduction,13279,5536,1,0,18814,41,1875,549,1326,16898,29.3,89.8
6.2 Kidnaping & Abduction in Order to Murder,633,135,0,0,768,0,82,28,54,686,34.1,89.3
6.3 Kidnapping for Ransom,201,93,0,0,294,0,30,8,22,264,26.7,89.8
6.4 Kidnapping & Abduction of Women to Compel her for Marriage,21157,6896,2,0,28051,69,2562,874,1688,25420,34.1,90.6
6.5 Other Kidnapping,6124,2394,3,0,8515,29,913,232,681,7573,25.4,88.9
7 Foeticide,111,30,0,0,141,0,14,2,12,127,14.3,90.1
8 Abetment of Suicide of child,230,52,0,0,282,0,28,2,26,254,7.1,90.1
9 Exposure and Abandonment,786,99,0,0,885,1,39,7,32,845,17.9,95.5
10 Procuration of Minor girls,2457,1348,0,0,3805,17,334,37,297,3454,11.1,90.8
11 Importation of Girls from Foreign Country,1,1,0,0,2,0,0,0,0,2,NA,100
12 Buying of Minors for Prostitution,153,10,0,0,163,0,1,1,0,162,100,99.4
13 Selling of Minors for Prostitution,404,119,0,0,523,0,25,9,16,498,36,95.2
"14 Prohibition of Child Marriage Act, 2006",627,240,0,0,867,8,70,15,55,789,21.4,91
"15 Transplantation of Human Organs Act, 1994",0,0,0,0,0,0,0,0,0,0,NA,NA
"16 Child Labour (Prohibition & Regulation) Act, 1986",109,152,0,0,261,1,14,7,7,246,50,94.3
16.1 Offences committed against Migrant,14,38,0,0,52,0,4,3,1,48,75,92.3
16.1.1 Offences Committed against SC Migrants,4,4,0,0,8,0,0,0,0,8,NA,100
16.1.2 Offences Committed against ST Migrants,0,1,0,0,1,0,0,0,0,1,NA,100
16.1.3 Offences Committed against Others Migrants,10,33,0,0,43,0,4,3,1,39,75,90.7
16.2 Offences Committed against Locals,95,114,0,0,209,1,10,4,6,198,40,94.7
16.2.1 Offences Committed against Local SCs,1,6,0,0,7,0,2,0,2,5,0,71.4
16.2.2 Offences Committed against Local STs,0,2,0,0,2,0,1,0,1,1,0,50
16.2.3 Offences Committed against Others Locals,94,106,0,0,200,1,7,4,3,192,57.1,96
"17 Immoral Traffic (Prevention) Act, 1956",323,48,0,0,371,0,17,6,11,354,35.3,95.4
17.1 Under ITP Section 5,94,23,0,0,117,0,11,5,6,106,45.5,90.6
17.2 Under ITP Section 6,10,1,0,0,11,0,0,0,0,11,NA,100
17.3 Under ITP Section 7,75,4,0,0,79,0,0,0,0,79,NA,100
17.4 Under ITP Section 8,5,2,0,0,7,0,0,0,0,7,NA,100
17.5 Other Section of ITP Act,139,18,0,0,157,0,6,1,5,151,16.7,96.2
"18 Juvenile Justice (Care and Protection of Children) Act, 2000",1230,1049,0,0,2279,5,292,159,133,1982,54.5,87
"19 Protection of Children from Sexual Offences Act, 2012",7956,12980,1,0,20935,7,2049,858,1191,18879,41.9,90.2
19.1 Under PCSO Act Section 4,3996,6107,0,0,10103,2,883,361,522,9218,40.9,91.2
19.2 Under PCSO Act Section 6,667,1632,0,0,2299,0,217,69,148,2082,31.8,90.6
19.3 Under PCSO Act Section 8,1955,3245,0,0,5200,5,501,241,260,4694,48.1,90.3
19.4 Under PCSO Act Section 10,189,260,0,0,449,0,39,13,26,410,33.3,91.3
19.5 Under PCSO Act Sections 14 & 15,39,82,0,0,121,0,22,20,2,99,90.9,81.8
19.6 Other Acts of PCSO,1110,1654,1,0,2763,0,387,154,233,2376,39.8,86
20 Attempt to Commit Murder,1520,263,0,0,1783,0,184,73,111,1599,39.7,89.7
21 Unnatural Offences,864,636,0,0,1500,0,194,84,110,1306,43.3,87.1
22 Human Trafficking (Section 370 & 370A IPC),7,132,0,0,139,0,7,2,5,132,28.6,95
23 Other Crimes Committed against Children,22294,6732,0,0,29026,334,3569,1387,2182,25123,38.9,86.6
Total crimes against Children ,130711,57539,7,0,188243,786,21604,7690,13914,165853,35.6,88.1
