S.No.,Category,State/UT,Cases Reported,Percentage Contribution To All India Total,Mid-Year Projected Female Population +,Rate of Total Cognizable Crimes
1,State,Andhra Pradesh,15931,4.9,255.6,62.3
2,State,Arunachal Pradesh,384,0.1,6.2,62.1
3,State,Assam,23258,7.1,157,148.2
4,State,Bihar,13891,4.2,498.4,27.9
5,State,Chhattisgarh,5720,1.7,127.8,44.8
6,State,Goa,365,0.1,9.2,39.9
7,State,Gujarat,7762,2.4,294.7,26.3
8,State,Haryana,9446,2.9,124.7,75.7
9,State,Himachal Pradesh,1289,0.4,34.4,37.4
10,State,Jammu & Kashmir,3363,1,59,57
11,State,Jharkhand,6518,2,162,40.2
12,State,Karnataka,12705,3.9,305.7,41.6
13,State,Kerala,9708,3,181.7,53.4
14,State,Madhya Pradesh,24135,7.4,368.6,65.5
15,State,Maharashtra,31126,9.5,568,54.8
16,State,Manipur,266,0.1,12.8,20.8
17,State,Meghalaya,334,0.1,13.6,24.5
18,State,Mizoram,158,0,5.1,30.9
19,State,Nagaland,90,0,11.2,8
20,State,Odisha,17144,5.2,209.2,81.9
21,State,Punjab,5291,1.6,133.2,39.7
22,State,Rajasthan,28165,8.6,345.6,81.5
23,State,Sikkim,53,0,3,17.6
24,State,Tamil Nadu,5847,1.8,344.8,17
25,State,Telangana,15135,4.6,182.1,83.1
26,State,Tripura,1267,0.4,18.6,68.2
27,State,Uttar Pradesh,35527,10.9,1021.2,34.8
28,State,Uttarakhand,1453,0.4,51.6,28.2
29,State,West Bengal,33218,10.1,452.5,73.4
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),309549,94.5,5957.4,52
30,UT,A & N Islands,136,0,2.7,51.1
31,UT,Chandigarh,463,0.1,7.1,64.8
32,UT,D&N Haveli,25,0,1.9,12.9
33,UT,Daman & Diu,28,0,1.1,26.4
34,UT,Delhi UT,17104,5.2,92.8,184.3
35,UT,Lakshadweep,9,0,0.4,22
36,UT,Puducherry,80,0,7.4,10.9
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),17845,5.5,113.4,157.4
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),327394,100,6070.8,53.9
