S. No.,Purpose,Total No. of Cases Reported,Sex-Wise / Age Group-Wise - Below 6 Years - M,Sex-Wise / Age Group-Wise - Below 6 Years - F,Sex-Wise / Age Group-Wise - 6 Years & Above - Below 12 Years - M,Sex-Wise / Age Group-Wise - 6 Years & Above - Below 12 Years - F,Sex-Wise / Age Group-Wise - 12 Years & Above – Below 16 Years - M,Sex-Wise / Age Group-Wise - 12 Years & Above – Below 16 Years - F,Sex-Wise / Age Group-Wise - 16 Years & Above – Below 18 Years - M,Sex-Wise / Age Group-Wise - 16 Years & Above – Below 18 Years - F,Sex-Wise / Age Group-Wise - 18 Years & Above – Below 30 Years - M,Sex-Wise / Age Group-Wise - 18 Years & Above – Below 30 Years - F,Sex-Wise / Age Group-Wise - 30 Years & Above – Below 45 Years - M,Sex-Wise / Age Group-Wise - 30 Years & Above – Below 45 Years - F,Sex-Wise / Age Group-Wise - 45 Years & Above – Below 60 Years - M,Sex-Wise / Age Group-Wise - 45 Years & Above – Below 60 Years - F,Sex-Wise / Age Group-Wise - 60 Years & Above - M,Sex-Wise / Age Group-Wise - 60 Years & Above - F,Total - M,Total - F,Grand Total
1,For Adoption,668,17,20,31,8,39,94,100,104,118,116,7,14,11,6,0,0,323,362,685
2,For Begging,37,10,10,15,11,2,0,3,1,0,0,0,0,0,0,0,0,30,22,52
3,For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,For Illicit Intercourse,3338,2,5,17,87,19,734,3,1048,2,1173,2,239,6,17,1,0,52,3303,3355
5,For Marriage,31829,3,346,3,390,4,4209,2,7639,38,16310,5,2842,3,144,0,4,58,31884,31942
6,For Prostitution,129,1,4,2,20,4,19,6,15,1,36,5,0,14,0,4,0,37,94,131
7,For Ransom,774,21,12,44,8,35,5,12,10,310,49,221,14,59,1,4,1,706,100,806
8,For Revenge,433,5,2,23,9,34,28,45,9,149,29,73,18,16,4,0,0,345,99,444
9,For Sale,30,7,6,3,4,2,4,1,3,0,0,0,1,0,0,0,0,13,18,31
10,For Selling Body Parts,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
11,For Slavery,11,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,1,11
12,For Unlawful Activity,1203,6,2,31,35,186,157,228,118,281,59,61,40,6,0,0,0,799,411,1210
13,For Murder,1183,15,2,24,3,66,12,58,29,586,43,255,24,50,10,7,0,1061,123,1184
14,Others purposes,43362,974,693,2313,1477,5283,6110,2975,6816,5267,6344,2932,2386,565,397,83,15,20392,24238,44630
15,Total Kidnapped & abducted,82999,1061,1102,2506,2052,5674,11373,3433,15792,6764,24159,3561,5578,730,579,99,20,23828,60655,84483
