Category (Col.1),State/UT (Col.2),Mid-Year Projected Population + (In Lakhs) (Col.3),Importation of Girls from Foreign Country - I (Col.4),Importation of Girls from Foreign Country - V (Col.5),Importation of Girls from Foreign Country - R (Col.6),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - I (Col.7),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - V (Col.8),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - R (Col.9),Immoral Traffic (Prevention) Act - Under Section 5 - I (Col.10),Immoral Traffic (Prevention) Act - Under Section 5 - V (Col.11),Immoral Traffic (Prevention) Act - Under Section 5 - R (Col.12),Immoral Traffic (Prevention) Act - Under Section 6 - I (Col.13),Immoral Traffic (Prevention) Act - Under Section 6 - V (Col.14),Immoral Traffic (Prevention) Act - Under Section 6 - R (Col.15),Immoral Traffic (Prevention) Act - Under Section 7 - I (Col.16),Immoral Traffic (Prevention) Act - Under Section 7 - V (Col.17),Immoral Traffic (Prevention) Act - Under Section 7 - R (Col.18),Immoral Traffic (Prevention) Act - Under Section 8 - I (Col.19),Immoral Traffic (Prevention) Act - Under Section 8 - V (Col.20),Immoral Traffic (Prevention) Act - Under Section 8 - R (Col.21),Immoral Traffic (Prevention) Act - Others - I (Col.22),Immoral Traffic (Prevention) Act - Others - V (Col.23),Immoral Traffic (Prevention) Act - Others - R (Col.24),Procuration of Minor Girls - I (Col.25),Procuration of Minor Girls - V (Col.26),Procuration of Minor Girls - R (Col.27),Buying of Minors For Prostitution - I (Col.28),Buying of Minors For Prostitution - V (Col.29),Buying of Minors For Prostitution - R (Col.30),Selling of Minors For Prostitution - I (Col.31),Selling of Minors For Prostitution - V (Col.32),Selling of Minors For Prostitution - R (Col.33),Human Trafficking (Section 370 & 370A IPC) - I (Col.34),Human Trafficking (Section 370 & 370A IPC) - V (Col.35),Human Trafficking (Section 370 & 370A IPC) - R (Col.36),Total Cases Relating To Human Trafficking - I (Col.37),Total Cases Relating To Human Trafficking - V (Col.38),Total Cases Relating To Human Trafficking - R (Col.39)
State,Andhra Pradesh,513.4,0,0,0,222,295,0.4,76,128,0.1,5,8,0,7,10,0,1,0,0,133,149,0.3,33,33,0.1,0,0,0,0,0,0,19,34,0,274,362,0.5
State,Arunachal Pradesh,13,0,0,0,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2,0,0,0,0,0,0,0,0,0,1,2,0.1,3,4,0.2
State,Assam,322,0,0,0,54,68,0.2,21,35,0.1,19,19,0.1,3,3,0,0,0,0,11,11,0,1303,1303,4,0,0,0,0,0,0,137,145,0.4,1494,1516,4.6
State,Bihar,1031.4,0,0,0,38,50,0,32,44,0,1,1,0,0,0,0,0,0,0,5,5,0,305,305,0.3,0,0,0,0,0,0,38,177,0,381,532,0.4
State,Chhattisgarh,256.6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,0,0,0,2,2,0,61,192,0.2,69,200,0.3
State,Goa,19.7,0,0,0,3,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.2,0,0,0,0,0,0,0,0,0,26,76,1.3,29,80,1.5
State,Gujarat,623.3,0,0,0,44,54,0.1,23,33,0,2,2,0,3,7,0,4,0,0,12,12,0,1,1,0,0,0,0,0,0,0,2,2,0,47,57,0.1
State,Haryana,272.2,0,0,0,61,86,0.2,9,13,0,6,17,0,6,11,0,0,0,0,40,45,0.1,190,190,0.7,1,1,0,2,2,0,21,22,0.1,275,301,1
State,Himachal Pradesh,70.6,0,0,0,9,19,0.1,4,14,0.1,0,0,0,0,0,0,0,0,0,5,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0.1
State,Jammu & Kashmir,123.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
State,Jharkhand,333.5,0,0,0,19,17,0.1,17,17,0.1,0,0,0,0,0,0,2,0,0,0,0,0,27,27,0.1,0,0,0,0,0,0,126,159,0.4,172,203,0.5
State,Karnataka,619.9,0,0,0,423,592,0.7,207,354,0.3,4,5,0,47,75,0.1,48,0,0.1,117,158,0.2,65,65,0.1,0,0,0,0,0,0,19,90,0,507,747,0.8
State,Kerala,355.5,0,0,0,138,92,0.4,17,17,0,0,0,0,12,20,0,63,0,0.2,46,55,0.1,3,3,0,0,0,0,0,0,0,10,620,0,151,715,0.4
State,Madhya Pradesh,771.3,0,0,0,30,42,0,17,25,0,0,0,0,1,1,0,0,0,0,12,16,0,5,5,0,0,0,0,5,5,0,55,70,0.1,95,122,0.1
State,Maharashtra,1191.4,0,0,0,400,384,0.3,126,210,0.1,4,8,0,49,67,0,140,0,0.1,81,99,0.1,6,6,0,7,7,0,1,1,0,7,13,0,421,411,0.4
State,Manipur,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,27.5,0,0,0,2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1,18,18,0.7,0,0,0,0,0,0,0,0,0,20,20,0.7
State,Mizoram,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,23.6,0,0,0,5,5,0.2,3,3,0.1,0,0,0,2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,0.3
State,Odisha,422.5,0,0,0,47,47,0.1,14,14,0,0,0,0,1,1,0,0,0,0,32,32,0.1,7,7,0,0,0,0,0,0,0,60,119,0.1,114,173,0.3
State,Punjab,289.4,0,0,0,77,128,0.3,39,53,0.1,0,0,0,0,0,0,1,0,0,37,75,0.1,6,6,0,0,0,0,0,0,0,3,3,0,86,137,0.3
State,Rajasthan,723.1,0,0,0,86,124,0.1,17,20,0,4,4,0,2,2,0,0,0,0,63,98,0.1,38,38,0.1,0,0,0,0,0,0,7,26,0,131,188,0.2
State,Sikkim,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,691.6,0,0,0,511,684,0.7,351,492,0.5,35,47,0.1,45,58,0.1,13,0,0,67,87,0.1,9,9,0,0,0,0,0,0,0,57,110,0.1,577,803,0.8
State,Telangana,365.6,0,0,0,292,341,0.8,224,271,0.6,1,1,0,1,3,0,0,0,0,66,66,0.2,42,42,0.1,1,1,0,0,0,0,226,325,0.6,561,709,1.5
State,Tripura,38,0,0,0,2,3,0.1,2,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.4,0,0,0,0,0,0,0,0,0,16,17,0.4
State,Uttar Pradesh,2158.4,0,0,0,33,53,0,30,51,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,2,2,0,4,4,0,10,10,0,50,70,0
State,Uttarakhand,105.4,2,2,0,20,31,0.2,15,25,0.1,0,0,0,1,2,0,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0,4,4,0,27,38,0.3
State,West Bengal,930,4,4,0,107,268,0.1,38,185,0,3,6,0,1,1,0,23,0,0,42,76,0,1003,1055,1.1,0,0,0,91,97,0.1,50,50,0.1,1255,1474,1.3
State,TOTAL (STATES),12334.8,6,6,0,2630,3396,0.2,1282,2007,0.1,85,119,0,182,264,0,296,0,0,785,1006,0.1,3080,3132,0.2,11,11,0,105,111,0,940,2250,0.1,6772,8906,0.5
UT,A & N Islands,5.5,0,0,0,1,0,0.2,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2
UT,Chandigarh,17.4,0,0,0,4,0,0.2,0,0,0,0,0,0,0,0,0,4,0,0.2,0,0,0,7,7,0.4,0,0,0,0,0,0,2,2,0.1,13,9,0.7
