S. No.,Category,State/UT,Number of Occasions Firing was Resorted to by the Police,Cases Registered,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,0,0,0,0,0,0
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,7,7,7,2,1,2
4,State,Bihar,2,2,3,1,0,0
5,State,Chhattisgarh,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0
7,State,Gujarat,3,3,4,0,0,2
8,State,Haryana,7,7,2,3,1,0
9,State,Himachal Pradesh,0,0,0,0,0,0
10,State,Jammu & Kashmir,7,7,1,0,0,8
11,State,Jharkhand,1,1,1,0,0,0
12,State,Karnataka,8,8,1,3,0,7
13,State,Kerala,0,0,0,0,0,0
14,State,Madhya Pradesh,4,4,0,10,0,7
15,State,Maharashtra,33,30,3,6,2,92
16,State,Manipur,3,3,4,9,0,0
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0
20,State,Odisha,2,2,0,0,0,1
21,State,Punjab,0,0,0,0,0,0
22,State,Rajasthan,35,27,1,2,0,18
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,2,2,1,1,0,5
25,State,Telangana,8,8,3,0,3,2
26,State,Tripura,0,0,0,0,0,0
27,State,Uttar Pradesh,29,29,9,2,1,12
28,State,Uttarakhand,0,0,0,0,0,0
29,State,West Bengal,3,3,0,0,0,4
TOTAL (STATES),State,TOTAL (STATES),154,143,40,39,8,160
30,UT,A & N Islands,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0
34,UT,Delhi UT,2,2,2,0,0,17
35,UT,Lakshadweep,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0
TOTAL (UTS),UT,TOTAL (UTS),2,2,2,0,0,17
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),156,145,42,39,8,177
