Category,State/UT,Cases Reported,Percentage Contribution to All India Total,Estimated Mid-Year Children Population+ (in Lakhs),Rate of Total Cognizable Crimes
STATE,Andhra Pradesh,1992,2.1,156.7,12.7
STATE,Arunachal Pradesh,181,0.2,4.7,38.7
STATE,Assam,2835,3,118.9,23.8
STATE,Bihar,1917,2,447.8,4.3
STATE,Chhattisgarh,4469,4.7,100.5,44.5
STATE,Goa,242,0.3,5.2,46.5
STATE,Gujarat,3623,3.8,206.8,17.5
STATE,Haryana,3262,3.5,92.8,35.1
STATE,Himachal Pradesh,477,0.5,21.6,22.1
STATE,Jammu & Kashmir,308,0.3,45,6.8
STATE,Jharkhand,406,0.4,131.5,3.1
STATE,Karnataka,3961,4.2,195.9,20.2
STATE,Kerala,2384,2.5,93.4,25.5
STATE,Madhya Pradesh,12859,13.7,300.8,42.8
STATE,Maharashtra,13921,14.8,378.5,36.8
STATE,Manipur,110,0.1,9.6,11.4
STATE,Meghalaya,257,0.3,10,25.6
STATE,Mizoram,186,0.2,3.7,50.1
STATE,Nagaland,61,0.1,6.7,9.1
STATE,Odisha,2562,2.7,140.4,18.2
STATE,Punjab,1836,1.9,87.7,20.9
STATE,Rajasthan,3689,3.9,285.4,12.9
STATE,Sikkim,64,0.1,2,31.5
STATE,Tamil Nadu,2617,2.8,202,13
STATE,Telangana,2697,2.9,111.7,24.1
STATE,Tripura,255,0.3,12.4,20.6
STATE,Uttar Pradesh,11420,12.1,885.8,12.9
STATE,Uttarakhand,635,0.7,38.5,16.5
STATE,West Bengal,4963,5.3,293.7,16.9
STATE,TOTAL (STATES),84189,89.4,4389.6,19.2
UT,A & N Islands,102,0.1,1.4,75
UT,Chandigarh,271,0.3,4,67.8
UT,D&N Haveli,35,0,1.3,27.6
UT,Daman & Diu,28,0,0.9,30.8
UT,Delhi UT,9489,10.1,56,169.4
UT,Lakshadweep,2,0,0.2,11.1
UT,Puducherry,56,0.1,4.7,12
UT,TOTAL (UTS),9983,10.6,68.4,146
TOTAL (ALL INDIA),TOTAL (ALL INDIA),94172,100,4458,21.1
