Category,States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Total,Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231- 254, 489A - 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
State,Andhra Pradesh,58,21,11,66,0,66,22,12,10,13,5,11,353,740,130,610,32,1,14,0,2,256,8,31,28,20,0,9,100,1801
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,1,0,14,14,34,10,24,0,0,0,0,0,19,0,0,0,0,0,0,23,105
State,Assam,24,1,0,25,0,25,23,16,7,9,0,15,164,454,30,424,161,0,3,1,0,130,0,13,2,1,0,0,129,1155
State,Bihar,41,71,2,37,0,37,45,18,27,22,0,25,48,217,16,201,342,0,7,4,1,208,18,6,0,13,0,9,280,1396
State,Chhattisgarh,40,32,1,60,0,60,3,2,1,12,1,24,297,334,61,273,75,2,7,3,4,252,4,44,4,13,0,10,354,1576
State,Goa,0,0,0,2,0,2,2,2,0,0,0,1,24,32,5,27,1,0,0,0,1,1,0,1,0,0,0,2,9,76
State,Gujarat,44,25,1,26,0,26,32,30,2,9,1,48,251,644,227,417,179,0,5,0,3,311,0,15,13,46,0,0,623,2276
State,Haryana,32,21,0,29,0,29,24,18,6,2,39,22,181,262,119,143,104,7,28,0,0,265,5,22,22,28,0,4,360,1457
State,Himachal Pradesh,3,1,0,10,0,10,1,1,0,0,0,0,18,14,4,10,16,0,0,0,0,24,0,6,0,0,0,1,51,145
State,Jammu & Kashmir,0,3,0,1,0,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,15
State,Jharkhand,26,19,2,17,0,17,12,3,9,4,0,10,28,107,18,89,48,5,5,0,2,85,0,3,0,0,0,0,94,467
State,Karnataka,20,20,2,10,0,10,4,2,2,3,6,31,90,173,34,139,28,0,5,0,1,51,0,9,0,2,0,0,49,504
State,Kerala,7,9,1,5,0,5,4,2,2,7,3,8,55,127,44,83,254,1,0,0,0,95,0,6,0,0,0,0,48,630
State,Madhya Pradesh,140,157,7,235,0,235,29,23,6,9,2,69,468,741,83,658,168,0,8,0,9,1352,21,217,53,74,0,24,2624,6407
State,Maharashtra,182,127,2,96,0,96,53,37,16,100,58,134,909,1792,322,1470,622,4,32,1,25,1331,8,70,23,106,0,38,533,6246
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,3,2,0,9,0,9,0,0,0,4,0,1,15,30,1,29,0,0,0,0,5,1,0,3,0,0,0,3,29,105
State,Mizoram,0,0,0,6,0,6,0,0,0,0,0,1,28,38,0,38,0,0,0,0,0,1,0,1,0,0,0,0,5,80
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,28,18,1,32,0,32,6,5,1,2,1,10,89,198,3,195,29,0,0,1,3,50,2,14,0,7,0,0,136,627
State,Punjab,1,3,0,4,0,4,0,0,0,0,1,0,37,20,3,17,0,0,0,0,0,13,0,0,0,0,0,0,26,105
State,Rajasthan,50,77,0,52,0,52,19,13,6,1,0,40,323,545,128,417,37,0,6,0,8,250,6,30,0,18,0,2,505,1969
State,Sikkim,2,0,1,6,0,6,0,0,0,0,0,0,6,15,0,15,23,0,2,0,0,17,0,1,0,1,0,0,16,90
State,Tamil Nadu,45,17,1,15,0,15,4,2,2,14,0,1,164,407,59,348,39,0,4,0,0,48,0,2,0,0,0,0,79,840
State,Tripura,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
State,Uttar Pradesh,37,3,3,20,0,20,47,42,5,0,0,13,7,72,12,60,24,0,0,1,0,7,13,3,8,28,0,3,125,414
State,Uttarakhand,6,1,2,5,0,5,3,3,0,0,3,1,35,43,4,39,3,2,0,0,0,5,0,0,0,0,0,0,7,116
State,West Bengal,7,3,5,23,0,23,8,1,7,0,3,0,2,27,0,27,2,0,1,0,0,1,0,1,1,1,0,0,15,100
State,Total (States),797,631,42,791,0,791,341,232,109,212,123,479,3609,7068,1313,5755,2187,22,127,12,65,4773,85,498,154,358,0,105,6225,28704
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,12,29
Union Territory,Chandigarh,1,2,1,3,0,3,0,0,0,0,0,4,3,62,11,51,7,0,0,0,0,4,0,0,0,0,0,0,28,115
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,11
Union Territory,Daman & Diu,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,14
Union Territory,Delhi,25,20,0,31,0,31,6,5,1,2,6,33,97,334,49,285,23,0,13,0,0,47,0,17,2,14,0,2,164,836
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,1,0,0,0,0,0,0,0,0,0,0,0,17,24,0,24,5,0,0,0,0,5,0,3,2,0,0,0,5,62
Union Territory,Total (UTs),27,23,1,34,0,34,6,5,1,2,6,37,135,430,60,370,44,0,13,0,1,59,0,20,4,14,0,2,209,1067
Total (All-India),Total (All-India),824,654,43,825,0,825,347,237,110,214,129,516,3744,7498,1373,6125,2231,22,140,12,66,4832,85,518,158,372,0,107,6434,29771
