Category,States/ UTs/ Cities,"Murder (Sec.302,303 IPC) - 2006","Murder (Sec.302,303 IPC) - 2007","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2006,Attempt to Commit Murder (Sec.307 IPC) - 2007,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2006","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2007","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Total 2007,Rape (Sec. 376 IPC) - % Variation,Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Custodial 2007,Rape (Sec. 376 IPC) - % Variation,Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Other 2007,Rape (Sec. 376 IPC) - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2006,Dacoity (Sec. 395-398 IPC) - 2007,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2006,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2007,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2006","Robbery (Sec.392-394, 397, 398 IPC) - 2007","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2006","Burglary (Sec.449-452,454,455,457-460 IPC) - 2007","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) - 2006,Theft (Sec. 379 - 382 IPC) - Total 2007,Theft (Sec. 379 - 382 IPC) - % Variation,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2006,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2007,Theft (Sec. 379 - 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) - Other Theft - 2006,Theft (Sec. 379 - 382 IPC) - Other Theft - 2007,Theft (Sec. 379 - 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2006","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2007","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2006,Criminal Breach of Trust (Sec. 406-409 IPC) - 2007,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2006","Cheating (Sec. 419,420 IPC) - 2007","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2006","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2007","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2006","Arson (Sec.435,436,438 IPC) - 2007","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2006","Hurt (Sec.323-333, 335-338 IPC) - 2007","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2006,Dowry Deaths (Sec.304B IPC) - 2007,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2006,Molestation (Sec.354 IPC) - 2007,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2006,Sexual Harassment (Sec.509 IPC) - 2007,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2006,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2007,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2006,Importation of Girls (Sec. 366B IPC) - 2007,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2006,Causing Death by Negligence (Sec. 304A IPC) - 2007,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes - 2006,Other IPC Crimes - 2007,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2006,Total Cognizable Crimes Under IPC - 2007,Total Cognizable Crimes Under IPC - % Variation
State,Andhra Pradesh,2766,2665,-3.7,1860,1885,1.3,123,135,9.8,1049,1070,2,1,0,-100,1048,1070,2.1,2030,2097,3.3,1329,1564,17.7,701,533,-24,178,170,-4.5,3,6,100,679,614,-9.6,8304,7677,-7.6,23510,24391,3.7,5313,6183,16.4,18197,18208,0.1,2916,1998,-31.5,1007,869,-13.7,8363,8103,-3.1,324,224,-30.9,1012,1176,16.2,47946,46122,-3.8,519,613,18.1,4534,4406,-2.8,2411,3316,37.5,9164,11335,23.7,0,0,0,11489,12629,9.9,43722,43586,-0.3,173909,175087,0.7
State,Arunachal Pradesh,60,68,13.3,33,29,-12.1,3,2,-33.3,37,48,29.7,0,0,0,37,48,29.7,75,68,-9.3,51,44,-13.7,24,24,0,28,16,-42.9,0,0,0,74,75,1.4,257,240,-6.6,451,513,13.7,74,116,56.8,377,397,5.3,6,16,166.7,61,41,-32.8,38,33,-13.2,9,10,11.1,20,22,10,415,375,-9.6,1,0,-100,63,72,14.3,2,1,-50,14,20,42.9,0,0,0,82,82,0,565,555,-1.8,2294,2286,-0.3
State,Assam,1207,1374,13.8,414,451,8.9,32,109,240.6,1244,1437,15.5,0,0,0,1244,1437,15.5,1825,1971,8,1544,1471,-4.7,281,500,77.9,319,299,-6.3,12,12,0,544,496,-8.8,2911,2603,-10.6,7820,7754,-0.8,1362,1982,45.5,6458,5772,-10.6,2684,2601,-3.1,461,653,41.6,905,895,-1.1,98,115,17.3,488,380,-22.1,5290,5175,-2.2,105,100,-4.8,1290,789,-38.8,10,10,0,2548,3000,17.7,0,0,0,3022,2875,-4.9,10444,12183,16.7,43673,45282,3.7
State,Bihar,3249,3034,-6.6,3303,3113,-5.8,326,257,-21.2,1232,1555,26.2,0,0,0,1232,1555,26.2,2619,2530,-3.4,1084,1260,16.2,1535,1270,-17.3,1001,686,-31.5,140,78,-44.3,2169,1787,-17.6,3531,3259,-7.7,11752,11795,0.4,2023,2392,18.2,9729,9403,-3.4,8259,7962,-3.6,1054,1326,25.8,2171,2358,8.6,97,79,-18.6,785,865,10.2,12674,16288,28.5,1188,1172,-1.3,530,853,60.9,53,12,-77.4,1689,1635,-3.2,42,56,33.3,2860,3789,32.5,39941,44931,12.5,100665,109420,8.7
State,Chhattisgarh,1098,1097,-0.1,825,747,-9.5,15,26,73.3,995,982,-1.3,0,0,0,995,982,-1.3,239,244,2.1,178,181,1.7,61,63,3.3,160,115,-28.1,24,13,-45.8,439,427,-2.7,3507,3632,3.6,5262,5381,2.3,1623,1814,11.8,3639,3567,-2,905,881,-2.7,137,150,9.5,507,467,-7.9,33,64,93.9,262,253,-3.4,6722,6801,1.2,103,100,-2.9,1598,1549,-3.1,143,111,-22.4,717,824,14.9,1,0,-100,2239,2476,10.6,19246,19505,1.3,45177,45845,1.5
State,Goa,39,33,-15.4,17,23,35.3,1,7,600,21,20,-4.8,0,0,0,21,20,-4.8,16,12,-25,10,7,-30,6,5,-16.7,7,7,0,0,0,0,17,22,29.4,252,292,15.9,494,494,0,223,207,-7.2,271,287,5.9,63,70,11.1,35,36,2.9,55,55,0,9,10,11.1,38,24,-36.8,170,150,-11.8,0,2,NA,18,20,11.1,7,7,0,14,14,0,0,0,0,233,247,6,698,934,33.8,2204,2479,12.5
State,Gujarat,1165,1166,0.1,471,494,4.9,24,21,-12.5,354,316,-10.7,0,0,0,354,316,-10.7,1128,1312,16.3,945,1089,15.2,183,223,21.9,290,245,-15.5,12,10,-16.7,970,1095,12.9,5530,4870,-11.9,18475,18164,-1.7,7188,8022,11.6,11287,10142,-10.1,1534,1668,8.7,1246,1139,-8.6,1529,1116,-27,196,286,45.9,321,330,2.8,10685,10989,2.8,50,42,-16,736,822,11.7,138,120,-13,4977,5827,17.1,0,0,0,4339,4831,11.3,66802,68332,2.3,120972,123195,1.8
State,Haryana,873,911,4.4,585,592,1.2,59,72,22,608,488,-19.7,0,0,0,608,488,-19.7,635,801,26.1,431,554,28.5,204,247,21.1,104,139,33.7,224,266,18.8,410,502,22.4,4001,4231,5.7,10518,11047,5,6300,6499,3.2,4218,4548,7.8,1142,1173,2.7,750,726,-3.2,1424,1232,-13.5,35,33,-5.7,156,142,-9,5135,5031,-2,255,269,5.5,486,417,-14.2,491,409,-16.7,2254,2412,7,0,0,0,1350,1545,14.4,19014,19159,0.8,50509,51597,2.2
State,Himachal Pradesh,111,127,14.4,78,57,-26.9,20,9,-55,113,159,40.7,0,0,0,113,159,40.7,130,171,31.5,109,150,37.6,21,21,0,7,5,-28.6,0,0,0,29,23,-20.7,754,877,16.3,812,1092,34.5,214,264,23.4,598,828,38.5,566,649,14.7,137,132,-3.6,129,212,64.3,4,11,175,115,141,22.6,1261,1318,4.5,3,8,166.7,275,322,17.1,31,33,6.5,259,342,32,0,0,0,499,597,19.6,7760,7937,2.3,13093,14222,8.6
State,Jammu & Kashmir,487,318,-34.7,854,669,-21.7,40,23,-42.5,250,288,15.2,0,0,0,250,288,15.2,789,758,-3.9,723,707,-2.2,66,51,-22.7,10,18,80,0,0,0,112,111,-0.9,1351,1460,8.1,1937,2086,7.7,554,514,-7.2,1383,1572,13.7,1197,1209,1,123,121,-1.6,463,489,5.6,35,31,-11.4,203,186,-8.4,376,374,-0.5,10,9,-10,960,986,2.7,347,353,1.7,135,176,30.4,0,0,0,222,243,9.5,10886,11535,6,20787,21443,3.2
