Category,States/ UTs,Category of Complaints Received - Oral,Category of Complaints Received - Written,Category of Complaints Received - Distress cAll over Phone 100,Category of Complaints Received - Complaints Initiated Suemoto by Police,Category of Complaints Received - Total Complaints,No. of Cases Registered under - IPC,No. of Cases Registered under - SLL,Total
State,Andhra Pradesh,220603,313873,31238,349168,914882,175087,711946,887033
State,Arunachal Pradesh,0,2252,10,80,2342,2286,56,2342
State,Assam,170,48199,152,592,49113,45282,3831,49113
State,Bihar,10809,106684,211,1195,118899,109420,9479,118899
State,Chhattisgarh,125272,115272,544,5646,246734,45845,200889,246734
State,Goa,1215,1078,0,3439,5732,2479,3253,5732
State,Gujarat,117123,113897,3467,83459,317946,123195,194751,317946
State,Haryana,0,72542,0,12079,84621,51597,19526,71123
State,Himachal Pradesh,1675,12806,39,2533,17053,14222,3665,17887
State,Jammu & Kashmir,4843,14467,126,4389,23825,21443,2382,23825
State,Jharkhand,7336,33512,0,338,41186,38489,2697,41186
State,Karnataka,33648,89019,959,13026,136652,120606,16046,136652
State,Kerala,87909,217327,8674,93581,407491,108530,88726,197256
State,Madhya Pradesh,181591,138646,191,39238,359666,202386,196849,399235
State,Maharashtra,209595,470614,6479,203440,890128,195707,120310,316017
State,Manipur,0,2972,0,1040,4012,3259,753,4012
State,Meghalaya,240,1916,389,86,2631,2079,123,2202
State,Mizoram,0,2083,0,824,2907,2083,824,2907
State,Nagaland,25,1291,0,228,1544,1180,305,1485
State,Orissa,4244,53540,2,9248,67034,54872,12162,67034
State,Punjab,4957,192967,7614,1843,207381,35793,22612,58405
State,Rajasthan,11048,138612,0,36841,186501,148870,37631,186501
State,Sikkim,1257,1945,113,62,3377,667,190,857
State,Tamil Nadu,31497,187250,8456,420514,647717,172754,474963,647717
State,Tripura,183,4169,0,96,4448,4273,175,4448
State,Uttar Pradesh,710,152608,76,1441206,1594600,150258,1444342,1594600
State,Uttarakhand,202,9653,0,140172,150027,9599,140428,150027
State,West Bengal,102602,90494,22294,5040,220430,81102,6453,87555
State,Total (states),1158754,2589688,91034,2869403,6708879,1923363,3715367,5638730
Union Territory,A & N Islands,859,127,62,5073,6121,807,5304,6111
Union Territory,Chandigarh,0,5213,27910,12,33135,3643,853,4496
Union Territory,D & N Haveli,390,48,0,2,440,425,15,440
Union Territory,Daman & Diu,147,114,0,12,273,260,13,273
Union Territory,Delhi,55712,181887,485592,28164,751355,56065,20994,77059
Union Territory,Lakshadweep,0,55,0,11,66,56,10,66
Union Territory,Puducherry,2168,2927,0,1137,6232,5054,1178,6232
Union Territory,Total (UTs),59276,190371,513564,34411,797622,66310,28367,94677
Total (All-India),Total (All-India),1218030,2780059,604598,2903814,7506501,1989673,3743734,5733407
