Category,States/ UTs,DG/ Addl.DG /IG /DIG - Sanctioned,DG/ Addl.DG /IG /DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,4,4,91,73,1230,1037,14241,11678,15566,12792
State,Arunachal Pradesh,0,0,27,10,112,87,2901,2706,3040,2803
State,Assam,0,0,202,185,1000,965,24712,22558,25914,23708
State,Bihar,4,3,123,44,1139,741,16984,9417,18250,10205
State,Chhattisgarh,5,5,133,52,1279,837,13194,10366,14611,11260
State,Goa,0,0,11,0,48,22,835,633,894,655
State,Gujarat,3,3,70,29,2823,1243,13537,8363,16433,9638
State,Haryana,3,2,45,27,545,422,6881,6097,7474,6548
State,Himachal Pradesh,3,4,24,26,236,208,3514,1930,3777,2168
State,Jammu & Kashmir,4,3,278,214,1317,1136,24178,21438,25777,22791
State,Jharkhand,2,2,76,21,801,748,11479,10529,12358,11300
State,Karnataka,0,0,7,5,222,184,4422,3855,4651,4044
State,Kerala,3,2,51,47,359,271,8051,7430,8464,7750
State,Madhya Pradesh,0,0,0,0,2026,2026,19173,19173,21199,21199
State,Maharashtra,4,0,104,16,2036,1525,15259,12061,17403,13602
State,Manipur,5,2,141,99,420,353,11805,10295,12371,10749
State,Meghalaya,0,0,42,29,233,154,4450,3329,4725,3512
State,Mizoram,0,0,63,45,259,170,5048,4102,5370,4317
State,Nagaland,0,0,33,33,143,142,4544,4476,4720,4651
State,Orissa,0,0,184,73,911,449,14723,10342,15818,10864
State,Punjab,9,9,205,205,1067,1067,18450,18450,19731,19731
State,Rajasthan,6,5,91,69,457,259,11318,10217,11872,10550
State,Sikkim,1,1,18,13,99,98,1315,1109,1433,1221
State,Tamil Nadu,3,3,88,57,616,576,14708,14629,15415,15265
State,Tripura,2,2,113,82,559,351,14424,11615,15098,12050
State,Uttar Pradesh,14,12,159,128,1977,1613,34229,30171,36379,31924
State,Uttarakhand,0,0,26,11,142,105,4529,3868,4697,3984
State,West Bengal,7,7,156,101,7097,4441,28752,25141,36012,29690
State,Total (States),82,69,2561,1694,29153,21230,347656,295978,379452,318971
Union Territory,A & N Islands,1,1,3,3,34,57,581,549,619,610
Union Territory,Chandigarh,0,0,1,1,14,14,404,404,419,419
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2,2,86,22,725,368,11755,8234,12568,8626
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,2,2,26,17,741,718,769,737
Union Territory,Total (UTs),3,3,92,28,799,456,13481,9905,14375,10392
Total (All-India),Total (All-India),85,72,2653,1722,29952,21686,361137,305883,393827,329363
