Category,States/ UTs,"Gain - Murder (Sec.302,303 IPC)","Gain - C.H.(Sec.304, 308 IPC)","Property Dispute - Murder (Sec.302,303 IPC)","Property Dispute - C.H.(Sec.304, 308 IPC)","Personal Vendetta or Enmity - Murder (Sec.302,303 IPC)","Personal Vendetta or Enmity - C.H.(Sec.304, 308 IPC)","Love Affairs/ Sexual Causes - Murder (Sec.302,303 IPC)","Love Affairs/ Sexual Causes - C.H.(Sec.304, 308 IPC)","Dowry - Murder (Sec.302,303 IPC)","Dowry - C.H.(Sec.304, 308 IPC)","Lunacy - Murder (Sec.302,303 IPC)","Lunacy - C.H.(Sec.304, 308 IPC)","Witchcraft - Murder (Sec.302,303 IPC)","Witchcraft - C.H.(Sec.304, 308 IPC)","Political Reasons - Murder (Sec.302,303 IPC)","Political Reasons - C.H.(Sec.304, 308 IPC)","Terrorist/ Extremist Violence - Murder (Sec.302,303 IPC)","Terrorist/ Extremist Violence - C.H.(Sec.304, 308 IPC)","Communalism - Murder (Sec.302,303 IPC)","Communalism - C.H.(Sec.304, 308 IPC)","Casteism - Murder (Sec.302,303 IPC)","Casteism - C.H.(Sec.304, 308 IPC)","Class Conflict - Murder (Sec.302,303 IPC)","Class Conflict - C.H.(Sec.304, 308 IPC)","Other Motives - Murder (Sec.302,303 IPC)","Other Motives - C.H.(Sec.304, 308 IPC)","Total - Murder (Sec.302,303 IPC)","Total - C.H.(Sec.304, 308 IPC)"
State,Andhra Pradesh,134,8,242,1,267,4,405,0,132,2,1,0,33,0,19,0,37,0,1,0,0,0,0,0,1394,120,2665,135
State,Arunachal Pradesh,2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,55,2,68,2
State,Assam,74,6,233,7,101,6,74,15,45,0,2,0,0,0,5,0,40,0,0,0,0,0,0,0,800,75,1374,109
State,Bihar,319,7,599,34,431,8,143,8,80,11,0,0,0,0,18,0,22,0,0,0,14,0,12,3,1396,186,3034,257
State,Chhattisgarh,29,1,90,0,100,0,64,0,17,0,17,0,8,0,0,0,145,0,1,0,0,0,0,0,626,25,1097,26
State,Goa,1,0,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,33,7
State,Gujarat,74,0,93,0,164,0,152,0,19,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,658,21,1166,21
State,Haryana,71,3,201,12,210,8,48,0,15,0,1,0,30,1,1,0,0,0,0,0,0,0,1,0,333,48,911,72
State,Himachal Pradesh,5,0,3,0,11,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7,127,9
State,Jammu & Kashmir,3,0,18,0,15,0,3,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,93,23,318,23
State,Jharkhand,254,20,261,12,181,3,87,0,57,0,24,0,50,0,15,0,20,4,0,0,1,0,0,0,667,53,1617,92
State,Karnataka,47,2,71,1,124,1,100,0,56,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1137,51,1538,55
State,Kerala,22,0,9,1,110,6,3,0,2,0,2,1,0,0,10,0,0,0,0,0,0,0,0,0,209,84,367,92
State,Madhya Pradesh,81,0,281,4,472,17,233,2,32,0,4,0,14,0,3,0,1,0,1,0,1,0,0,0,1121,132,2244,155
State,Maharashtra,70,1,124,0,155,0,203,2,128,0,3,0,13,1,9,0,27,0,3,0,1,0,3,0,1954,109,2693,113
