Category,Crime Head,Cases Registered,Persons Arrested
A. Offences under IT Act,Tampering computer source documents,11,2
A. Offences under IT Act,Hacking with Computer System - (i) Loss/damage to computer resource/utility,30,25
A. Offences under IT Act,Hacking with Computer System - (ii) Hacking,46,23
A. Offences under IT Act,Obscene publication/transmission in electronic form,99,86
A. Offences under IT Act,Failure - (i) of compliance/orders of Certifying Authority,2,1
A. Offences under IT Act,Failure - (ii) to assist in decrypting the information intercepted by Govt Agency,2,0
A. Offences under IT Act,Un-authorised access/attempt to access to protected computer system,4,0
A. Offences under IT Act,Obtaining licence or Digital Signature Certificate by misrepresentation/suppression of fact,11,11
A. Offences under IT Act,Publishing False Digital Signature Certificate,0,0
A. Offences under IT Act,Fraud Digital Signature Certificate,3,3
A. Offences under IT Act,Breach of confidentiality/privacy,9,3
A. Offences under IT Act,Other,0,0
A. Offences under IT Act,Total (A),217,154
B. Offences under IPC,Offences by/Against Public Servant,0,0
B. Offences under IPC,False electronic evidence,0,0
B. Offences under IPC,Destruction of electronic evidence,0,0
B. Offences under IPC,Forgery,217,264
B. Offences under IPC,Criminal Breach of Trust/Fraud,73,85
B. Offences under IPC,Counterfeiting - (i) Property/mark,8,23
B. Offences under IPC,Counterfeiting - (ii) Tampering,5,8
B. Offences under IPC,Counterfeiting - (iii)Currency/Stamps,36,49
B. Offences under IPC,Total (B),339,429
Grand Total (A+B ),Grand Total (A+B ),556,583
