Category,States/ UTs,No. of Officers (Dy. SP & Above) - Sanctioned,No. of Officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
State,Andhra Pradesh,16,13,44,35,180,161
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,67,32,2596,2382,566,478
State,Bihar,49,25,349,101,1397,607
State,Chhattisgarh,26,16,343,207,7729,6851
State,Goa,2,2,18,12,482,458
State,Gujarat,153,67,1610,1004,43517,39924
State,Haryana,45,30,178,134,392,297
State,Himachal Pradesh,19,9,310,220,240,185
State,Jammu & Kashmir,32,21,79,33,1498,1299
State,Jharkhand,66,32,382,246,5083,3662
State,Karnataka,2234,1687,3521,2944,20614,17333
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,70,55,659,458,16005,12183
State,Maharashtra,30,29,4,3,636,512
State,Manipur,11,11,96,96,2221,2221
State,Meghalaya,18,13,63,60,433,406
State,Mizoram,5,4,13,4,60,52
State,Nagaland,7,4,7,17,129,115
State,Orissa,2,2,309,290,124,114
State,Punjab,5,4,110,80,13452,12379
State,Rajasthan,50,30,236,151,431,339
State,Sikkim,7,10,2,2,548,550
State,Tamil Nadu,0,0,0,0,11605,10186
State,Tripura,10,7,30,17,3036,1662
State,Uttar Pradesh,89,59,262,228,3364,3290
State,Uttarakhand,20,5,241,106,6411,5795
State,West Bengal,5,4,121,104,15863,14334
State,Total (States),3038,2171,11583,8934,156016,135393
Union Territory,A & N Islands,1,1,6,2,17,11
Union Territory,Chandigarh,1,1,2,1,1132,1120
Union Territory,D & N Haveli,0,0,0,0,400,395
Union Territory,Daman & Diu,5,4,14,14,234,224
Union Territory,Delhi,5,4,13,11,0,0
Union Territory,Lakshadweep,0,0,0,0,55,49
Union Territory,Puducherry,0,3,2,2,776,604
Union Territory,Total (UTs),12,13,37,30,2614,2403
Total (All-India),Total (All-India),3050,2184,11620,8964,158630,137796
