Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons Whose - Cases Compounded or Withdrawn,Number of Persons Whose - Trial Completed,Number of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,757143,2396,714586,40161,699547,5.3,0.6
State,Arunachal Pradesh,690,0,7,683,2,99,0
State,Assam,16094,15,2427,13652,785,84.8,0.2
State,Bihar,84543,454,11343,72746,2741,86,1.2
State,Chhattisgarh,254745,1590,217125,36030,212688,14.1,0.6
State,Goa,10174,7,3492,6675,2396,65.6,0.1
State,Gujarat,1831882,11314,211862,1608706,128045,87.8,25.6
State,Haryana,145911,0,28940,116971,16899,80.2,1.9
State,Himachal Pradesh,32334,310,4950,27074,1202,83.7,0.4
State,Jammu & Kashmir,25713,17,2686,23010,1067,89.5,0.4
State,Jharkhand,15339,54,4476,10809,1201,70.5,0.2
State,Karnataka,104158,137,35740,68281,21341,65.6,1.1
State,Kerala,228320,2041,70452,155827,57674,68.2,2.5
State,Madhya Pradesh,386681,697,238147,147837,223816,38.2,2.4
State,Maharashtra,1693429,13661,120252,1559516,9683,92.1,24.8
State,Manipur,1687,0,43,1644,38,97.5,0
State,Meghalaya,1193,0,63,1130,40,94.7,0
State,Mizoram,1629,0,1061,568,1037,34.9,0
State,Nagaland,1180,215,532,433,418,36.7,0
State,Orissa,86966,0,8426,78540,2115,90.3,1.3
State,Punjab,102756,27,21956,80773,16780,78.6,1.3
State,Rajasthan,170666,1861,43406,125399,38844,73.5,2
State,Sikkim,284,0,150,134,130,47.2,0
State,Tamil Nadu,405454,4948,316710,83796,223066,20.7,1.3
State,Tripura,413,0,126,287,26,69.5,0
State,Uttar Pradesh,3034643,199,1402945,1631499,1131732,53.8,26
State,Uttarakhand,249982,84,96676,153222,95465,61.3,2.4
State,West Bengal,65053,416,6021,58616,2145,90.1,0.9
State,Total (States),9709062,40443,3564600,6104019,2890923,62.9,97.2
Union Territory,A & N Islands,26094,0,3577,22517,3568,86.3,0.4
Union Territory,Chandigarh,2744,0,1020,1724,929,62.8,0
Union Territory,D & N Haveli,219,0,16,203,0,92.7,0
Union Territory,Daman & Diu,75,0,17,58,1,77.3,0
Union Territory,Delhi,166076,0,15713,150363,7919,90.5,2.4
Union Territory,Lakshadweep,12,0,1,11,1,91.7,0
Union Territory,Puducherry,2307,0,1701,606,1521,26.3,0
Union Territory,Total (UTs),197527,0,22045,175482,13939,88.8,2.8
Total (All-India),Total (All-India),9906589,40443,3586645,6279501,2904862,63.4,100
