Category,Crime Head,Below 18 years,Between 18 - 30 years,Between 30 - 45 years,Between 45 - 60 years,Above 60 years,Total (All Age Groups),,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Tampering computer source documents,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Hacking with Computer System - (i) Loss/damage to computer resource/utility,0,12,12,1,0,25,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Hacking with Computer System - (ii) Hacking,2,12,8,1,0,23,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Obscene publication/transmission in electronic form,0,61,18,7,0,86,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Failure - (i) of compliance/orders of Certifying Authority,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Failure - (ii) to assist in decrypting the information intercepted by Govt Agency,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Un-authorised access/attempt to access to protected computer system,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Obtaining licence or Digital Signature Certificate by misrepresentation/suppression of fact,0,7,4,0,0,11,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Publishing False Digital Signature Certificate,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Fraud Digital Signature Certificate,0,0,3,0,0,3,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Breach of confidentiality/privacy,0,3,0,0,0,3,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Other,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
A. Offences under IT Act,Total (A),2,97,46,9,0,154,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Offences by/Against Public Servant,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
B. Offences under IPC,False electronic evidence,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Destruction of electronic evidence,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Forgery,0,84,145,34,1,264,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Criminal Breach of Trust/Fraud,1,13,49,22,0,85,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Counterfeiting - (i) Property/mark,0,8,13,2,0,23,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Counterfeiting - (ii) Tampering,1,2,5,0,0,8,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Counterfeiting - (iii)Currency/Stamps,2,19,25,3,0,49,,,,,,,,,,,,,,,,,,
B. Offences under IPC,Total (B),4,126,237,61,1,429,,,,,,,,,,,,,,,,,,
Grand Total (A+B ),Grand Total (A+B ),6,223,283,70,1,583,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,60,Years,Above,60,Years,Total
