Category,States/ UTs,DG/ Addl.DG /IG /DIG - Sanctioned,DG/ Addl.DG /IG /DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,68,62,491,401,7834,6660,64139,58703,72532,65826
State,Arunachal Pradesh,6,5,63,47,537,470,2655,2447,3261,2969
State,Assam,41,34,295,269,5008,4876,24696,23162,30040,28341
State,Bihar,50,54,399,294,13872,8358,50898,36964,65219,45670
State,Chhattisgarh,38,33,339,287,3023,1723,22316,16667,25716,18710
State,Goa,3,3,34,31,405,403,3720,3583,4162,4020
State,Gujarat,71,54,307,219,10796,9046,60479,53750,71653,63069
State,Haryana,40,38,173,182,5258,5078,34451,31261,39922,36559
State,Himachal Pradesh,35,36,110,123,1635,1503,8775,8007,10555,9669
State,Jammu & Kashmir,35,31,357,290,5163,4586,37911,34013,43466,38920
State,Jharkhand,30,32,348,186,4971,3991,33436,24989,38785,29198
State,Karnataka,14,11,258,231,5828,4988,53137,44018,59237,49248
State,Kerala,27,27,349,322,4003,3100,34958,32459,39337,35908
State,Madhya Pradesh,60,60,854,854,7076,7076,47637,47637,55627,55627
State,Maharashtra,80,96,940,742,28170,20447,130583,114684,159773,135969
State,Manipur,14,14,94,65,1384,1080,6152,4426,7644,5585
State,Meghalaya,18,15,52,47,975,907,5418,4683,6463,5652
State,Mizoram,6,5,97,85,1069,1001,2821,2334,3993,3425
State,Nagaland,22,22,78,75,505,485,5272,5073,5877,5655
State,Orissa,33,25,313,257,6315,4345,24706,22781,31367,27408
State,Punjab,44,44,394,394,6130,6130,45628,45628,52196,52196
State,Rajasthan,70,65,712,574,9440,7208,50431,46121,60653,53968
State,Sikkim,10,19,84,61,348,332,1639,1327,2081,1739
State,Tamil Nadu,93,86,898,782,9987,8993,76028,62847,87006,72708
State,Tripura,20,11,199,104,1438,1199,9506,8454,11163,9768
State,Uttar Pradesh,163,133,1306,1004,13513,10810,118659,107609,133641,119556
State,Uttarakhand,16,12,122,91,930,560,12916,9257,13984,9920
State,West Bengal,103,98,453,354,20130,14636,49642,35293,70328,50381
State,Total (States),1210,1125,10119,8371,175743,139991,1018609,888177,1205681,1037664
Union Territory,A & N Islands,2,2,12,12,398,339,1874,1842,2286,2195
Union Territory,Chandigarh,1,1,15,16,473,445,3301,3182,3790,3644
Union Territory,D & N Haveli,0,0,3,3,17,15,222,200,242,218
Union Territory,Daman & Diu,1,1,4,3,22,18,218,194,245,216
Union Territory,Delhi,27,34,324,286,11175,10297,43326,39382,54852,49999
Union Territory,Lakshadweep,0,0,2,2,53,28,294,260,349,290
Union Territory,Puducherry,2,2,21,19,289,238,1430,1333,1742,1592
Union Territory,Total (UTs),33,40,381,341,12427,11380,50665,46393,63506,58154
Total (All-India),Total (All-India),1243,1165,10500,8712,188170,151371,1069274,934570,1269187,1095818
