Category,States/ UTs,Total No. of Cases Reported,Sex-Wise/Age Group-Wise - Upto 10 Years (Male),Sex-Wise/Age Group-Wise - Upto 10 Years (Female),Sex-Wise/Age Group-Wise - 10-15 Years (Male),Sex-Wise/Age Group-Wise - 10-15 Years (Female),Sex-Wise/Age Group-Wise - 15-18 Years (Male),Sex-Wise/Age Group-Wise - 15-18 Years (Female),Sex-Wise/Age Group-Wise - 18-30 Years (Male),Sex-Wise/Age Group-Wise - 18-30 Years (Female),Sex-Wise/Age Group-Wise - 30-50 Years (Male),Sex-Wise/Age Group-Wise - 30-50 Years (Female),Sex-Wise/Age Group-Wise - Above 50 Years (Male),Sex-Wise/Age Group-Wise - Above 50 Years (Female),Sex-Wise/Age Group-Wise - Total (Male),Sex-Wise/Age Group-Wise - Total (Female),Sex-Wise/Age Group-Wise - Grand Total
State,Andhra Pradesh,2097,40,31,19,182,14,324,281,804,150,210,29,17,533,1568,2101
State,Arunachal Pradesh,68,0,0,0,3,0,0,13,41,11,0,0,0,24,44,68
State,Assam,1971,0,0,0,0,0,29,305,846,124,667,0,0,429,1542,1971
State,Bihar,2530,18,5,44,27,76,281,931,881,191,68,8,0,1268,1262,2530
State,Chhattisgarh,244,8,6,3,24,5,57,26,56,20,39,0,0,62,182,244
State,Goa,12,0,0,1,1,1,4,2,2,1,0,0,0,5,7,12
State,Gujarat,1312,20,13,9,128,20,267,139,576,61,85,7,2,256,1071,1327
State,Haryana,801,19,9,8,33,22,16,20,501,155,13,7,0,231,572,803
State,Himachal Pradesh,171,2,1,3,25,2,62,4,62,6,6,0,0,17,156,173
State,Jammu & Kashmir,758,0,0,0,5,0,3,28,585,24,127,0,0,52,720,772
State,Jharkhand,762,3,0,10,2,30,10,191,334,100,71,11,0,345,417,762
State,Karnataka,680,10,6,4,22,6,57,188,284,102,26,14,2,324,397,721
State,Kerala,255,6,8,1,11,3,47,32,102,28,13,11,0,81,181,262
State,Madhya Pradesh,922,19,21,16,90,14,144,132,409,63,41,9,1,253,706,959
State,Maharashtra,1312,44,37,38,149,33,446,130,429,98,26,15,3,358,1090,1448
State,Manipur,150,2,4,2,10,2,32,38,39,51,7,9,0,104,92,196
State,Meghalaya,52,1,0,1,4,0,3,19,15,9,0,0,0,30,22,52
State,Mizoram,4,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
State,Nagaland,17,0,2,0,2,0,0,3,2,6,2,0,0,9,8,17
State,Orissa,801,0,0,1,22,9,36,121,525,33,53,0,4,164,640,804
State,Punjab,760,14,10,13,77,8,176,95,305,72,9,9,2,211,579,790
State,Rajasthan,2177,18,14,22,111,48,376,244,927,135,254,16,12,483,1694,2177
State,Sikkim,9,0,1,0,0,0,7,0,1,0,0,0,0,0,9,9
State,Tamil Nadu,1270,6,10,2,34,3,162,73,826,72,86,9,0,165,1118,1283
State,Tripura,113,0,0,0,5,0,6,34,56,28,14,3,0,65,81,146
State,Uttar Pradesh,4478,6,0,71,101,120,743,554,2064,334,455,33,0,1118,3363,4481
State,Uttarakhand,253,1,0,5,17,3,20,13,145,3,45,1,0,26,227,253
State,West Bengal,1800,6,4,5,15,4,54,115,1476,24,91,1,5,155,1645,1800
State,Total (States),25779,243,182,278,1100,423,3362,3733,12295,1901,2408,192,48,6770,19395,26165
Union Territory,A & N Islands,12,0,0,1,1,1,5,0,3,1,1,0,0,3,10,13
Union Territory,Chandigarh,52,2,1,0,14,1,20,4,10,1,1,0,0,8,46,54
Union Territory,D & N Haveli,9,1,0,0,0,0,5,0,1,2,0,0,0,3,6,9
Union Territory,Daman & Diu,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Union Territory,Delhi,1688,262,154,73,166,85,421,63,451,61,26,6,0,550,1218,1768
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,20,1,1,0,0,1,9,2,4,2,0,0,0,6,14,20
Union Territory,Total (UTs),1782,266,156,74,181,88,460,69,470,67,28,6,0,570,1295,1865
All - India,Total (All-India),27561,509,338,352,1281,511,3822,3802,12765,1968,2436,198,48,7340,20690,28030
