Crime Head,Cases Withdrawn by Govt.,Percentage of Cases to Total Cases for Investigation in which Investigation Refused,Percentage of Cases to Total Cases for Investigation in which Investigation Was Completed - Charge Found False / Mistake of Fact Or Law Etc.,Percentage of Cases to Total Cases for Investigation in which Investigation Was Completed - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in which Investigation Was Completed - Charge Sheets Submitted,Percentage of Cases to Total Cases for Investigation in which Investigation Was Completed - Total,Percentage of Cases Pending Investigation at the end of the year,Charge Sheeting Rate
Arms Act,0,0,0.1,1,83.6,84.7,15.3,98.8
Narcotic Drugs & Psychotropic Substances Act,0,0,0.2,3.6,66.7,70.6,29.4,94.8
Gambling Act,0,0,0,0.1,95.2,95.3,4.7,99.9
Excise Act,0,0.2,0.2,0.4,87.2,87.7,12.1,99.6
Prohibition Act,1,0.2,2.1,2.4,71.2,75.7,23,96.7
Explosive & Explosive Substances Act,0,0,0.9,6.9,52,59.7,40.3,88.3
Immoral Traffic (P) Act,0,0,0.3,0.5,69.7,70.6,29.4,99.2
Indian Railways Act,0,0.3,5.8,15.4,39.4,60.6,39.1,71.9
Registration of foreigners Act,0,0,0,0.5,84,84.5,15.5,99.4
Protection of Civil Rights Act,0,0,21.4,11,49.9,82.2,17.8,82
Protection of Civil Rights Act - (i) PCR Act for SCs,0,0,17.7,11,54.9,83.5,16.5,83.3
Protection of Civil Rights Act - (ii) PCR Act for SCTs,0,0,54.1,10.8,5.4,70.3,29.7,33.3
Indian Passport Act,0,0,2.4,1.6,44.9,49,51,96.5
Essential Commodities Act,0,0.1,1.5,4,61.4,66.9,33.1,93.9
Terrorist & Disruptive Activities Act @,0,0,0,2.4,2.4,4.8,95.2,50
Antiquities & Art Treasures Act,0,0,19.8,2.8,21.7,44.3,55.7,88.5
Dowry Prohibition Act,0,0.3,4.6,4.9,48.1,57.7,42,90.7
Child Marriage Restraint Act,0,0,6.8,8.3,51.9,66.9,33.1,86.3
Indecent Representation of Women (p Act,0,0.1,0.2,0.1,95.2,95.5,4.4,99.9
Copyright Act,0,0,0.8,1,75.9,77.7,22.2,98.7
Sati Prevention Act,0,0,0,0,0,0,0,0
SC/ST (Prevention of Atrocities) Act,0.1,0.2,14.1,5.9,47.3,67.3,32.5,88.9
SC/ST (Prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,0.1,0.2,14.1,6.5,47,67.6,32.2,87.9
SC/ST (Prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for SCTs,0,0.1,14.4,1.2,49.8,65.4,34.5,97.6
forest Act,0,0.4,1.4,3.9,84.4,89.7,9.9,95.6
Other SLL Crimes,0,1.2,1.5,4.6,91.3,97.4,1.4,95.3
Total Cognizable Crimes Under SLL,0.1,0.9,1.5,3.8,88.1,93.4,5.5,95.8
