Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Railways - Total - Number,Railways - Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,ANDHRA PRADESH,9117,1741.2,133,28.1,42,12.7,751,180.7,0,0,751,180.7,26,12.5,2395,556.8,11927,2611.2,24391,5143.3
State,Arunachal Pradesh,232,131.7,23,25.5,0,0,0,0,0,0,0,0,0,0,82,18.7,176,108.3,513,284.2
State,Assam,3233,335.4,385,108.9,2,0.2,0,0,72,3.4,72,3.4,34,4.1,930,333.9,3098,242.6,7754,1028.5
State,Bihar,5629,456.9,403,59.9,1,0.1,820,109.8,344,17,1164,126.7,13,1.2,1144,202.1,3441,362,11795,1209
State,Chhattisgarh,1254,724.5,26,11.8,1,0,103,90.2,98,13,201,103.2,7,1.1,571,187.5,3321,984.6,5381,2012.8
State,Goa,66,31.5,5,26,2,5.2,1,0.2,4,2.1,5,2.4,1,4.5,46,52,369,262.6,494,384.1
State,Gujarat,4161,1226.6,79,54.8,12,0.9,308,83.1,430,50.1,738,133.2,26,10,2652,1216.6,10496,3692.6,18164,6334.6
State,Haryana,1600,635,186,74.5,0,0,134,28.5,293,44.2,427,72.6,1,0,1707,524.5,7126,3156.3,11047,4463
State,Himachal Pradesh,93,61.5,43,83.9,0,0,0,0,0,0,0,0,1,0,51,27.3,904,629.6,1092,802.3
State,Jammu & Kashmir,368,231.3,0,0,0,0,0,0,470,62.3,470,62.3,5,4.2,172,17.3,1071,317.2,2086,632.3
State,Jharkhand,3050,317.7,63,12.1,0,0,110,17.9,307,47.2,417,65.1,4,1.1,874,141.9,2683,556.9,7091,1094.9
State,Karnataka,3753,1960.9,110,81.1,2,0.5,293,77.8,74,88.3,367,166.1,19,17,1934,773.7,8166,3317.3,14351,6316.6
State,Kerala,1876,1658.4,53,59.3,2,1,104,119.8,54,4.2,158,124,1,0.8,425,203.5,3094,1322.8,5609,3369.8
State,Madhya Pradesh,6754,1490.5,455,164.5,27,3.5,829,163.3,511,49,1340,212.4,8,1.1,2165,509.7,11647,2661.8,22396,5043.4
State,Maharashtra,9069,4243,447,307.1,10,574.4,1327,548.5,1597,231.9,2924,780.4,42,47.4,3195,2215.2,31994,22602.9,47681,30770.4
State,Manipur,91,32.1,21,2.9,1,0.1,0,0,0,0,0,0,1,0.1,21,8.5,319,100.6,454,144.3
State,Meghalaya,145,66.7,34,45.5,0,0,0,0,0,0,0,0,0,0,100,10.2,221,64.2,500,186.6
State,Mizoram,346,114.2,1,3,0,0,0,0,0,0,0,0,0,0,250,108.4,211,137.7,808,363.3
State,Nagaland,133,47.9,15,13.5,0,0,0,0,0,0,0,0,0,0,110,99.6,102,130.4,360,291.4
State,Orissa,1864,0,37,37.2,43,10.4,174,39.6,117,20.4,291,60,0,0,332,175.8,4263,2011,6830,2294.5
State,Punjab,1557,1048.9,39,37.6,0,0,4,4.7,30,7,34,11.7,132,64.2,655,479.9,2756,1942.4,5173,3584.7
State,Rajasthan,2871,661.7,0,0,10,0.8,335,62.9,148,13.2,483,76.1,0,0,1743,4087.1,14238,2215.7,19345,7041.3
State,Sikkim,67,24.3,0,0,0,0,0,0,0,0,0,0,0,0,29,25.8,22,7,118,57.1
State,Tamil Nadu,3312,765.1,145,136.1,9,1.7,81,18,63,10.5,144,28.5,38,11.7,2098,644.7,7471,1756.5,13217,3344.4
State,Tripura,215,36.6,0,0,0,0,0,0,0,0,0,0,0,0,30,1.6,166,276.2,411,314.5
State,Uttar Pradesh,3563,3146.3,8244,2962.5,0,0,884,81.5,395,69.1,1279,150.6,0,0,1182,429.7,8548,1875.2,22816,8564.3
State,Uttarakhand,894,435.6,26,7.3,0,0,10,1.1,9,0.7,19,1.8,0,0,221,106.4,433,91.5,1593,642.5
State,West Bengal,3372,666.3,48,49.4,2,0.3,478,60.2,261,22.9,739,83.1,1,0.3,1379,521.2,8206,3527.8,13747,4848.5
State,Total (States),68685,22291.9,11021,4392.5,166,611.8,6746,1687.7,5277,756.7,12023,2444.3,360,181.2,26493,13679.5,146469,56965,265217,100566.3
Union Territory,A & N Islands,22,3.4,0,0,0,0,0,0,0,0,0,0,1,0.1,31,18.5,58,26.1,112,48.1
Union Territory,Chandigarh,471,54,0,0,0,0,0,0,0,0,0,0,0,0,501,193.3,768,601.1,1740,848.3
Union Territory,D & N Haveli,17,7,0,0,1,0.1,0,0,0,0,0,0,0,0,42,94.3,27,14.9,87,116.3
Union Territory,Daman & Diu,9,3.1,0,0,0,0,0,0,0,0,0,0,0,0,3,15.2,31,40,43,58.3
Union Territory,Delhi,4113,2937.1,0,0,0,0,245,98.6,494,149.6,739,248.2,5,4.7,1078,941,11102,5382.8,17037,9513.8
Union Territory,Lakshadweep,4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,16,1.5,0,0,20,2.2
Union Territory,Puducherry,106,22.8,0,0,0,0,0,0,0,0,0,0,0,0,36,10.8,645,143.7,787,177.3
Union Territory,Total (UTs),4742,3028.1,0,0,1,0.1,245,98.6,494,149.6,739,248.2,6,4.8,1707,1274.6,12631,6208.6,19826,10764.3
Total (All-India),Total (All-India),73427,25320,11021,4392.5,167,611.9,6991,1786.3,5771,906.2,12762,2692.5,366,186,28200,14954.1,159100,63173.6,285043,111330.6
City,Agra,29,134.8,839,88.9,0,0,0,0,0,0,0,0,0,0,0,0,397,60.2,1265,283.9
City,Ahmedabad,1091,251.3,0,0,0,0,0,0,0,0,0,0,1,0,948,319.1,2262,563.8,4302,1134.2
City,Allahabad,17,0.9,212,59,0,0,0,0,0,0,0,0,0,0,32,6.6,81,12.2,342,78.7
City,Amritsar,105,110.3,6,2.9,0,0,0,0,0,0,0,0,0,0,132,64.2,202,113.2,445,290.7
City,Asansol,6,1.1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,137,27.7,145,38.7
City,Bengaluru,2557,1645.3,78,24.8,0,0,0,0,0,0,0,0,15,4.1,933,425.6,3794,1192.4,7377,3292.2
City,Bhopal,487,65.2,0,0,0,0,0,0,0,0,0,0,0,0,149,34.3,1459,336.7,2095,436.2
City,Chennai,907,214.2,0,0,0,0,0,0,0,0,0,0,0,0,345,89.3,865,386.2,2117,689.7
City,Coimbatore,93,15.2,0,0,0,0,0,0,0,0,0,0,0,0,277,90.5,312,37,682,142.6
