States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
Andhra Pradesh,18,1,0,0,2,1,1,3,0,12,0,751,2,0,26,12,166,993
Assam,2,0,0,3,3,3,0,1,0,6,0,73,2,2,5,0,175,272
Bihar,39,13,3,7,21,6,15,35,6,45,20,1164,25,0,9,14,675,2076
Chhattisgarh,1,1,0,1,1,1,0,0,0,3,5,186,3,1,13,1,75,291
Gujarat,16,6,0,0,4,1,3,8,0,35,21,811,5,1,75,3,274,1259
Haryana,19,2,0,2,7,3,4,3,0,18,1,427,6,0,17,23,614,1139
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
Jammu & Kashmir,1,1,1,0,0,0,0,0,0,0,0,14,0,0,0,2,8,27
Jharkhand,11,0,0,2,4,2,2,22,0,13,3,286,12,0,5,0,188,546
Karnataka,17,4,0,0,2,0,2,3,2,21,0,367,4,0,10,0,58,488
Kerala,0,0,0,0,1,0,1,0,0,6,1,158,3,0,14,0,31,214
Madhya Pradesh,12,3,5,6,0,0,0,2,4,21,10,1335,7,1,17,1,582,2006
Maharashtra,14,6,1,1,4,2,2,12,1,68,3,2915,16,0,81,5,262,3389
Orissa,8,0,0,1,4,2,2,4,2,21,14,310,3,0,30,3,224,624
Punjab,14,0,2,2,1,0,1,0,3,0,3,34,0,0,22,0,225,306
Rajasthan,4,5,0,0,6,3,3,1,3,2,0,483,14,1,7,9,437,972
Tamil Nadu,4,5,0,0,3,1,2,0,1,4,4,144,19,0,38,11,217,450
Uttar Pradesh,20,20,4,2,8,3,5,11,1,27,0,1279,23,0,16,0,742,2153
West Bengal,22,12,1,5,10,8,2,8,16,10,0,749,15,1,26,6,147,1028
Delhi UT,3,0,0,4,12,8,4,0,8,2,1,795,0,0,10,2,89,926
Total (All-India),225,79,17,36,93,44,49,113,47,314,86,12284,160,7,421,92,5189,19163
