Category,States/ UTs,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F. / V.H.F.,Walkie - Talkie,Other Wireless Equipments
State,Andhra Pradesh,7236,2927,437,2771,270,471,360,15363,8810,6237,316
State,Arunachal Pradesh,824,337,320,0,88,35,44,1570,1007,532,31
State,Assam,228,2,16,0,24,12,174,71,0,0,71
State,Bihar,4865,1062,160,1856,5,24,1758,6914,3601,3288,25
State,Chhattisgarh,1433,486,86,41,184,0,636,4579,2300,2241,38
State,Goa,427,220,15,142,0,0,50,3694,1442,1006,1246
State,Gujarat,5457,2459,249,1452,828,352,117,14063,9808,4250,5
State,Haryana,76,44,22,10,0,0,0,5484,784,898,3802
State,Himachal Pradesh,763,368,37,98,149,0,111,2495,1127,1320,48
State,Jammu & Kashmir,4561,328,718,24,827,223,2441,11590,3654,7036,900
State,Jharkhand,3056,1545,391,57,510,302,251,3275,1729,1303,243
State,Karnataka,6164,2667,263,1883,101,50,1200,42102,22673,14831,4598
State,Kerala,4191,1813,134,1301,1,0,942,9532,3958,2686,2888
State,Madhya Pradesh,5660,1910,379,1866,493,825,187,24940,8660,16003,277
State,Maharashtra,10807,4773,497,3478,0,1170,889,27787,8436,6855,12496
State,Manipur,1446,136,34,884,114,150,128,3767,1144,911,1712
State,Meghalaya,685,57,24,80,122,149,253,2548,1536,865,147
State,Mizoram,604,138,7,277,112,37,33,1205,555,620,30
State,Nagaland,420,73,8,47,64,34,194,211,95,102,14
State,Orissa,3512,1306,146,1333,481,238,8,4640,3522,1094,24
State,Punjab,4166,1219,202,1059,1238,448,0,14154,4166,7448,2540
State,Rajasthan,4736,2400,116,1538,442,219,21,12572,8951,3621,0
State,Sikkim,59,10,0,35,4,3,7,2069,269,397,1403
State,Tamil Nadu,11521,4895,437,3795,0,0,2394,18195,6620,11036,539
State,Tripura,1414,214,64,599,225,0,312,5424,2892,2462,70
State,Uttar Pradesh,11437,4519,458,2892,753,1407,1408,35649,18093,17076,480
State,Uttarakhand,1027,313,47,43,71,195,358,82,41,30,11
State,West Bengal,5701,2233,1777,359,322,358,652,7012,5254,1663,95
State,Total (States),102476,38454,7044,27920,7428,6702,14928,280987,131127,115811,34049
Union Territory,A & N Islands,257,157,11,51,7,24,7,162,54,108,0
Union Territory,Chandigarh,279,135,14,81,32,17,0,1125,289,836,0
Union Territory,D & N Haveli,38,17,4,3,11,1,2,98,56,40,2
Union Territory,Daman & Diu,35,20,5,7,1,1,1,199,94,103,2
Union Territory,Delhi,3928,1963,252,1024,0,0,689,19755,6263,13346,146
Union Territory,Lakshadweep,37,23,1,13,0,0,0,265,99,166,0
Union Territory,Puducherry,350,210,14,94,0,0,32,818,477,333,8
Union Territory,Total (UTs),4924,2525,301,1273,51,43,731,22422,7332,14932,158
Total (All-India),Total (All-India),107400,40979,7345,29193,7479,6745,15659,303409,138459,130743,34207
