Category,States/ UTs,Number of Victims Killed - In Terrorist/ Extremists Operations,Number of Victims Killed - In Dacoity Operation or Other Raids,Number of Victims Killed - by Riotous Mobs,Number of Victims Killed - by Other Criminals,Number of Victims Killed - on Border Duties,Number of Victims Killed - In Accidents,Number of Victims Killed - Total,Number of Victims Injured - In Terrorist/ Extremists Operations,Number of Victims Injured - In Dacoity Operation or Other Raids,Number of Victims Injured - by Riotous Mobs,Number of Victims Injured - by Other Criminals,Number of Victims Injured - on Border Duties,Number of Victims Injured - In Accidents,Number of Victims Injured - Total
State,Andhra Pradesh,3,1,0,2,0,33,39,9,2,94,12,0,121,238
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,24,0,0,5,0,2,31,0,0,0,4,0,2,6
State,Bihar,14,3,0,5,0,5,27,11,1,0,1,0,3,16
State,Chhattisgarh,76,0,0,0,0,4,80,41,0,1,1,2,4,49
State,Goa,0,0,0,0,0,0,0,0,0,0,3,0,0,3
State,Gujarat,0,0,0,0,1,46,47,0,8,27,13,0,15,63
State,Haryana,0,0,0,0,0,36,36,0,0,6,8,0,7,21
State,Himachal Pradesh,0,0,0,0,0,7,7,0,0,1,0,0,7,8
State,Jammu & Kashmir,20,0,0,1,0,6,27,66,0,3,8,0,0,77
State,Jharkhand,5,0,1,0,0,6,12,3,0,8,0,0,5,16
State,Karnataka,0,0,0,4,0,21,25,0,3,47,21,0,29,100
State,Kerala,0,0,1,1,0,15,17,1,0,117,122,0,25,265
State,Madhya Pradesh,1,2,0,1,10,27,41,0,7,88,67,1,16,179
State,Maharashtra,3,1,0,0,0,73,77,26,66,326,73,1,148,640
State,Manipur,0,0,0,0,0,0,0,4,0,0,0,0,0,4
State,Meghalaya,1,0,0,0,0,0,1,2,0,0,0,0,0,2
State,Mizoram,9,0,0,1,0,1,11,0,0,0,0,0,0,0
State,Nagaland,0,0,1,0,0,0,1,0,0,0,1,0,0,1
State,Orissa,0,0,0,0,0,2,2,0,15,51,12,0,0,78
State,Punjab,0,0,0,1,3,90,94,0,0,0,2,0,19,21
State,Rajasthan,0,0,3,11,0,37,51,0,0,286,63,0,18,367
State,Sikkim,0,0,0,5,0,0,5,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,52,52,0,0,31,22,0,123,176
State,Tripura,4,1,0,3,1,4,13,1,0,0,2,0,19,22
State,Uttar Pradesh,0,11,2,14,2,113,142,0,14,6,22,0,73,115
State,Uttarakhand,0,0,0,1,0,5,6,0,0,0,0,0,9,9
State,West Bengal,0,0,1,0,0,10,11,0,14,398,36,0,52,500
State,Total (States),160,19,9,55,17,595,855,164,130,1490,493,4,695,2976
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,16,39,0,7,62
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,21,21,0,0,91,13,0,25,129
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,30,0,0,30
Union Territory,Total (UTs),0,0,0,0,0,21,21,0,0,107,82,0,32,221
Total (All-India),Total (All-India),160,19,9,55,17,616,876,164,130,1597,575,4,727,3197
