Category,States/ UTs,District / Session Judge - Duration of Trial - Less Than 6 Months,District / Session Judge - Duration of Trial - 6–12 Months,District / Session Judge - Duration of Trial - 1–3 Years,District / Session Judge - Duration of Trial - 3–5 Years,District / Session Judge - Duration of Trial - 5–10 Years,District / Session Judge - Duration of Trial - Over 10 Years,District / Session Judge - Duration of Trial - Total ,Additional Session Judge - Duration of Trial - Less Than 6 Months,Additional Session Judge - Duration of Trial - 6–12 Months,Additional Session Judge - Duration of Trial - 1–3 Years,Additional Session Judge - Duration of Trial - 3–5 Years,Additional Session Judge - Duration of Trial - 5–10 Years,Additional Session Judge - Duration of Trial - Over 10 Years,Additional Session Judge - Duration of Trial - Total,Chief Judicial Magistrate - Duration of Trial - Less Than 6 Months,Chief Judicial Magistrate - Duration of Trial - 6–12 Months,Chief Judicial Magistrate - Duration of Trial - 1–3 Years,Chief Judicial Magistrate - Duration of Trial - 3–5 Years,Chief Judicial Magistrate - Duration of Trial - 5–10 Years,Chief Judicial Magistrate - Duration of Trial - Over 10 Years,Chief Judicial Magistrate - Duration of Trial - Total ,Judicial Magistrate (I) - Duration of Trial - Less Than 6 Months,Judicial Magistrate (I) - Duration of Trial - 6–12 Months,Judicial Magistrate (I) - Duration of Trial - 1–3 Years,Judicial Magistrate (I) - Duration of Trial - 3–5 Years,Judicial Magistrate (I) - Duration of Trial - 5–10 Years,Judicial Magistrate (I) - Duration of Trial - Over 10 Years,Judicial Magistrate (I) - Duration of Trial - Total ,Judicial Magistrate (II) Duration of Trial - Less Than 6 Months,Judicial Magistrate (II) Duration of Trial - 6–12 Months,Judicial Magistrate (II) Duration of Trial - 1–3 Years,Judicial Magistrate (II) Duration of Trial - 3–5 Years,Judicial Magistrate (II) Duration of Trial - 5–10 Years,Judicial Magistrate (II) Duration of Trial - Over 10 Years,Judicial Magistrate (II) Duration of Trial - Total ,Special Judicial Magistrate Duration of Trial - Less Than 6 Months,Special Judicial Magistrate Duration of Trial - 6–12 Months,Special Judicial Magistrate Duration of Trial - 1–3 Years,Special Judicial Magistrate Duration of Trial - 3–5 Years,Special Judicial Magistrate Duration of Trial - 5–10 Years,Special Judicial Magistrate Duration of Trial - Over 10 Years,Special Judicial Magistrate Duration of Trial - Total ,Other Type of Courts Duration of Trial - Less Than 6 Months,Other Type of Courts Duration of Trial - 6–12 Months,Other Type of Courts Duration of Trial - 1–3 Years,Other Type of Courts Duration of Trial - 3–5 Years,Other Type of Courts Duration of Trial - 5–10 Years,Other Type of Courts Duration of Trial - Over 10 Years,Other Type of Courts Duration of Trial - Total ,Sum of All Type of Courts Duration of Trial - Less Than 6 Months,Sum of All Type of Courts Duration of Trial - 6–12 Months,Sum of All Type of Courts Duration of Trial - 1–3 Years,Sum of All Type of Courts Duration of Trial - 3–5 Years,Sum of All Type of Courts Duration of Trial - 5–10 Years,Sum of All Type of Courts Duration of Trial - Over 10 Years,Sum of All Type of Courts Duration of Trial - Total 
State,Andhra Pradesh,91,661,1747,963,173,20,3655,98,766,2427,1324,438,50,5103,304,760,2366,1205,388,52,5075,8225,12006,19399,7206,2035,110,48981,4191,4097,5058,1473,320,88,15227,2096,2445,2614,818,104,49,8126,1827,2080,2021,811,209,76,7024,16832,22815,35632,13800,3667,445,93191
State,Arunachal Pradesh,0,9,24,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73,65,28,2,2,179,3,91,102,30,0,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,173,191,58,2,3,439
State,Assam,42,195,602,447,386,286,1958,81,246,567,148,281,146,1469,513,1254,3447,1680,1001,274,8169,301,786,2145,1439,981,297,5949,101,236,471,371,221,161,1561,108,286,356,252,151,195,1348,324,195,623,278,297,171,1888,1470,3198,8211,4615,3318,1530,22342
State,Bihar,0,1,133,388,533,317,1372,57,200,2446,3952,3285,1095,11035,21,58,413,558,345,94,1489,296,1525,8008,10727,7345,1090,28991,11,25,1074,794,373,48,2325,27,56,643,1608,1302,153,3789,7,271,1447,1448,1371,215,4759,419,2136,14164,19475,14554,3012,53760
State,Chhattisgarh,133,278,521,266,133,27,1358,142,391,852,322,121,51,1879,1196,1984,1689,1278,1368,204,7719,2338,3013,2358,1572,977,320,10578,416,913,1020,570,387,70,3376,89,86,223,105,78,56,637,80,130,92,140,153,84,679,4394,6795,6755,4253,3217,812,26226
State,Goa,0,3,20,7,2,1,33,0,0,15,6,1,0,22,1,2,3,8,6,1,21,70,112,394,121,64,7,768,0,6,5,6,0,0,17,0,0,0,0,0,0,0,0,0,15,43,7,6,71,71,123,452,191,80,15,932
State,Gujarat,70,302,725,413,97,34,1641,21,617,1284,584,167,15,2688,1414,2630,3731,2489,808,163,11235,4024,7112,8619,6995,2109,457,29316,1282,2237,3291,2487,1603,200,11100,53,302,236,193,96,29,909,2252,548,578,288,81,16,3763,9116,13748,18464,13449,4961,914,60652
State,Haryana,24,181,478,150,42,6,881,94,437,1089,529,265,36,2450,348,1001,2650,1638,728,44,6409,1358,1410,2428,1603,890,154,7843,442,1017,2386,984,547,94,5470,135,159,269,102,65,10,740,138,190,496,329,140,6,1299,2539,4395,9796,5335,2677,350,25092
State,Himachal Pradesh,6,20,78,52,16,2,174,2,32,105,51,25,7,222,204,325,608,434,300,47,1918,210,215,485,420,304,30,1664,72,96,236,236,163,16,819,6,53,96,65,23,2,245,40,71,327,299,39,0,776,540,812,1935,1557,870,104,5818
State,Jammu & Kashmir,118,101,293,304,249,39,1104,86,40,82,162,108,73,551,318,267,188,390,416,98,1677,794,576,657,729,492,128,3376,96,152,292,201,239,69,1049,57,144,123,121,111,0,556,162,226,253,186,71,3,901,1631,1506,1888,2093,1686,410,9214
