Category,States/ UTs,No. of Victims Murdered - by Firearms (Licensed + Unlicensed),No. of Victims Murdered - by Licensed Arms,No. of Victims Murdered - by Unlicensed Arms
State,Andhra Pradesh,7,1,6
State,Arunachal Pradesh,7,7,0
State,Assam,36,7,29
State,Bihar,955,28,927
State,Chhattisgarh,148,1,147
State,Goa,0,0,0
State,Gujarat,3,0,3
State,Haryana,132,17,115
State,Himachal Pradesh,4,4,0
State,Jammu & Kashmir,295,10,285
State,Jharkhand,461,120,341
State,Karnataka,5,5,0
State,Kerala,0,0,0
State,Madhya Pradesh,213,54,159
State,Maharashtra,37,4,33
State,Manipur,212,0,212
State,Meghalaya,0,0,0
State,Mizoram,2,2,0
State,Nagaland,54,3,51
State,Orissa,5,0,5
State,Punjab,62,58,4
State,Rajasthan,83,29,54
State,Sikkim,0,0,0
State,Tamil Nadu,0,0,0
State,Tripura,25,4,21
State,Uttar Pradesh,1841,225,1616
State,Uttarakhand,49,1,48
State,West Bengal,160,4,156
State,Total (states),4796,584,4212
Union Territory,A & N Islands,0,0,0
Union Territory,Chandigarh,1,1,0
Union Territory,D & N Haveli,0,0,0
Union Territory,Daman & Diu,0,0,0
Union Territory,Delhi,40,13,27
Union Territory,Lakshadweep,0,0,0
Union Territory,Puducherry,1,0,1
Union Territory,Total (UTs),42,14,28
All-India,Total (All-India),4838,598,4240
