Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Railways - Total - Number,Railways - Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,53,125.5,35,267.9,0,0,3,0.6,0,0,3,0.6,0,0,2,1.6,77,97.2,170,492.7
State,Arunachal Pradesh,5,3.8,2,0.2,0,0,0,0,0,0,0,0,0,0,1,1.8,8,10.5,16,16.3
State,Assam,182,63,38,21.1,1,0.7,1,0.1,2,0.8,3,0.9,0,0,19,7.1,56,53.4,299,146.1
State,Bihar,422,252.9,117,153.3,1,1,32,9,3,0.3,35,9.3,14,95.5,28,19.7,69,74.2,686,605.8
State,Chhattisgarh,59,26.3,15,20.9,0,0,0,0,3,3.3,3,3.3,1,1.2,3,0.6,34,27.6,115,79.8
State,Goa,2,0.3,2,47,0,0,0,0,0,0,0,0,0,0,2,88.5,1,0.2,7,136
State,Gujarat,75,51.9,37,348.6,0,0,7,4,1,0,8,4,4,8.9,21,44,100,238.8,245,696.2
State,Haryana,10,10.8,31,128.4,0,0,3,0.2,0,0,3,0.2,1,0,4,3.7,90,296.1,139,439.2
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40.9,2,0.1,5,40.9
State,Jammu & Kashmir,11,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,18,5.3
State,Jharkhand,256,145.4,161,122.2,0,0,19,7.6,4,0.3,23,7.9,8,168.2,9,11.4,67,45.4,524,500.4
State,Karnataka,51,61.7,22,208.7,0,0,3,1.5,0,0,3,1.5,1,0,7,354.4,94,303.3,178,929.7
State,Kerala,17,21.3,21,422.7,1,0.3,0,0,0,0,0,0,3,396.4,8,59.2,71,314.7,121,1214.6
State,Madhya Pradesh,45,54,15,35.1,0,0,2,0.7,1,1.1,3,1.7,0,0,34,116,46,646.2,143,853
State,Maharashtra,127,388.8,79,603,3,1.5,8,2.4,4,3.1,12,5.5,2,16.7,54,251.9,439,840.1,716,2107.6
State,Manipur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,3,1.1
State,Meghalaya,10,7.1,19,18.5,0,0,0,0,0,0,0,0,0,0,2,0.2,24,10.4,55,36.2
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,7,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34.6
State,Orissa,76,65.7,50,126.1,0,0,2,0.4,0,0,2,0.4,9,299.7,41,46.4,69,229.2,247,767.6
State,Punjab,6,3.9,3,9,0,0,0,0,0,0,0,0,2,12,8,6.6,18,11.2,37,42.6
State,Rajasthan,6,14.8,6,25.8,0,0,1,0,0,0,1,0,0,0,2,4.1,56,192.1,71,236.9
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,24,62.7,14,29.7,1,0.1,0,0,2,2.3,2,2.3,0,0,8,135.5,39,371.9,88,602.2
State,Tripura,2,2.4,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,11,12.4,14,15.3
State,Uttar Pradesh,130,89.3,47,70.3,0,0,11,2.8,0,0,11,2.8,1,0.5,12,16.5,236,88.5,437,268
State,Uttarakhand,20,23.5,17,43.5,0,0,0,0,0,0,0,0,2,7.2,2,1.1,5,0.1,46,75.4
State,West Bengal,51,39.6,8,51.7,0,0,8,12.9,2,3.2,10,16.1,8,78.2,14,79.7,55,70.4,146,335.8
State,Total (States),1640,1519.3,748,2788.8,7,3.5,100,42.2,22,14.4,122,56.6,56,1084.6,284,1290.9,1676,3935.6,4533,10679.2
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.5,5,6.5
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,2,0.3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9,2,0,3,3.9
Union Territory,Delhi,10,46,0,0,0,0,0,0,1,0.2,1,0.2,0,0,3,4.2,20,13.3,34,63.7
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5
Union Territory,Total (UTs),10,46,0,0,0,0,0,0,1,0.2,1,0.2,0,0,4,8.2,31,25.1,46,79.5
Total (All-India),Total (All-India),1650,1565.4,748,2788.8,7,3.5,100,42.2,23,14.6,123,56.8,56,1084.6,288,1299,1707,3960.7,4579,10758.7
City,Agra,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.5,6,15.6
City,Ahmedabad,5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2,13.2,6,15.6,13,30
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,2,0.2
City,Asansol,1,0.8,0,0,0,0,0,0,0,0,0,0,1,6.6,0,0,1,1,3,8.4
City,Bengaluru,19,17.8,2,17,0,0,0,0,0,0,0,0,0,0,3,287.7,17,46.2,41,368.7
City,Bhopal,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,11.6,3,12.3
City,Chennai,5,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20.1,8,53.7
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5
City,Delhi (city),8,45.8,0,0,0,0,0,0,1,0.2,1,0.2,0,0,3,4.2,18,11.6,30,61.8
City,Dhanbad,9,3.2,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,13,4
City,Faridabad,0,0,5,23.9,0,0,0,0,0,0,0,0,0,0,0,0,6,19.9,11,43.8
City,Hyderabad,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,3,0.7,6,1.2
City,Indore,5,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23.1
City,Jabalpur,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6
City,Jaipur,3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.8,7,10.6
City,Jamshedpur,2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9,6,3.8,11,6.9
City,Kanpur,25,0.6,4,4.1,0,0,0,0,0,0,0,0,0,0,1,6.5,12,1,42,12.2
City,Kochi,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,1,6,2,18.5,4,24.7
City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4,1,0.3,2,3.7
City,Lucknow,5,1.4,3,0.5,0,0,0,0,0,0,0,0,0,0,5,2.8,10,46.2,23,50.9
City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,5,3,10
City,Madurai,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,2.4,3,2.6
City,Meerut,1,3.8,2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.1
City,Mumbai,6,37.4,0,0,3,1.5,0,0,0,0,0,0,0,0,7,65.3,15,96.9,31,201
City,Nagpur,3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,5,5.9,19,7.1,27,14.7
City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,3,0.8,5,1.7
City,Patna,16,8.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,4,3.2,22,12.4
City,Pune,8,17.8,1,25.1,0,0,0,0,0,0,0,0,0,0,2,40.4,26,16.1,37,99.4
City,Rajkot,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,2,1.7
City,Surat,5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,9.1,15,18.4
City,Vadodara,2,0.9,1,18.7,0,0,0,0,0,0,0,0,0,0,1,2.3,5,3.6,9,25.5
City,Varanasi,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8
City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Visakhapatnam,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54.1,9,54.3
