Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 45 Years - Male,30 - 45 Years - Female,45 - 60 Years - Male,45 - 60 Years - Female,60 Years & Above - Male,60 Years & Above - Female,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Grand Total of All Persons
A. IPC CRIMES,"Murder (sec 302, 303 IPC)",778,46,26031,1265,22560,1673,9222,757,866,71,59457,3812,63269
A. IPC CRIMES,Attempt to Commit Murder (sec 307 IPC),625,29,27783,919,22996,1040,9074,416,884,51,61362,2455,63817
A. IPC CRIMES,"C.H. Not Amounting Murder (sec 304, 308 IPC)",40,3,3003,49,2765,80,798,14,46,4,6652,150,6802
A. IPC CRIMES,Rape (sec 376 IPC) - Total,815,10,14533,195,7596,254,1771,85,96,8,24811,552,25363
A. IPC CRIMES,Rape (sec 376 IPC) - Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
A. IPC CRIMES,Rape (sec 376 IPC) - Other Rape,815,10,14533,195,7596,254,1771,85,96,8,24811,552,25363
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - Total",316,31,18220,920,11345,977,3275,314,151,13,33307,2255,35562
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - (i) of Women & Girls",211,26,12441,757,6915,814,2123,262,97,12,21787,1871,23658
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - (ii) of Others",105,5,5779,163,4430,163,1152,52,54,1,11520,384,11904
A. IPC CRIMES,Dacoity (sec 395 - 398 IPC),209,5,9591,104,6455,130,1462,62,94,5,17811,306,18117
A. IPC CRIMES,Preparation & Assembly for Dacoity (sec 399-402 IPC),129,0,8010,59,3689,14,667,2,14,1,12509,76,12585
A. IPC CRIMES,"Robbery (sec 392-394, 397, 398 IPC)",509,7,17739,170,9186,93,2033,22,60,1,29527,293,29820
A. IPC CRIMES,"Burglary (sec 449-452,454,455,457-460 IPC)",3681,63,35282,538,20472,559,5925,159,355,26,65715,1345,67060
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - Total,7285,213,104156,2396,58927,2123,17509,552,973,48,188850,5332,194182
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - (i) Auto Theft,1370,3,27158,22,12823,39,2507,4,55,0,43913,68,43981
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - (ii) Other Theft,5915,210,76998,2374,46104,2084,15002,548,918,48,144937,5264,150201
A. IPC CRIMES,"Riots (sec 143-145, 147-151, 153, 153a, 153b, 157, 158, 160 IPC)",2084,147,137549,7177,110226,7650,42223,2921,4585,384,296667,18279,314946
