Category,Crime Head,2003,2004,2005,2006,2007
A. IPC CRIMES,"Murder (sec 302, 303 IPC)",2,2,2,1.9,2
A. IPC CRIMES,Attempt to Commit Murder (sec 307 IPC),2.5,2.4,2.3,2.4,2.3
A. IPC CRIMES,"C.H. Not Amounting Murder (sec 304, 308 IPC)",1.9,1.8,1.9,1.9,1.9
A. IPC CRIMES,Rape (sec 376 IPC) - Total,1.3,1.2,1.3,1.2,1.2
A. IPC CRIMES,Rape (sec 376 IPC) - Custodial Rape,0,0.5,0.4,1.5,0
A. IPC CRIMES,Rape (sec 376 IPC) - Other Rape,1.3,1.2,1.3,1.2,1.2
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - Total",1.3,1.3,1.4,1.3,1.3
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - (i) of Women & Girls",1.2,1.2,1.2,1.2,1.2
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - (ii) of Others",1.6,1.5,1.8,1.7,1.7
A. IPC CRIMES,Dacoity (sec 395 - 398 IPC),3.6,3.8,3.8,3.7,4
A. IPC CRIMES,Preparation & Assembly For Dacoity (sec 399-402 IPC),4.4,4.2,3.9,4.6,3.9
A. IPC CRIMES,"Robbery (sec 392-394, 397, 398 IPC)",1.5,1.5,1.6,1.6,1.6
A. IPC CRIMES,"Burglary (sec 449-452,454,455,457-460 IPC)",0.7,0.7,0.7,0.7,0.7
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - Total,0.7,0.7,0.8,0.7,0.7
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - (i) Auto Theft,0.5,0.5,0.5,0.5,0.4
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - (ii) Other Theft,0.7,0.8,0.9,0.8,0.8
A. IPC CRIMES,"Riots (sec 143-145, 147-151, 153, 153a, 153b, 157, 158, 160 IPC)",5.7,5.6,5.7,5.3,5.3
A. IPC CRIMES,Criminal Breach of Trust (sec406-409 IPC),1.1,1.1,1.2,1.1,1.2
A. IPC CRIMES,"Cheating (sec 419, 420 IPC)",0.9,0.9,0.9,0.9,1
A. IPC CRIMES,"Counterfeiting (sec 231-254,489a-489d)",1.1,1.6,1.1,1.3,1.2
A. IPC CRIMES,"Arson (sec 435, 436, 438 IPC)",1.3,1.4,1.4,1.5,1.3
A. IPC CRIMES,"Hurt (sec 323-333, 335-338 IPC)",1.8,1.8,1.7,1.7,1.8
A. IPC CRIMES,Dowry Deaths (section 304b IPC),2.7,2.6,2.5,2.5,2.7
A. IPC CRIMES,Molestation (section 354 IPC),1.3,1.3,1.3,1.2,1.2
A. IPC CRIMES,Sexual Harassment (sec 509 IPC),1.2,1.3,1.3,1.2,1.3
A. IPC CRIMES,Cruelty by Husband and Relatives (sec 498a IPC),2.2,2.2,2.2,2.2,2.1
A. IPC CRIMES,Importation of Girls (sec 366b IPC),1.2,0.8,1.4,1.3,1.6
A. IPC CRIMES,Causing Death By Negligence (sec 304a IPC),0.9,0.9,0.9,0.9,0.8
A. IPC CRIMES,Other IPC Crimes,1.3,1.3,1.3,1.3,1.3
A. IPC CRIMES,Total Cognizable Crimes Under IPC,1.5,1.5,1.4,1.4,1.4
B. SLL CRIMES,Arms Act,1.1,1.1,1,1.1,1.1
B. SLL CRIMES,Narcotic Drugs & Psychotropic Substances Act,1.1,1.2,1.2,1.2,1.2
B. SLL CRIMES,Gambling Act,2,2,2.1,2,1.9
B. SLL CRIMES,Excise Act,1.1,1,1.1,1.1,1.1
B. SLL CRIMES,Prohibition Act,1,1,1,1,1
B. SLL CRIMES,Explosive & Explosive Substances Act,1.3,1.2,1.2,1.3,1.3
B. SLL CRIMES,Immoral Traffic (p) Act,2,2,2.1,2.6,2.8
B. SLL CRIMES,Indian Railways Act,1,1.1,1.5,1,1.4
B. SLL CRIMES,Registration of Foreigners Act,2,1.5,1.4,1.7,2.1
B. SLL CRIMES,Protection of Civil Rights Act - Total,1.2,1.5,1.4,1.7,1.8
B. SLL CRIMES,Protection of Civil Rights Act - (i) Pcr Act for Scs,1.2,1.5,2,1.8,1.8
B. SLL CRIMES,Protection of Civil Rights Act - (ii) Pcr Act for Sts,1.7,0.6,0.3,0.5,1.6
B. SLL CRIMES,Indian Passport Act,2.2,1.4,1.6,2.3,1.9
B. SLL CRIMES,Essential Commodities Act,1.5,1.4,1.4,1.4,1.5
B. SLL CRIMES,Terrorist & Disruptive Activities Act,0.8,1.1,3.3,0,0
B. SLL CRIMES,Antiquities & Art Treasures Act,1.6,1.2,0.6,1.5,1.9
B. SLL CRIMES,Dowry Prohibition Act,2.3,1.7,2.2,1.7,1.8
B. SLL CRIMES,Child Marriage Restraint Act,3.6,3.6,3.4,3.1,2.3
B. SLL CRIMES,Indecent Representation of Women (p) Act,1,1.2,1,1.1,1
B. SLL CRIMES,Copyright Act,1.3,1.4,1.3,1.2,1.2
B. SLL CRIMES,Sati Prevention Act,0,0,18,0,0
B. SLL CRIMES,SC/ST (prevention of Atrocities) Act - Total,1.7,1.7,1.7,1.7,1.9
B. SLL CRIMES,SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,1.7,1.7,1.8,1.8,1.9
B. SLL CRIMES,SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,1.6,1.5,1.5,1.5,1.6
B. SLL CRIMES,Forest Act,1.9,1.8,1.8,1.6,1.5
B. SLL CRIMES,Other SLL Crimes,1.1,1.1,1,1,1
B. SLL CRIMES,Total Cognizable Crimes Under SLL,1.2,1.1,1.1,1.1,1.1
