Category,State/UT,Total No.of Persons Under Arrest Including those from Previous Year,Number of Persons Released Before Trial,Number of Persons Charge Sheeted,Number of Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,2385,15,1695,675,28.3,12
State,Arunachal Pradesh,11,3,6,2,18.2,0
State,Assam,334,36,102,196,58.7,3.5
State,Bihar,1085,12,391,682,62.9,12.2
State,Chhattisgarh,1087,0,1079,8,0.7,0.1
State,Goa,114,4,49,61,53.5,1.1
State,Gujarat,1312,4,1199,109,8.3,1.9
State,Haryana,421,0,401,20,4.8,0.4
State,Himachal Pradesh,146,3,113,30,20.5,0.5
State,Jammu & Kashmir,24,0,24,0,0,0
State,Jharkhand,93,0,77,16,17.2,0.3
State,Karnataka,250,1,204,45,18,0.8
State,Kerala,960,0,525,435,45.3,7.8
State,Madhya Pradesh,5514,0,5492,22,0.4,0.4
State,Maharashtra,3868,10,2841,1017,26.3,18.1
State,Manipur,78,11,0,67,85.9,1.2
State,Meghalaya,74,0,16,58,78.4,1
State,Mizoram,64,0,63,1,1.6,0
State,Nagaland,9,0,9,0,0,0
State,Orissa,222,0,212,10,4.5,0.2
State,Punjab,473,32,327,114,24.1,2
State,Rajasthan,753,0,747,6,0.8,0.1
State,Sikkim,68,0,9,59,86.8,1.1
State,Tamil Nadu,595,10,309,276,46.4,4.9
State,Tripura,95,1,67,27,28.4,0.5
State,Uttar Pradesh,3873,518,2916,439,11.3,7.8
State,Uttarakhand,105,0,80,25,23.8,0.4
State,West Bengal,691,125,196,370,53.5,6.6
State,Total (States),24704,785,19149,4770,19.3,85
Union Territory,A & N Islands,24,0,6,18,75,0.3
Union Territory,Chandigarh,62,15,32,15,24.2,0.3
Union Territory,D & N Haveli,7,0,7,0,0,0
Union Territory,Daman & Diu,6,0,2,4,66.7,0.1
Union Territory,Delhi,2016,1,1215,800,39.7,14.3
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,46,2,39,5,10.9,0.1
Union Territory,Total (UTs),2161,18,1301,842,39,15
All India,Total (All India),26865,803,20450,5612,20.9,100
