Crime Head,2006,2007,Percentage Variation In 2007 Over 2006,Percentage Share of Arrestees Under Each Crime During 2007
Arms Act,80804,78769,-2.5,1.9
Narcotic Drugs & Psychotropic Substances Act,37098,37096,0,0.9
Gambling Act,347905,360536,3.6,8.8
Excise Act,156954,152836,-2.6,3.7
Prohibition Act,329408,361528,9.8,8.8
Explosive & Explosive Substances Act,5172,5334,3.1,0.1
Immoral Traffic (p) Act,11783,9861,-16.3,0.2
Indian Railways Act,198,261,31.8,0
Registration of Foreigners Act,3602,4549,26.3,0.1
Protection of Civil Rights Act - Total,768,388,-49.5,0
Protection of Civil Rights Act - (i) PCR Act for SCs,744,380,-48.9,0
Protection of Civil Rights Act - (ii) PCR Act for STs,24,8,-66.7,0
Indian Passport Act,2174,1845,-15.1,0
Essential Commodities Act,11809,11777,-0.3,0.3
Terrorist & Disruptive Activities Act,0,0,NA,NA
Antiquities & Art Treasures Act,48,94,95.8,0
Dowry Prohibition Act,7581,10321,36.1,0.3
Child Marriage Restraint Act,305,221,-27.5,0
Indecent Representation of Women (p) Act,1665,1229,-26.2,0
Copyright Act,8942,8094,-9.5,0.2
Sati Prevention Act,0,0,NA,NA
SC/ST (prevention of Atrocities) Act - Total,17148,20462,19.3,0.5
SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,15278,18644,22,0.5
SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,1870,1818,-2.8,0
Forest Act,6934,6795,-2,0.2
Other SLL Crimes,2523924,3015250,19.5,73.8
Total Cognizable Crimes Under SLL,3554222,4087246,15,100
