Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
"Murder (Sec.302, 303 IPC)",59457,3812,63269,94,6
Attempt to Commit Murder (Sec. 307 IPC),61362,2455,63817,96.2,3.8
"C.h. not Amounting Murder (Sec. 304, 308 IPC)",6652,150,6802,97.8,2.2
Rape (Sec. 376 IPC) - Total,24811,552,25363,97.8,2.2
Rape (Sec. 376 IPC) - Custodial Rape,0,0,0,0,0
Rape (Sec. 376 IPC) - Other Rape,24811,552,25363,97.8,2.2
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",33307,2255,35562,93.7,6.3
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (i) of Women & Girls",21787,1871,23658,92.1,7.9
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC)- (ii) of Others",11520,384,11904,96.8,3.2
Dacoity (Sec. 395-398 IPC),17811,306,18117,98.3,1.7
Preparation & Assembly For Dacoity (Sec. 399-402 IPC),12509,76,12585,99.4,0.6
"Robbery (Sec. 392-394,397,398 IPC)",29527,293,29820,99,1
"Burglary (Sec. 449-452,454,455,457-460 IPC)",65715,1345,67060,98,2
Theft (Sec. 379-382 IPC) - Total,188850,5332,194182,97.3,2.7
Theft (Sec. 379-382 IPC) - (i) Auto Theft,43913,68,43981,99.8,0.2
Theft (Sec. 379-382 IPC) - (ii) Other Theft,144937,5264,150201,96.5,3.5
"Riots (Sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",296667,18279,314946,94.2,5.8
Criminal Breach of Trust (Sec. 406-409 IPC),17898,559,18457,97,3
"Cheating (Sec. 419,420 IPC)",59633,2752,62385,95.6,4.4
"Counterfeiting (Sec. 231-254,489a-489d IPC)",2540,63,2603,97.6,2.4
"Arson (Sec. 435,436,438 IPC)",11577,326,11903,97.3,2.7
"Hurt (Sec. 323-333,335-338 IPC)",451358,33859,485217,93,7
Dowry Deaths (Sec. 304b IPC),17329,4784,22113,78.4,21.6
Molestation (Sec. 354 IPC),47083,920,48003,98.1,1.9
Sexual Harassment (Sec. 509 IPC),13669,84,13753,99.4,0.6
Cruelty By Husband And Relatives (Sec. 498a IPC),120745,35667,156412,77.2,22.8
Importation of Girls (Sec. 366b IPC),95,0,95,100,0
Death Due To Negligence (304a IPC),72595,336,72931,99.5,0.5
Other IPC Crimes,1004194,50970,1055164,95.2,4.8
Total Cognizable Crimes Under IPC,2615384,165175,2780559,94.1,5.9
