Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Railways - Total - Number,Railways - Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,5208,1499.5,31,13.1,0,0,0,0,0,0,0,0,17,67.4,1085,420.6,1336,658.7,7677,2659.3
State,Arunachal Pradesh,110,39,0,0,0,0,0,0,0,0,0,0,0,0,65,34.3,65,39.8,240,113.1
State,Assam,1253,186.7,157,13.3,11,1.2,0,0,5,0.3,5,0.3,0,0,395,65.4,782,96,2603,362.9
State,Bihar,2671,316,2,0.1,0,0,10,3,0,0,10,3,1,0,196,54.9,379,192.2,3259,566.1
State,Chhattisgarh,2853,320.5,5,0.5,0,0,0,0,0,0,0,0,6,6.6,265,57.2,503,136.9,3632,521.7
State,Goa,144,113.5,0,0,0,0,0,0,0,0,0,0,10,2.6,69,117.7,69,35.8,292,269.6
State,Gujarat,2956,1087,8,3.4,0,0,0,0,0,0,0,0,26,8.2,909,435.9,971,869.6,4870,2404.1
State,Haryana,2921,1089.1,9,1.3,0,0,0,0,1,0.1,1,0.1,16,1,920,287.7,364,125.6,4231,1504.8
State,Himachal Pradesh,422,155.2,0,0,0,0,0,0,0,0,0,0,5,0.7,192,143.7,258,55.7,877,355.3
State,Jammu & Kashmir,755,295.9,0,0,0,0,0,0,5,0,5,0,3,2,366,76.9,331,61.3,1460,436.2
State,Jharkhand,1248,179.5,1,0.1,0,0,0,0,37,6.6,37,6.6,1,1.1,91,21,117,23.6,1495,231.9
State,Karnataka,3788,1755.2,3,0.4,0,0,0,0,0,0,0,0,34,37.2,1083,638.5,541,238.2,5449,2669.5
State,Kerala,2155,1686.2,0,0,0,0,0,0,1,0,1,0,31,771.5,822,487,1091,325.2,4100,3269.8
State,Madhya Pradesh,8286,1483.3,19,3.4,6,0.5,0,0,2,0.4,2,0.4,11,4.7,1386,328.4,1520,178.1,11230,1998.7
State,Maharashtra,9624,4831.2,12,19.3,0,0,0,0,0,0,0,0,64,81.9,3027,3881.3,2880,1528.8,15607,10342.5
State,Manipur,15,15.4,0,0,0,0,0,0,0,0,0,0,0,0,43,23.5,12,4.9,70,43.8
State,Meghalaya,103,24.9,6,0.7,0,0,0,0,0,0,0,0,0,0,44,13.2,50,26.2,203,65
State,Mizoram,300,121.6,0,0,0,0,0,0,0,0,0,0,0,0,91,30.4,66,34.1,457,186.1
State,Nagaland,89,27.8,0,0,0,0,0,0,0,0,0,0,0,0,10,2.7,19,6,118,36.5
State,Orissa,1650,296.8,131,2.8,0,0,0,0,0,0,0,0,12,11.5,498,160.7,782,466.3,3073,938.1
State,Punjab,1160,669.8,1,0.3,0,0,0,0,3,0.3,3,0.3,15,27,661,431.9,776,541.7,2616,1670.9
State,Rajasthan,3105,979.8,0,0,0,0,0,0,0,0,0,0,32,34.8,1164,464.9,863,186.4,5164,1665.9
State,Sikkim,49,17.5,0,0,0,0,0,0,0,0,0,0,0,0,13,8.4,21,2.1,83,28
State,Tamil Nadu,2294,806.6,1,0.1,0,0,0,0,4,0,4,0,23,18.4,504,206.6,891,289.1,3717,1320.9
State,Tripura,119,45.2,0,0,0,0,0,0,0,0,0,0,0,0,27,13.3,47,11.8,193,70.2
State,Uttar Pradesh,3521,874.6,0,0,0,0,0,0,0,0,0,0,1,2.1,291,78.4,1244,244.8,5057,1199.9
State,Uttarakhand,366,201.7,0,0,0,0,0,0,0,0,0,0,0,0,77,19.2,105,18,548,238.9
State,West Bengal,214,159.6,0,0,0,0,0,0,3,0.7,3,0.7,0,0,21,36.8,161,48.1,399,245.3
State,Total (States),57379,19278.9,386,58.8,17,1.7,10,3,61,8.4,71,11.4,308,1078.5,14315,8540.5,16244,6445,88720,35414.8
Union Territory,A & N Islands,59,21.3,0,0,0,0,0,0,0,0,0,0,0,0,10,2.8,21,7.7,90,31.7
Union Territory,Chandigarh,55,37.2,0,0,0,0,0,0,0,0,0,0,2,0.1,119,33.8,15,10.8,191,81.8
Union Territory,D & N Haveli,13,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,13,47.4,28,54.4
Union Territory,Daman & Diu,11,7.7,0,0,0,0,0,0,0,0,0,0,0,0,34,92.9,1,0,46,100.6
Union Territory,Delhi,1433,660.6,0,0,0,0,0,0,1,0,1,0,0,0,287,356,334,411.9,2055,1428.6
Union Territory,Lakshadweep,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2
Union Territory,Puducherry,47,30.3,0,0,0,0,0,0,0,0,0,0,0,0,29,34.5,10,1.7,86,66.6
Union Territory,Total (UTs),1620,763.3,0,0,0,0,0,0,1,0,1,0,2,0.1,481,521,394,479.5,2498,1763.9
Total (All-India),Total (All-India),58999,20042.2,386,58.8,17,1.7,10,3,62,8.5,72,11.4,310,1078.6,14796,9061.5,16638,6924.5,91218,37178.7
City,Agra,138,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4.2,170,36.5
City,Ahmedabad,428,190,0,0,0,0,0,0,0,0,0,0,3,0,133,147.2,113,114.1,677,451.3
City,Allahabad,93,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5.2,107,55.3
City,Amritsar,95,40.4,0,0,0,0,0,0,0,0,0,0,2,0,30,20.4,10,3.1,137,63.9
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
City,Bengaluru,1146,860.9,0,0,0,0,0,0,0,0,0,0,6,2.7,238,322.9,95,119.5,1485,1305.9
City,Bhopal,798,135.7,0,0,0,0,0,0,0,0,0,0,0,0,58,16.4,0,0,856,152.1
City,Chennai,498,164.5,0,0,0,0,0,0,0,0,0,0,0,0,79,44.2,77,24.3,654,232.9
City,Coimbatore,79,82.8,0,0,0,0,0,0,0,0,0,0,0,0,39,10.7,13,7.7,131,101.2
City,Delhi (city),1307,609.5,0,0,0,0,0,0,1,0,1,0,0,0,272,343.5,288,401.7,1868,1354.7
City,Dhanbad,92,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,18.4
City,Faridabad,225,70,0,0,0,0,0,0,0,0,0,0,0,0,95,23.1,9,43.4,329,136.5
City,Hyderabad,327,16.5,0,0,0,0,0,0,0,0,0,0,0,0,227,15,439,464.4,993,495.9
City,Indore,636,182.8,0,0,0,0,0,0,0,0,0,0,0,0,87,20.2,94,31.3,817,234.3
City,Jabalpur,392,111.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,111.1
City,Jaipur,604,101.3,0,0,0,0,0,0,0,0,0,0,1,0.1,175,175.6,41,9.2,821,286.2
City,Jamshedpur,123,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,50.8
City,Kanpur,221,73.7,0,0,0,0,0,0,0,0,0,0,0,0,12,1.2,31,8.9,264,83.9
City,Kochi,105,109.2,0,0,0,0,0,0,0,0,0,0,0,0,41,35.5,43,19.1,189,163.8
City,Kolkata,76,119.7,0,0,0,0,0,0,0,0,0,0,0,0,20,36.5,18,29.4,114,185.6
City,Lucknow,438,119.8,0,0,0,0,0,0,0,0,0,0,0,0,60,15,36,13.9,534,148.8
City,Ludhiana,121,54.5,0,0,0,0,0,0,0,0,0,0,3,0,107,103.2,30,0.7,261,158.3
City,Madurai,35,19.5,0,0,0,0,0,0,0,0,0,0,0,0,14,12.6,19,1.5,68,33.6
City,Meerut,95,11.7,0,0,0,0,0,0,0,0,0,0,0,0,4,2.6,29,26.9,128,41.1
City,Mumbai,1379,1418.9,12,19.3,0,0,0,0,0,0,0,0,3,55.1,959,2555.5,533,988.8,2886,5037.5
City,Nagpur,816,259.5,0,0,0,0,0,0,0,0,0,0,5,0,216,89.6,104,5.1,1141,354.2
City,Nasik,325,146.6,0,0,0,0,0,0,0,0,0,0,3,1.9,91,61.7,41,19.6,460,229.9
City,Patna,316,3.4,0,0,0,0,0,0,0,0,0,0,0,0,31,1,162,0.9,509,5.4
City,Pune,950,634.8,0,0,0,0,0,0,0,0,0,0,5,0.1,338,367.9,76,61,1369,1063.9
City,Rajkot,112,69.8,0,0,0,0,0,0,0,0,0,0,0,0,62,25,29,8.2,203,103
City,Surat,305,80.2,0,0,0,0,0,0,0,0,0,0,1,0,26,27,115,302.1,447,409.3
City,Vadodara,234,113.9,0,0,0,0,0,0,0,0,0,0,3,0,100,46.4,22,87.6,359,247.9
City,Varanasi,124,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,144,20.1
City,Vijayawada,159,41.5,0,0,0,0,0,0,0,0,0,0,0,0,44,27,22,2.8,225,71.2
City,Visakhapatnam,232,74.1,0,0,0,0,0,0,0,0,0,0,0,0,72,20,66,16.5,370,110.5
