Category,State/UT,Total No. of Persons Under Trial including those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency To All-IndiaTotal
State,Andhra Pradesh,3544,53,1271,2220,178,62.6,3.7
State,Arunachal Pradesh,42,0,0,42,0,100,0.1
State,Assam,249,0,106,143,56,57.4,0.2
State,Bihar,738,0,73,665,22,90.1,1.1
State,Chhattisgarh,3029,47,865,2117,296,69.9,3.5
State,Goa,213,2,14,197,7,92.5,0.3
State,Gujarat,5375,6,488,4881,108,90.8,8.2
State,Haryana,1113,0,285,828,85,74.4,1.4
State,Himachal Pradesh,374,21,34,319,3,85.3,0.5
State,Jammu & Kashmir,171,0,1,170,1,99.4,0.3
State,Jharkhand,256,2,136,118,56,46.1,0.2
State,Karnataka,615,3,122,490,9,79.7,0.8
State,Kerala,1509,12,348,1149,66,76.1,1.9
State,Madhya Pradesh,15874,368,3995,11511,1735,72.5,19.3
State,Maharashtra,15464,22,833,14609,102,94.5,24.5
State,Manipur,2,0,0,2,0,100,0
State,Meghalaya,36,0,2,34,0,94.4,0.1
State,Mizoram,63,0,63,0,63,0,0
State,Nagaland,9,0,5,4,5,44.4,0
State,Orissa,726,1,108,617,11,85,1
State,Punjab,790,0,184,606,82,76.7,1
State,Rajasthan,2052,3,158,1891,51,92.2,3.2
State,Sikkim,43,0,6,37,0,86,0.1
State,Tamil Nadu,841,1,292,548,77,65.2,0.9
State,Tripura,97,0,31,66,7,68,0.1
State,Uttar Pradesh,15892,40,3274,12578,1841,79.1,21.1
State,Uttarakhand,401,0,73,328,23,81.8,0.5
State,West Bengal,594,53,115,426,13,71.7,0.7
State,Total (States),70112,634,12882,56596,4897,80.7,94.9
Union Territory,A & N Islands,51,0,11,40,1,78.4,0.1
Union Territory,Chandigarh,156,0,66,90,39,57.7,0.2
Union Territory,D & N Haveli,46,0,22,24,0,52.2,0
Union Territory,Daman & Diu,10,0,0,10,0,100,0
Union Territory,Delhi,3330,0,503,2827,192,84.9,4.7
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,87,0,15,72,0,82.8,0.1
Union Territory,Total (UTs),3680,0,617,3063,232,83.2,5.1
All India,Total (All India),73792,634,13499,59659,5129,80.8,100
