Category,States/ UTs,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Railways Act - Incidence,Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,PCR Act (Total SC & ST) - Incidence,PCR Act (Total SC & ST) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for ST - Incidence,PCR Act for ST - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquities & Art Treasures Act - Incidence,Antiquities & Art Treasures Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women(P)Act - Incidence,Indecent Representation of Women(P)Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Attrocities Act For Scs - Incidence,SC/ST (Prev) of Attrocities Act For Scs - Rate,"SC/ST (Prev) of Attrocities Act
for STs - Incidence","SC/ST (Prev) of Attrocities Act
for STs - Rate",Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
State,Andhra Pradesh,280,0.3,489,0.6,62035,76,1958,2.4,1530,1.9,313,0.4,612,0.7,2,0,8,0,125,0.2,122,0.1,3,0,62,0.1,119,0.1,0,0,15,0,817,1,21,0,1005,1.2,1602,2,0,0,1503,1.8,1200,1.5,303,0.4,42,0.1,639408,783.6,711946,872.5
State,Arunachal Pradesh,10,0.8,26,2.2,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.4,56,4.7
State,Assam,329,1.1,176,0.6,137,0.5,43,0.1,0,0,143,0.5,21,0.1,11,0,10,0,1,0,1,0,0,0,47,0.2,41,0.1,0,0,0,0,16,0.1,1,0,0,0,35,0.1,0,0,0,0,0,0,0,0,29,0.1,2791,9.4,3831,12.9
State,Bihar,1969,2.1,327,0.4,127,0.1,1947,2.1,4,0,140,0.2,27,0,4,0,3,0,0,0,0,0,0,0,1,0,600,0.6,0,0,7,0,978,1.1,8,0,0,0,28,0,0,0,1966,2.1,1933,2.1,33,0,45,0,1298,1.4,9479,10.2
State,Chhattisgarh,901,3.9,398,1.7,10847,46.4,11595,49.6,0,0,212,0.9,14,0.1,1,0,0,0,0,0,0,0,0,0,4,0,147,0.6,0,0,0,0,14,0.1,4,0,0,0,18,0.1,0,0,293,1.3,150,0.6,143,0.6,6,0,176435,754.5,200889,859.1
State,Goa,4,0.3,23,1.4,956,59.9,0,0,0,0,3,0.2,10,0.6,0,0,45,2.8,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,1,0.1,2207,138.3,3253,203.8
State,Gujarat,361,0.6,49,0.1,8568,15.3,0,0,158444,283.5,150,0.3,44,0.1,2,0,8,0,2,0,2,0,0,0,17,0,283,0.5,0,0,0,0,0,0,14,0,0,0,364,0.7,0,0,372,0.7,328,0.6,44,0.1,0,0,26073,46.7,194751,348.5
State,Haryana,1623,6.9,1404,6,5802,24.7,7848,33.4,0,0,25,0.1,88,0.4,11,0,32,0.1,0,0,0,0,0,0,1,0,355,1.5,0,0,1,0,8,0,4,0,0,0,221,0.9,0,0,75,0.3,75,0.3,0,0,2,0,2026,8.6,19526,83
State,Himachal Pradesh,8,0.1,233,3.6,354,5.4,2343,36,0,0,6,0.1,0,0,0,0,3,0,4,0.1,4,0.1,0,0,0,0,33,0.5,0,0,0,0,4,0.1,1,0,0,0,52,0.8,0,0,83,1.3,81,1.2,2,0,205,3.1,336,5.2,3665,56.3
State,Jammu & Kashmir,456,3.8,248,2,176,1.5,306,2.5,0,0,135,1.1,1,0,0,0,58,0.5,1,0,1,0,0,0,7,0.1,680,5.6,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0.2,281,2.3,2382,19.7
State,Jharkhand,486,1.6,135,0.5,118,0.4,263,0.9,0,0,71,0.2,14,0,2,0,1,0,0,0,0,0,0,0,0,0,87,0.3,0,0,0,0,453,1.5,4,0,0,0,14,0,0,0,337,1.1,274,0.9,63,0.2,84,0.3,628,2.1,2697,9.1
State,Karnataka,52,0.1,201,0.4,5907,10.4,3641,6.4,0,0,80,0.1,612,1.1,5,0,27,0,17,0,17,0,0,0,23,0,288,0.5,0,0,3,0,517,0.9,4,0,0,0,333,0.6,0,0,1126,2,1016,1.8,110,0.2,140,0.2,3070,5.4,16046,28.2
State,Kerala,467,1.4,452,1.3,1769,5.2,0,0,6460,19,351,1,201,0.6,6,0,22,0.1,0,0,0,0,0,0,79,0.2,154,0.5,0,0,0,0,9,0,1,0,26,0.1,696,2,0,0,46,0.1,42,0.1,4,0,2,0,77985,229.3,88726,260.9
State,Madhya Pradesh,10313,15.1,929,1.4,28111,41.1,21576,31.5,0,0,229,0.3,19,0,13,0,6,0,0,0,0,0,0,0,0,0,327,0.5,0,0,0,0,52,0.1,5,0,0,0,109,0.2,0,0,554,0.8,348,0.5,206,0.3,45,0.1,134561,196.6,196849,287.6
