Nature of Property,Number of Cases in which Property - Stolen,Number of Cases in which Property - Recovered,Percentage of Recovery (Cases),Value of Property (Rs. in Lakh) - Stolen,Value of Property (Rs. in Lakh) - Recovered,Percentage Recovery (Value)
Communication & Electricity Wire,12636,5066,40.1,2971.8,992.7,33.4
Cattle,6172,3610,58.5,953.8,576.1,60.4
Cycle,7735,4829,62.4,152.4,98.6,64.7
Motor Vehicles - Total,98492,27806,28.2,61952.4,21308.5,34.4
Motor Vehicles - Motor Cycle & Scooter Etc.,76487,21255,27.8,21547.5,6700.6,31.1
Motor Vehicles - Motor Car/taxi/jeep,14776,3604,24.4,25719.8,7639.3,29.7
Motor Vehicles - Other Motor Vehicles,7229,2947,40.8,14685.1,6968.6,47.5
Fire Arms,310,100,32.3,137,44.3,32.3
Explosives/Explosive Substances,44,20,45.5,8.1,3.4,41.6
Electronic Components,13535,5677,41.9,3918.8,1283.8,32.8
Cultural Property Including Antiques,1303,486,37.3,3904.2,3497.6,89.6
Other Kinds of Property Stolen,288323,110701,38.4,194079.7,41850,21.6
Total,428550,158295,36.9,268078.2,69654.8,26
