Crime Head,2003,2004,2005,2006,2007
"Murder (sec.302, 303 IPC)",1.9,1.8,1.8,1.7,1.6
Attempt to Commit Murder (sec. 307 IPC),1.5,1.5,1.5,1.4,1.4
"C.H. Not Amounting Murder (sec. 304, 308 IPC)",0.2,0.2,0.2,0.2,0.2
Rape (sec. 376 IPC),0.9,1,1,1,1
Rape (sec. 376 IPC) - Custodial Rape,0,0,0,0,0
Rape (sec. 376 IPC) - Other Rape,0.9,1,1,1,1
"Kidnapping & Abduction (sec. 363-369, 371-373 IPC)",1.2,1.3,1.3,1.3,1.4
"Kidnapping & Abduction (sec. 363-369, 371-373 IPC) - of Women & Girls",0.8,0.9,0.9,0.9,1
"Kidnapping & Abduction (sec. 363-369, 371-373 IPC) - of Others",0.4,0.4,0.4,0.4,0.4
Dacoity (sec. 395-398 IPC),0.3,0.3,0.3,0.3,0.2
Preparation & Assembly for Dacoity (sec. 399-402 IPC),0.1,0.1,0.2,0.2,0.2
"Robbery (sec. 392-394,397,398 IPC)",1,1,1,1,1
"Burglary (sec. 449-452,454,455,457-460 IPC)",5.4,5,4.9,4.9,4.6
Theft (sec. 379-382 IPC),14.3,14.9,15,14.6,14.3
Theft (sec. 379-382 IPC) - Auto Theft,4,4.4,4.7,4.8,5
Theft (sec. 379-382 IPC) - Other Theft,10.3,10.5,10.3,9.8,9.3
"Riots (sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",3.3,3.3,3.1,3,3
Criminal Breach of Trust (sec. 406-409 IPC),0.8,0.8,0.7,0.7,0.8
"Cheating (sec. 419,420 IPC)",2.8,2.8,2.9,3.1,3.3
"Counterfeiting (sec. 231-254,489a-489d IPC)",0.1,0.1,0.1,0.1,0.1
"Arson (sec. 435,436,438 IPC)",0.5,0.5,0.5,0.5,0.5
"Hurt (sec. 323-333,335-338 IPC)",15.2,15.1,14.9,14.1,13.7
Dowry Deaths (sec. 304b IPC),0.4,0.4,0.4,0.4,0.4
Molestation (sec. 354 IPC),1.9,1.9,1.9,1.9,1.9
Sexual Harassment (sec. 509 IPC),0.7,0.5,0.5,0.5,0.6
Cruelty by Husband and Relatives (sec. 498a IPC),3,3.2,3.2,3.4,3.8
Importation of Girls (sec. 366b IPC),0,0,0,0,0
Causing Death by Negligence (304a IPC),3.5,3.8,3.9,4.2,4.4
Other IPC Crimes,40.8,40.4,40.7,41.5,41.7
Total Cognizable Crimes Under IPC,100,100,100,100,100
