Category,State/UT,Incidence,Percentage Contribution To All–India Total,Estimated Mid Year Population (In Lakhs)#,Rate Of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
State,Andhra Pradesh,753,13.6,816.02,0.9,10,3
State,Arunachal Pradesh,32,0.6,11.9,2.7,1,13
State,Assam,49,0.9,296.22,0.2,18,12
State,Bihar,65,1.2,928.32,0.1,19,11
State,Chhattisgarh,615,11.1,233.85,2.6,2,4
State,Goa,0,0,15.96,0,NA,NA
State,Gujarat,156,2.8,558.79,0.3,13,9
State,Haryana,0,0,235.3,0,NA,NA
State,Himachal Pradesh,2,0,65.09,0,21,21
State,Jammu & Kashmir,0,0,121.03,0,NA,NA
State,Jharkhand,268,4.8,297.34,0.9,11,6
State,Karnataka,205,3.7,569.82,0.4,12,8
State,Kerala,88,1.6,340.12,0.3,14,10
State,Madhya Pradesh,1501,27.1,684.55,2.2,4,1
State,Maharashtra,239,4.3,1059.69,0.2,16,7
State,Manipur,1,0,26.05,0,20,25
State,Meghalaya,0,0,25.15,0,NA,NA
State,Mizoram,0,0,9.72,0,NA,NA
State,Nagaland,0,0,21.69,0,NA,NA
State,Orissa,394,7.1,396.21,1,9,5
State,Punjab,0,0,263.89,0,NA,NA
State,Rajasthan,1110,20.1,639.1,1.7,5,2
State,Sikkim,13,0.2,5.89,2.2,3,15
State,Tamil Nadu,17,0.3,660.23,0,22,14
State,Tripura,6,0.1,34.81,0.2,17,16
State,Uttar Pradesh,4,0.1,1885.41,0,25,18
State,Uttarakhand,1,0,94.04,0,23,24
State,West Bengal,5,0.1,871.78,0,24,17
State,Total (States),5524,99.9,11167.97,0.5,NA,NA
Union Territory,A & N Islands,1,0,4.05,0.2,15,23
Union Territory,Chandigarh,0,0,10.46,0,NA,NA
Union Territory,D & N Haveli,3,0.1,2.57,1.2,8,20
Union Territory,Daman & Diu,3,0.1,1.84,1.6,6,19
Union Territory,Delhi,0,0,167.33,0,NA,NA
Union Territory,Lakshadweep,1,0,0.68,1.5,7,22
Union Territory,Puducherry,0,0,10.63,0,NA,NA
Union Territory,Total (UTs),8,0.1,197.56,0,NA,NA
All India,Total (All India),5532,100,11365.5,0.5,NA,NA
